candidate_id,beta_flex,beta_extend,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,kinematic_gate_pass
MYOLEG_V3_K0038,-0.0275,0.0025,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.314630669960493,11.623974066349646,17.865212079480465,6.046491842140325,141.23249587058237,23.684028492960728,True
MYOLEG_V3_K0039,-0.0275,0.005,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.371180414327203,11.62326234296958,17.89797162406506,6.045559636775459,110.64710342409822,22.74415497837822,True
MYOLEG_V3_K0040,-0.0275,0.0075,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418255555050578,11.622952800985338,17.924953109095192,6.069634394425368,135.34652626527935,23.334848696695516,True
MYOLEG_V3_K0041,-0.0275,0.01,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418600416398924,11.623045227702617,17.94607278312255,6.108547482104464,168.8268843037757,24.791963081102324,True
MYOLEG_V3_K0042,-0.0275,0.0125,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.514885086683094,11.623547719732375,18.42832285967733,6.107151740022407,138.34003903761916,23.618079756138876,True
MYOLEG_V3_K0043,-0.0275,0.015,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.616864610630216,11.624453624876551,19.1336424547948,6.116445997337233,107.57446725364329,22.92492778427797,True
MYOLEG_V3_K0044,-0.0275,0.0175,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.670776504568437,11.625755027681977,19.18761383075747,6.147284020895754,146.80403839323492,23.570378147499596,True
MYOLEG_V3_K0045,-0.0275,0.02,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.69770847157522,11.627456512873446,19.236135979165837,6.181287135888574,169.39979209628154,24.46896890326133,True
MYOLEG_V3_K0046,-0.0275,0.0225,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.856772910770637,11.629561572123642,19.279124433876387,6.188475041766862,138.62039526569848,23.626095105990355,True
MYOLEG_V3_K0047,-0.0275,0.025,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.968470969733104,11.632055404823008,19.316494728764795,6.212847059500581,129.22125481815627,23.466616732148267,True
MYOLEG_V3_K0048,-0.0275,0.0275,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.032417606193224,11.634934970184444,19.741422595163087,6.252276302861568,155.56153811782542,24.20695270959861,True
MYOLEG_V3_K0049,-0.0275,0.03,0.8969656089543517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1233380058049,11.638219809353636,20.709464944166353,6.284074171380082,174.05830523484076,24.58297737276423,True
MYOLEG_V3_K0050,-0.025,-0.03,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.826181129143148,11.679888779211016,15.562447731862543,6.0362053938853615,133.79963387771448,23.882456734646475,True
MYOLEG_V3_K0051,-0.025,-0.0275,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.745057055992522,11.673891028108523,16.045520479803653,6.026681299323308,162.80055942219457,23.91077320087576,True
MYOLEG_V3_K0052,-0.025,-0.025,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.63648689763539,11.668320846284914,16.09718079722128,6.007019645593406,133.02105938186398,23.08676900508863,True
MYOLEG_V3_K0053,-0.025,-0.0225,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.582100930702534,11.663145935150805,16.542566855703566,6.008219103217694,160.99737786428645,23.591139219436386,True
MYOLEG_V3_K0054,-0.025,-0.02,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.53578196455092,11.658344681536276,16.09720206792273,6.017192940645821,145.30335060383544,24.215400569917787,True
MYOLEG_V3_K0055,-0.025,-0.0175,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.465887304463088,11.653956841528153,16.087660631715263,6.004633617690316,154.01699293376635,23.4517228320867,True
MYOLEG_V3_K0056,-0.025,-0.015,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40450123231412,11.649985227883212,16.223553991640394,5.992776845595346,123.24018981046099,22.718040601264562,True
MYOLEG_V3_K0057,-0.025,-0.0125,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.391788849990814,11.64642286097421,16.83351829494726,6.003065793983052,140.82080421526388,23.34198108676256,True
MYOLEG_V3_K0058,-0.025,-0.01,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.356304303139876,11.643261562748817,16.853202118937624,6.026074928780811,157.96667849559367,24.554064382194902,True
MYOLEG_V3_K0059,-0.025,-0.0075,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.297172258414612,11.64050957775069,16.86687724164785,6.00971199622113,146.64828316784107,23.18912509516282,True
MYOLEG_V3_K0060,-0.025,-0.005,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.31757034209829,11.638168604925434,16.87446243162595,6.006637043739059,116.06324038737841,22.601338751986695,True
MYOLEG_V3_K0061,-0.025,-0.0025,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.315198396421966,11.636232048644674,16.945534181989466,6.028752059592642,128.11485656355535,23.55367075699056,True
MYOLEG_V3_K0062,-0.025,0.0,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.290056421386033,11.634699972049765,17.826758226796514,6.075914406749431,171.58937243907474,25.885496996890165,True
MYOLEG_V3_K0063,-0.025,0.0025,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.314630669960493,11.633579950094616,17.865212079480465,6.050205852255154,141.23249587058237,23.58415968441865,True
MYOLEG_V3_K0064,-0.025,0.005,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.371180414327203,11.632868814422736,17.89797162406506,6.04927421922677,110.64710342409822,22.640140636605356,True
MYOLEG_V3_K0065,-0.025,0.0075,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418255555050578,11.63255952806635,17.924953109095192,6.073334252252581,135.34652626527935,23.23347899180093,True
MYOLEG_V3_K0066,-0.025,0.01,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418600416398924,11.632651878453808,17.94607278312255,6.112223785065285,168.8268843037757,24.696574980744256,True
MYOLEG_V3_K0067,-0.025,0.0125,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.514885086683094,11.633153955525993,18.42832285967733,6.110828882668187,138.34003903761916,23.517930898191693,True
MYOLEG_V3_K0068,-0.025,0.015,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.616864610630216,11.634059112664845,19.1336424547948,6.1201175557284575,107.57446725364329,22.82173736329341,True
MYOLEG_V3_K0069,-0.025,0.0175,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.670776504568437,11.635359441106543,19.18761383075747,6.150937171777426,146.80403839323492,23.470025743081514,True
MYOLEG_V3_K0070,-0.025,0.02,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.69770847157522,11.637059522011453,19.236135979165837,6.184920202710346,169.39979209628154,24.372316704686746,True
MYOLEG_V3_K0071,-0.025,0.0225,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.856772910770637,11.639162844461332,19.279124433876387,6.192103891260578,138.62039526569848,23.525980368989597,True
MYOLEG_V3_K0072,-0.025,0.025,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.968470969733104,11.641654620411419,19.316494728764795,6.216461681884481,129.22125481815627,23.365818693517323,True
MYOLEG_V3_K0073,-0.025,0.0275,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.032417606193224,11.644531811992067,19.741422595163087,6.255868143185031,155.56153811782542,24.109250130386176,True
