candidate_index,candidate_id,beta_flex,beta_extend,included,inclusion_reason,finite,duration_s,sample_count,hip_min_deg,hip_max_deg,hip_rom_deg,knee_min_deg,knee_max_deg,knee_rom_deg,hip_min_error_deg,hip_max_error_deg,hip_rom_error_deg,knee_min_error_deg,knee_max_error_deg,knee_rom_error_deg,hip_q_max_abs_error_rad,hip_dq_max_abs_error_rad_s,hip_ddq_max_abs_error_rad_s2,max_knee_displacement_deg,rms_knee_displacement_deg,max_knee_displacement_fraction_of_rom,rms_knee_displacement_fraction_of_rom,joint_space_path_length_deg,signed_qspace_area_deg2,flex_coordination_slope,extension_coordination_slope,flex_knee_midpoint_time_s,extension_knee_midpoint_time_s,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,peak_dq_ratio,rms_dq_ratio,peak_ddq_ratio,rms_ddq_ratio,peak_jerk_ratio,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,kinematic_gate_pass,exclusion_reason
10,MYOLEG_V3_K0010,-0.03,-0.005,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421924116,119.49999606801782,101.1790986460937,0.0,0.0,0.0,2.7705127081389946e-10,3.9319821780736675e-06,3.932259232897195e-06,0.0,0.0,0.0,2.6626661070912547,0.8020348334772384,0.026316364142776324,0.007926882261642357,267.1497755885312,819.7033979734986,1.2088076365023832,1.2215236481158758,4.660852328093475,19.141194018409518,28.31757034209829,11.618990821048671,16.87446243162595,5.990470181339811,116.06324038737841,22.620081735644547,1.0002765857283735,0.9903546519151575,0.9654844343204529,0.9753060931087276,0.7449137892006357,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
11,MYOLEG_V3_K0011,-0.03,-0.0025,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421785588,119.49999803704607,101.17910061526048,0.0,0.0,0.0,1.3852385905011033e-10,1.962953930956246e-06,1.96309245836801e-06,0.0,0.0,0.0,2.6626661070912547,0.7844524371761085,0.026316364142776324,0.007753107283874451,267.0538362046897,806.3877333528469,1.2088076365023832,1.2219672498733678,4.660852328093475,19.127861080233778,28.315198396421966,11.6170510678419,16.945534181989466,6.012644660575381,128.11485656355535,23.571656506785786,1.0001928002307485,0.9901893153862384,0.9695508553382437,0.9789163113479122,0.8222631294553465,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
12,MYOLEG_V3_K0012,-0.03,0.0,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6626661070912547,0.7785037462036174,0.026316364142776324,0.007694313611852263,266.9597999348043,793.0567863518381,1.2088076365023832,1.2224081452046176,4.660852328093475,19.114337507314264,28.290056421386033,11.615516461292456,17.826758226796514,6.059932367316355,171.58937243907474,25.901863622550295,0.999304696885596,0.9900585118802793,1.0199707191921308,0.9866152042757618,1.1012900310514706,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
13,MYOLEG_V3_K0013,-0.03,0.0025,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421508548,119.5000019568824,101.17910453537385,0.0,0.0,0.0,1.3851675362275273e-10,1.956882400122595e-06,1.957020913323504e-06,0.0,0.0,0.0,2.6626661070912547,0.784451176798772,0.026316364142776324,0.007753094826980642,266.86767175952923,779.7113913474534,1.2088076365023832,1.2228463250170662,4.660852328093475,19.100944809839206,28.314630669960493,11.614394589395726,17.865212079480465,6.03415572163709,141.23249587058237,23.602122200457792,1.0001727461272485,0.9899628881665772,1.0221708838703505,0.9824185187352505,0.906454389056154,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
14,MYOLEG_V3_K0014,-0.03,0.005,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742137003,119.50000390769671,101.17910648632667,0.0,0.0,0.0,2.7703350724550546e-10,3.9076967084383796e-06,3.907973734840198e-06,0.0,0.0,0.0,2.6626661070912547,0.802025010828702,0.026316364142776324,0.0079267851798509,266.7774590168999,766.3523766607864,1.2088076365023832,1.2232817832756753,4.660852328093475,19.087458454164246,28.371180414327203,11.613682278954865,17.89797162406506,6.03322161019341,110.64710342409822,22.65885152408334,1.0021702827992014,0.9899021737749765,1.0240452446388792,0.9822664364186569,0.7101520929505504,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
15,MYOLEG_V3_K0015,-0.03,0.0075,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742123152,119.50000585244669,101.17910843121517,0.0,0.0,0.0,4.155431554409006e-10,5.852446690823854e-06,5.852862230426581e-06,0.0,0.0,0.0,2.6626661070912547,0.8304798079379896,0.026316364142776324,0.008208017137677884,266.6891653488014,752.9805690989397,1.2088076365023832,1.2237145147097868,4.660852328093475,19.073795922178714,28.418255555050578,11.613372481624296,17.924953109095192,6.057345405199173,135.34652626527935,23.251712418822827,1.003833143011663,0.9898757679336943,1.0255890095983258,0.9861940219913746,0.8686772263027105,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
16,MYOLEG_V3_K0016,-0.03,0.01,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421093008,119.50000779113599,101.17911037004298,0.0,0.0,0.0,5.540563563499745e-10,7.791135985257824e-06,7.79169003806146e-06,0.0,0.0,0.0,2.6626661070912547,0.8687370411912154,0.026316364142776324,0.008586131118513004,266.60278672560975,739.5967952666497,1.2088076365023832,1.2241445140582863,4.660852328093475,19.059951729088283,28.418600416398924,11.613464984587337,17.94607278312255,6.096336934341877,168.8268843037757,24.71372898056276,1.003845324732337,0.989883652503118,1.0267973868496876,0.9925422175088091,1.083559908252735,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
17,MYOLEG_V3_K0017,-0.03,0.0125,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420954502,119.5000097237683,101.17911230281379,0.0,0.0,0.0,6.925624518316909e-10,9.723768300773372e-06,9.724460852567063e-06,0.0,0.0,0.0,2.6626661070912547,0.915556826081401,0.026316364142776324,0.00904887276868655,266.51831767174497,726.2018768980408,1.2088076365023832,1.224571777995766,4.660852328093475,19.046343441477777,28.514885086683094,11.61396789111763,18.42832285967733,6.09493839604264,138.34003903761916,23.535943959767238,1.0072464393084224,0.9899265181727296,1.0543896698187056,0.9923145220386037,0.8878901048577249,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
18,MYOLEG_V3_K0018,-0.03,0.015,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420815992,119.50001165034739,101.1791142295314,0.0,0.0,0.0,8.31072100027086e-10,1.1650347389036142e-05,1.1651178454030742e-05,0.0,0.0,0.0,2.6626661070912547,0.9696862995401152,0.026316364142776324,0.009583859461386224,266.43575933977684,712.7966069969275,1.2088076365023832,1.2249963042923815,4.660852328093475,19.032584811943096,28.616864610630216,11.61487454344304,19.1336424547948,6.104251249272001,107.57446725364329,22.840299486309874,1.0108487162268054,0.9900037974616084,1.0947450348009313,0.9938307440084778,0.6904313868516242,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
19,MYOLEG_V3_K0019,-0.03,0.0175,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420677493,119.50001357087694,101.17911615019945,0.0,0.0,0.0,9.695710900814447e-10,1.357087694486836e-05,1.3571846508853014e-05,0.0,0.0,0.0,2.7389654979544247,1.0299589313490898,0.027070466412106926,0.01017956183740107,266.35511105209224,699.381774156157,1.2088076365023832,1.2254180902470617,4.660852328093475,19.0186575345024,28.670776504568437,11.61617701942805,19.18761383075747,6.1351505694201505,146.80403839323492,23.488075543264365,1.0127530747062652,0.9901148151197363,1.0978330456695415,0.9988614501636108,0.942213504848452,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
20,MYOLEG_V3_K0020,-0.03,0.02,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420538994,119.50001548536063,101.17911806482164,0.0,0.0,0.0,1.1080700801358034e-09,1.5485360634670542e-05,1.548646869764525e-05,0.0,0.0,0.0,3.126133388416065,1.0953452821122336,0.030897026251000714,0.01082580546970161,266.27636606087526,685.95817234979,1.2088076365023832,1.2258371351157586,4.660852328093475,19.004662112121984,28.69770847157522,11.617879907357395,19.236135979165837,6.169220561156629,169.39979209628154,24.389698766051563,1.0137044068890424,0.9902599622334994,1.1006092750870942,1.004408372112452,1.0872369287559855,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
