candidate_id,beta_flex,beta_extend,duration_s,sample_count,hip_min_deg,hip_max_deg,hip_rom_deg,knee_min_deg,knee_max_deg,knee_rom_deg,hip_min_error_deg,hip_max_error_deg,hip_rom_error_deg,knee_min_error_deg,knee_max_error_deg,knee_rom_error_deg,hip_q_max_abs_error_rad,hip_dq_max_abs_error_rad_s,hip_ddq_max_abs_error_rad_s2,max_knee_displacement_deg,rms_knee_displacement_deg,joint_space_path_length_deg,signed_qspace_area_deg2,flex_coordination_slope,extension_coordination_slope,flex_knee_midpoint_time_s,extension_knee_midpoint_time_s,kinematic_gate_pass,exclusion_reason
MYOLEG_V3_K0000,-0.03,-0.03,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423309514,119.49997604310423,101.17907861979471,0.0,0.0,0.0,1.6624497334305488e-09,2.395689577383564e-05,2.3958558230674498e-05,0.0,0.0,0.0,4.704586410061594,1.3936996946294555,268.21119720579577,951.8365917464691,1.2088076365023832,1.2169413400568079,4.660852328093475,19.268770856157552,True,
MYOLEG_V3_K0001,-0.03,-0.0275,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423170962,119.49997807301177,101.17908064984081,0.0,0.0,0.0,1.523897452671008e-09,2.1926988225118293e-05,2.1928512126123678e-05,0.0,0.0,0.0,4.314234173596276,1.3150636156204565,268.0968864102349,938.7194140566326,1.2088076365023832,1.217411322068233,4.660852328093475,19.256576662939548,True,
MYOLEG_V3_K0002,-0.03,-0.025,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423032413,119.49998009682022,101.1790826737878,0.0,0.0,0.0,1.3853487246251461e-09,1.9903179776292745e-05,1.990456513567551e-05,0.0,0.0,0.0,3.9223937054616584,1.238851973813113,267.9843592634003,925.5786666142192,1.2088076365023832,1.217878737732475,4.660852328093475,19.244230170288734,True,
MYOLEG_V3_K0003,-0.03,-0.0225,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742289386,119.49998211453203,101.17908469163817,0.0,0.0,0.0,1.2467964438656054e-09,1.788546796888113e-05,1.7886714772430423e-05,0.0,0.0,0.0,3.529714758737285,1.1655596274309121,267.8736300705626,912.4151569212122,1.2088076365023832,1.2183435693584845,4.660852328093475,19.23169443870321,True,
MYOLEG_V3_K0004,-0.03,-0.02,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422755316,119.49998412614971,101.1790867033944,0.0,0.0,0.0,1.1082512685334223e-09,1.5873850287562163e-05,1.5874958535277983e-05,0.0,0.0,0.0,3.136880825625255,1.0957908845856983,267.76470860722225,899.2297392330722,1.2088076365023832,1.218805799233494,4.660852328093475,19.21896131637431,True,
MYOLEG_V3_K0005,-0.03,-0.0175,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422616778,119.49998613167573,101.17908870905895,0.0,0.0,0.0,9.697131986285967e-10,1.386832427385798e-05,1.3869293994162035e-05,0.0,0.0,0.0,2.7445528219890605,1.030278894992876,267.65760324299015,886.0232721480745,1.2088076365023832,1.2192654079966614,4.660852328093475,19.20628859453298,True,
MYOLEG_V3_K0006,-0.03,-0.015,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422478232,119.49998813111254,101.1790907086343,0.0,0.0,0.0,8.311680232964136e-10,1.1868887455079857e-05,1.1869718633761295e-05,0.0,0.0,0.0,2.6626661070912547,0.9699018024767364,267.55232811194224,872.7965354171358,1.2088076365023832,1.2197223808925894,4.660852328093475,19.19352214062332,True,
MYOLEG_V3_K0007,-0.03,-0.0125,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.3208974223397,119.4999901244627,101.179092702123,0.0,0.0,0.0,6.926370588189457e-10,9.875537301695658e-06,9.876229938754477e-06,0.0,0.0,0.0,2.6626661070912547,0.9156896677658068,267.4488983186394,859.5503488135087,1.2088076365023832,1.2201767039844738,4.660852328093475,19.180569673744735,True,
MYOLEG_V3_K0008,-0.03,-0.01,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742220117,119.49999211172863,101.17909468952746,0.0,0.0,0.0,5.541060943414777e-10,7.888271369438371e-06,7.888825479085426e-06,0.0,0.0,0.0,2.6626661070912547,0.8688090199501717,267.3473228414168,846.2855365964094,1.2088076365023832,1.2206283647556,4.660852328093475,19.16742190058873,True,
MYOLEG_V3_K0009,-0.03,-0.0075,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742206264,119.49999409291286,101.17909667085021,0.0,0.0,0.0,4.155751298640098e-10,5.907087142986711e-06,5.9075027252220025e-06,0.0,0.0,0.0,2.6626661070912547,0.8305116971888328,267.2476097390795,833.0029443228134,1.2088076365023832,1.2210773497890821,4.660852328093475,19.154345201844986,True,
MYOLEG_V3_K0010,-0.03,-0.005,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421924116,119.49999606801782,101.1790986460937,0.0,0.0,0.0,2.7705127081389946e-10,3.9319821780736675e-06,3.932259232897195e-06,0.0,0.0,0.0,2.6626661070912547,0.8020348334772384,267.1497755885312,819.7033979734986,1.2088076365023832,1.2215236481158758,4.660852328093475,19.141194018409518,True,
MYOLEG_V3_K0011,-0.03,-0.0025,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421785588,119.49999803704607,101.17910061526048,0.0,0.0,0.0,1.3852385905011033e-10,1.962953930956246e-06,1.96309245836801e-06,0.0,0.0,0.0,2.6626661070912547,0.7844524371761085,267.0538362046897,806.3877333528469,1.2088076365023832,1.2219672498733678,4.660852328093475,19.127861080233778,True,
MYOLEG_V3_K0012,-0.03,0.0,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6626661070912547,0.7785037462036174,266.9597999348043,793.0567863518381,1.2088076365023832,1.2224081452046176,4.660852328093475,19.114337507314264,True,
MYOLEG_V3_K0013,-0.03,0.0025,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421508548,119.5000019568824,101.17910453537385,0.0,0.0,0.0,1.3851675362275273e-10,1.956882400122595e-06,1.957020913323504e-06,0.0,0.0,0.0,2.6626661070912547,0.784451176798772,266.86767175952923,779.7113913474534,1.2088076365023832,1.2228463250170662,4.660852328093475,19.100944809839206,True,
MYOLEG_V3_K0014,-0.03,0.005,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742137003,119.50000390769671,101.17910648632667,0.0,0.0,0.0,2.7703350724550546e-10,3.9076967084383796e-06,3.907973734840198e-06,0.0,0.0,0.0,2.6626661070912547,0.802025010828702,266.7774590168999,766.3523766607864,1.2088076365023832,1.2232817832756753,4.660852328093475,19.087458454164246,True,
MYOLEG_V3_K0015,-0.03,0.0075,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742123152,119.50000585244669,101.17910843121517,0.0,0.0,0.0,4.155431554409006e-10,5.852446690823854e-06,5.852862230426581e-06,0.0,0.0,0.0,2.6626661070912547,0.8304798079379896,266.6891653488014,752.9805690989397,1.2088076365023832,1.2237145147097868,4.660852328093475,19.073795922178714,True,
MYOLEG_V3_K0016,-0.03,0.01,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421093008,119.50000779113599,101.17911037004298,0.0,0.0,0.0,5.540563563499745e-10,7.791135985257824e-06,7.79169003806146e-06,0.0,0.0,0.0,2.6626661070912547,0.8687370411912154,266.60278672560975,739.5967952666497,1.2088076365023832,1.2241445140582863,4.660852328093475,19.059951729088283,True,
MYOLEG_V3_K0017,-0.03,0.0125,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420954502,119.5000097237683,101.17911230281379,0.0,0.0,0.0,6.925624518316909e-10,9.723768300773372e-06,9.724460852567063e-06,0.0,0.0,0.0,2.6626661070912547,0.915556826081401,266.51831767174497,726.2018768980408,1.2088076365023832,1.224571777995766,4.660852328093475,19.046343441477777,True,
MYOLEG_V3_K0018,-0.03,0.015,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420815992,119.50001165034739,101.1791142295314,0.0,0.0,0.0,8.31072100027086e-10,1.1650347389036142e-05,1.1651178454030742e-05,0.0,0.0,0.0,2.6626661070912547,0.9696862995401152,266.43575933977684,712.7966069969275,1.2088076365023832,1.2249963042923815,4.660852328093475,19.032584811943096,True,
