option,role,dimension,preserves_hip_exactly,preserves_extrema_by_construction_and_audit,separate_flexion_extension_control,C2_endpoint_identity,local_interpretability,parameter_interaction,low_budget_future_search,limitations,selection_used_J_or_subject_truth
P4_BRANCH_AWARE_COORDINATION_FUNCTION,PRIMARY_IMPLEMENTED,2,True,True,True,True,high: advance/delay knee progression per measured branch,disjoint branch interiors,structurally favorable,one scalar warp mode per branch; cannot express multiple interior bends,False
P2_INTERIOR_BSPLINE_JOINT_PERTURBATION,FALLBACK_NOT_IMPLEMENTED,4,True,requires constrained basis,True,achievable with constrained basis,moderate: control-point displacement,multiple overlapping basis supports,less favorable than two-dimensional P4,"more parameters, knot semantics and interaction need additional freeze",False
