swept_branch,swept_beta,beta_flex,beta_extend,finite,duration_s,sample_count,hip_min_deg,hip_max_deg,hip_rom_deg,knee_min_deg,knee_max_deg,knee_rom_deg,hip_min_error_deg,hip_max_error_deg,hip_rom_error_deg,knee_min_error_deg,knee_max_error_deg,knee_rom_error_deg,hip_q_max_abs_error_rad,hip_dq_max_abs_error_rad_s,hip_ddq_max_abs_error_rad_s2,max_knee_displacement_deg,rms_knee_displacement_deg,max_knee_displacement_fraction_of_rom,rms_knee_displacement_fraction_of_rom,joint_space_path_length_deg,signed_qspace_area_deg2,flex_coordination_slope,extension_coordination_slope,flex_knee_midpoint_time_s,extension_knee_midpoint_time_s,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,peak_dq_ratio,rms_dq_ratio,peak_ddq_ratio,rms_ddq_ratio,peak_jerk_ratio,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,kinematic_gate_pass,exclusion_reason
flex,-0.25,-0.25,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.865311684169363,9.332353412792262,0.31493965524642714,0.09223597734092671,272.6993302016235,1694.4661522301485,1.1960548844285728,1.2224081452046176,6.500491001146743,19.114337507314264,28.290056421386033,11.529855959876318,35.12290415439892,7.779243438868825,171.58937243907474,33.299474347603145,0.999304696885596,0.9827571655439715,2.0095820762649232,1.2665355633250042,1.1012900310514706,0.14138007461959723,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.2475,-0.2475,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.434681759302023,9.202926444661928,0.3106835399628007,0.09095679058366027,272.4930084042699,1681.4442072107986,1.1963740470976967,1.2224081452046176,6.476806691099449,19.114337507314264,28.290056421386033,11.513675644226748,37.00358725665662,7.770339027746766,171.58937243907474,33.18203031838987,0.999304696885596,0.9813780224566064,2.1171867047665236,1.265085839653907,1.1012900310514706,0.14996627387340122,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.245,-0.245,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.00743077808628,9.074432238803121,0.30646082034651545,0.0896868227485601,272.29231419113603,1668.5060018600884,1.1966891637286352,1.2224081452046176,6.45274209470816,19.114337507314264,28.290056421386033,11.497958347461015,38.846679647612184,7.7989284383000355,171.58937243907474,33.343547765913684,0.999304696885596,0.980038345181083,2.2226405538412637,1.2697404703367952,1.1012900310514706,0.15855247312720533,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.2425,-0.2425,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.58367511235246,8.94685359373282,0.3022726465543466,0.08842590382539113,272.09704049536197,1655.6500349678827,1.197000186867624,1.2224081452046176,6.427679948681298,19.114337507314264,28.290056421386033,11.482466150855641,40.65239751138784,7.846324311239636,171.58937243907474,33.793239660742884,0.999304696885596,0.9787178545108673,2.325955992618284,1.277456973760882,1.1012900310514706,0.16713867238100932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.24,-0.24,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.163258435530167,8.820173667101214,0.29811747353829104,0.08717386735339824,271.9069890533949,1642.874807670365,1.197307089090338,1.2224081452046176,6.402759971292725,19.114337507314264,28.290056421386033,11.467867097419948,37.956584825039805,7.773679729822122,171.58937243907474,33.716594912164034,0.999304696885596,0.9774734916650507,2.1717131420943727,1.2656297380443047,1.1012900310514706,0.17572487163481332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.2375,-0.2375,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.74568515562723,8.694371458562303,0.293990403132823,0.08593050577642153,271.72197154430205,1630.1783866131864,1.1976099352099665,1.2224081452046176,6.377014196009932,19.114337507314264,28.290056421386033,11.454020393537593,34.65951860438275,7.6715704837788135,171.58937243907474,33.827544253105664,0.999304696885596,0.9762932559789411,1.9830691406711272,1.249005371873684,1.1012900310514706,0.18431107088861742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.235,-0.235,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33043962499464,8.569432560866874,0.28988633895305793,0.08469567670093454,271.5418250858345,1617.5592435510757,1.1979087538213775,1.2224081452046176,6.350734964116165,19.114337507314264,28.290056421386033,11.440956649358371,31.416961621731318,7.54156168740727,171.58937243907474,33.42351390582206,0.999304696885596,0.9751797565349202,1.7975439242778843,1.2278386908919687,1.1012900310514706,0.19289727014242142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.2325,-0.2325,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.91721664030831,8.445340678493668,0.28580226453298363,0.08346921907074249,271.3663923077256,1605.0157560338057,1.1982035701041103,1.2224081452046176,6.324651314651547,19.114337507314264,28.290056421386033,11.428446819691002,28.424917253610154,7.434461054949673,171.58937243907474,32.80543013351939,0.999304696885596,0.9741134704695847,1.6263519662571624,1.210401679063236,1.1012900310514706,0.2014834693962254,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.23,-0.23,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.50616313510895,8.322082531968524,0.28173963208493397,0.08225100163864289,271.19553466694333,1592.546542055598,1.1984943835634505,1.2224081452046176,6.297042844806046,19.114337507314264,28.290056421386033,11.416549515322314,30.304714474402534,7.362625959453223,171.58937243907474,32.384717537794856,0.999304696885596,0.973099393523639,1.7339059084172632,1.1987062354309526,1.1012900310514706,0.2100696686500294,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
flex,-0.2275,-0.2275,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.097484612239825,8.199643920096085,0.27770047268882603,0.08104088404763517,271.02912051169244,1580.150208245232,1.1987811873605287,1.2224081452046176,6.269667705051879,19.114337507314264,28.290056421386033,11.404984176198147,32.147518189872194,7.332508288472807,171.58937243907474,32.131637043934575,0.999304696885596,0.9721136119201415,1.8393432407176569,1.1938027892692569,1.1012900310514706,0.2186558679038334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement;peak_ddq_ratio;rms_ddq_ratio
