subject_id,candidate_id,alpha_phase,joint,q_min_deg,q_max_deg,peak_abs_dq_deg_s,rms_dq_deg_s,peak_abs_ddq_deg_s2,rms_ddq_deg_s2,flexion_midpoint_lag_s,extension_midpoint_lag_s,total_tau_rms_nm,total_tau_rms_delta_from_phase0_nm,mass_rms_nm,mass_rms_delta_from_phase0_nm,bias_gravity_rms_nm,bias_gravity_rms_delta_from_phase0_nm,passive_rms_nm,passive_rms_delta_from_phase0_nm,zero_control_actuator_rms_nm,zero_control_actuator_rms_delta_from_phase0_nm,constraint_rms_nm,constraint_rms_delta_from_phase0_nm
MYOLEG_VP_031,MYOLEG_V2_P15000,-0.03,hip,28.90933692566648,112.02543857007235,22.213392079236467,9.1907263280262,14.684797573758853,4.728690327659183,-0.369903870101302,0.98657007855833,36.57131825371383,-0.01209329848438756,0.12853591218473415,0.012961284262653763,27.82053886555673,-0.01664982580053831,0.08020421753689279,-2.6759582918978175e-07,10.571683671599661,0.013458754584195987,0.0,0.0
MYOLEG_VP_031,MYOLEG_V2_P15000,-0.03,knee,18.320897423309514,119.49997604310423,28.826181129143148,11.660779610201052,15.562447731862543,6.020117937007124,-0.369903870101302,0.98657007855833,11.409252884843239,-0.01130241572739088,0.04457264672345723,0.0076803662741237455,12.881080596675854,-0.014712004676511015,0.19897567977797728,-0.0012243789412186845,5.512901624446753,0.0027721439307075713,0.000606361171567562,2.8278305722360475e-06
MYOLEG_VP_031,MYOLEG_V2_P15011,-0.0025,hip,28.90933692566648,112.02543857007235,22.213392079236467,9.1907263280262,14.684797573758853,4.728690327659183,-0.45385147636637235,0.8456603026345562,36.58213874453063,-0.0012728076675827538,0.11818208718976105,0.002607459267680662,27.83602694542817,-0.0011617459290995669,0.08020421753689279,-2.6759582918978175e-07,10.55903088227527,0.0008059652598042533,0.0,0.0
MYOLEG_VP_031,MYOLEG_V2_P15011,-0.0025,knee,18.320897421785588,119.49999803704607,28.315198396421966,11.723809864579163,16.945534181989466,6.138500311756759,-0.45385147636637235,0.8456603026345562,11.419573937561227,-0.0009813630094033243,0.03745959126652192,0.0005673108171884364,12.89478099593673,-0.001011605415635941,0.20005759079428562,-0.00014246792491034999,5.510215557010088,8.607649404268614e-05,0.0006041832948726228,6.499538772969469e-07
MYOLEG_VP_031,MYOLEG_V2_P15012,0.0,hip,28.90933692566648,112.02543857007235,22.21854857534365,9.190756992249455,14.120955457936416,4.670236863629791,-0.4608174640636067,0.8321367297150424,36.583411552198214,0.0,0.11557462792208038,0.0,27.83718869135727,0.0,0.08020448513272198,0.0,10.558224917015465,0.0,0.0,0.0
MYOLEG_VP_031,MYOLEG_V2_P15012,0.0,knee,18.320897421647064,119.5,28.3097402719651,11.732151506109204,17.477715674932533,6.142143706131845,-0.4608174640636067,0.8321367297150424,11.42055530057063,0.0,0.03689228044933349,0.0,12.895792601352365,0.0,0.20020005871919597,0.0,5.510129480516046,0.0,0.0006035333409953259,0.0
MYOLEG_VP_031,MYOLEG_V2_P15013,0.0025,hip,28.90933692566648,112.02543857007235,22.213392079236467,9.1907263280262,14.684797573758853,4.728690327659183,-0.467684322375046,0.8187440322399837,36.58410840851852,0.0006968563203031408,0.11707723319405207,0.0015026052719716854,27.838309836892275,0.001121145535005752,0.08020421753689279,-2.6759582918978175e-07,10.55747944830026,-0.0007454687152055328,0.0,0.0
MYOLEG_VP_031,MYOLEG_V2_P15013,0.0025,knee,18.320897421508548,119.5000019568824,28.314630669960493,11.740771886897654,17.865212079480465,6.185526245441324,-0.467684322375046,0.8187440322399837,11.421570127141528,0.0010148265708984638,0.03697079749078922,7.851704145573485e-05,12.896765650869735,0.0009730495173698728,0.20034718756318326,0.0001471288439872931,5.5100633459266275,-6.61345894181764e-05,0.0006026978284382904,-8.355125570354716e-07
MYOLEG_VP_031,MYOLEG_V2_P15024,0.03,hip,28.90933692566648,112.02543857007235,22.213392079236467,9.1907263280262,14.684797573758853,4.728690327659183,-0.5375703125454825,0.6665482373143341,36.59603165851107,0.012620106312859036,0.11704938671973052,0.001474758797650133,27.84796862852649,0.010779937169221654,0.08020421753689279,-2.6759582918978175e-07,10.554036543058121,-0.004188373957344282,0.0,0.0
MYOLEG_VP_031,MYOLEG_V2_P15024,0.03,knee,18.32089741998503,119.50002308291111,29.1233380058049,11.862274632624615,20.709464944166353,6.562463573217935,-0.5375703125454825,0.6665482373143341,11.43389156479274,0.013336264222109762,0.04023676088096912,0.003344480431635634,12.904932878842125,0.00914027748975954,0.20242281619276065,0.0022227574735646793,5.510688958989227,0.000559478473181052,0.0006002346902551876,-3.29865074013831e-06
