parameter,admitted_lower,admitted_upper,actual_generator_formula,changes_cycle_duration,changes_flexion_extension_branch_duration,changes_cycle_endpoint,changes_turning_point,preserves_closure,preserves_C2,changes_rehabilitation_task_amplitude,low_hip_min_deg,high_hip_min_deg,delta_hip_min_deg,low_hip_max_deg,high_hip_max_deg,delta_hip_max_deg,low_hip_range_deg,high_hip_range_deg,delta_hip_range_deg,low_knee_min_deg,high_knee_min_deg,delta_knee_min_deg,low_knee_max_deg,high_knee_max_deg,delta_knee_max_deg,low_knee_range_deg,high_knee_range_deg,delta_knee_range_deg,low_joint_space_path_length_deg,high_joint_space_path_length_deg,delta_joint_space_path_length_deg,low_signed_qspace_area_deg2,high_signed_qspace_area_deg2,delta_signed_qspace_area_deg2,low_flexion_midpoint_lag_s,high_flexion_midpoint_lag_s,delta_flexion_midpoint_lag_s,low_extension_midpoint_lag_s,high_extension_midpoint_lag_s,delta_extension_midpoint_lag_s,low_hip_peak_abs_dq_deg_s,high_hip_peak_abs_dq_deg_s,delta_hip_peak_abs_dq_deg_s,low_knee_peak_abs_dq_deg_s,high_knee_peak_abs_dq_deg_s,delta_knee_peak_abs_dq_deg_s,low_hip_rms_dq_deg_s,high_hip_rms_dq_deg_s,delta_hip_rms_dq_deg_s,low_knee_rms_dq_deg_s,high_knee_rms_dq_deg_s,delta_knee_rms_dq_deg_s,low_hip_peak_abs_ddq_deg_s2,high_hip_peak_abs_ddq_deg_s2,delta_hip_peak_abs_ddq_deg_s2,low_knee_peak_abs_ddq_deg_s2,high_knee_peak_abs_ddq_deg_s2,delta_knee_peak_abs_ddq_deg_s2,low_hip_rms_ddq_deg_s2,high_hip_rms_ddq_deg_s2,delta_hip_rms_ddq_deg_s2,low_knee_rms_ddq_deg_s2,high_knee_rms_ddq_deg_s2,delta_knee_rms_ddq_deg_s2
delta_hip_amp,-5.0,2.0,q_hip=q_hip_ref+radians(alpha_hip)*minimum_jerk_amplitude_basis,False,False,False,True,True,True,True,28.909336160834915,28.909337231599107,1.0707641919793787e-06,107.02543858098251,114.02543856570828,6.9999999847257754,78.1161024201476,85.11610133410917,6.999998913961576,18.320897421647064,18.320897421647064,0.0,119.5,119.5,0.0,101.17910257835294,101.17910257835294,0.0,260.90750071980904,269.96668998252574,9.0591892627167,794.3442427916493,667.8423405924419,-126.5019021992074,-0.32728222174709387,-0.5113249801994169,-0.18404275845232299,0.8754451879907812,0.816148998191732,-0.05929618979904916,20.79958485871499,22.778914967445058,1.9793301087300676,28.290056421386033,28.290056421386033,0.0,8.667579733038428,9.405156094772597,0.7375763617341686,11.732080620252356,11.732080620252356,0.0,14.342735593476474,14.8427606715987,0.500025078122226,17.826758226796514,17.826758226796514,0.0,4.640232244756563,4.771372547341644,0.1311403025850817,6.226281439141631,6.226281439141631,0.0
delta_knee_amp,-5.0,0.5,q_knee=q_knee_ref(warped_phase)+radians(alpha_knee)*minimum_jerk_amplitude_basis,False,False,False,True,True,True,True,28.90933692566648,28.90933692566648,0.0,112.02543857007235,112.02543857007235,0.0,83.11610164440587,83.11610164440587,0.0,18.320897344114965,18.320897429400276,8.528531125762129e-08,114.50093417844752,119.99990948990734,5.498975311459816,96.18003683433255,101.67901206050706,5.498975226174508,260.29861070062765,268.02976496683345,7.731154266205806,590.6941848715053,715.3148968557053,124.62071198420006,-0.5731516453000074,-0.4498991822693723,0.12325246303063508,0.8543180443391059,0.8300743716443613,-0.02424367269474459,22.213392079236467,22.213392079236467,0.0,26.599852094462957,28.45907685407834,1.8592247596153832,9.1907263280262,9.1907263280262,0.0,11.218547348219262,11.784290954872379,0.5657436066531165,14.684797573758853,14.684797573758853,0.0,16.97205676436531,17.912228373039635,0.9401716086743264,4.728690327659183,4.728690327659183,0.0,6.080281899944241,6.241857720179455,0.161575820235214
knee_phase_shift,-0.03,0.03,knee branch phase r'=r+alpha_phase*64*r^3*(1-r)^3,False,False,False,False,True,True,False,28.90933692566648,28.90933692566648,0.0,112.02543857007235,112.02543857007235,0.0,83.11610164440587,83.11610164440587,0.0,18.320897423309514,18.32089741998503,-3.324483799360678e-09,119.49997604310423,119.50002308291111,4.7039806887028135e-05,101.17907861979471,101.17912566292608,4.704313137438021e-05,268.21119720579577,266.79972160578643,-1.4114756000093394,951.8365917464716,460.85221750444055,-490.9843742420311,-0.369903870101302,-0.5375703125454825,-0.1676664424441805,0.98657007855833,0.6665482373143341,-0.3200218412439959,22.213392079236467,22.213392079236467,0.0,28.826181129143148,29.1233380058049,0.2971568766617523,9.1907263280262,9.1907263280262,0.0,11.660779610201052,11.862274632624615,0.20149502242356299,14.684797573758853,14.684797573758853,0.0,15.562447731862543,20.709464944166353,5.14701721230381,4.728690327659183,4.728690327659183,0.0,6.020117937007124,6.562463573217935,0.5423456362108103
