subject_id,scenario_name,trial_id,parameter,sensitivity,uncertainty_proxy,optimizer_standard_error,recovery_stability_relative_change,maximum_abs_correlation_with_other_parameter,parameter_supported_by_research_rule,rank,minimum_singular_value,condition_number,maximum_abs_parameter_correlation,highest_correlation_pair,weakest_parameter,training_residual_rmse_nm,within_identification_validation_residual_rmse_nm,case_id,estimate,delta_theta,normalized_parameter_change,maximum_normalized_parameter_change_in_trial,gate,validation_residual_used_by_gate,threshold_status,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline,matched_linear,3,mass_scale,630.1077115326691,0.0017056766598023494,7.71041896211307e-12,0.0,0.2669153681304012,False,5,24.733189232767984,36.76652556261329,0.2669153681304012,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.4830500177619365e-09,4.451147269380076e-09,baseline__matched_linear,1.0000000000345897,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,3,k_hip_nm_per_rad,767.558100711601,0.0013538098635440603,1.215914101127744e-10,0.0,0.2592415854830373,False,5,24.733189232767984,36.76652556261329,0.2669153681304012,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.4830500177619365e-09,4.451147269380076e-09,baseline__matched_linear,14.99999999980913,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,3,k_knee_nm_per_rad,878.0017167434313,0.001184839561347269,1.4930267428252061e-10,0.0,0.26691536813040095,False,5,24.733189232767984,36.76652556261329,0.2669153681304012,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.4830500177619365e-09,4.451147269380076e-09,baseline__matched_linear,12.000000000127748,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,3,b_hip_nm_s_per_rad,24.855750048115024,0.04043129298342848,5.444455361865978e-10,0.0,0.06822992511969536,False,5,24.733189232767984,36.76652556261329,0.2669153681304012,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.4830500177619365e-09,4.451147269380076e-09,baseline__matched_linear,2.0000000236898585,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,3,b_knee_nm_s_per_rad,33.24263810187374,0.030159414333737953,5.805661608781076e-10,0.0,0.0666474226095386,False,5,24.733189232767984,36.76652556261329,0.2669153681304012,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.4830500177619365e-09,4.451147269380076e-09,baseline__matched_linear,1.4999999999917641,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,4,mass_scale,727.4376249336289,0.0014786675826467253,6.527617773441303e-12,0.0,0.26670334384817995,False,5,27.892893201141472,37.71559460389252,0.26670334384818006,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,4.3789182966159e-09,4.347788132601168e-09,baseline__matched_linear,1.0000000000345897,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,4,k_hip_nm_per_rad,884.6573071531387,0.0011757084887715635,1.0311064134349826e-10,0.0,0.2625874744099532,False,5,27.892893201141472,37.71559460389252,0.26670334384818006,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,4.3789182966159e-09,4.347788132601168e-09,baseline__matched_linear,14.99999999980913,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,4,k_knee_nm_per_rad,1016.1651645186586,0.0010236794518849294,1.2679272991855422e-10,0.0,0.26670334384818006,False,5,27.892893201141472,37.71559460389252,0.26670334384818006,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,4.3789182966159e-09,4.347788132601168e-09,baseline__matched_linear,12.000000000127748,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,4,b_hip_nm_s_per_rad,28.030729903551652,0.035851249606596476,4.714011822105615e-10,0.0,0.06800952987611407,False,5,27.892893201141472,37.71559460389252,0.26670334384818006,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,4.3789182966159e-09,4.347788132601168e-09,baseline__matched_linear,2.0000000236898585,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,4,b_knee_nm_s_per_rad,37.64005130167879,0.026635925690012954,5.040946364942679e-10,0.0,0.06666506193822071,False,5,27.892893201141472,37.71559460389252,0.26670334384818006,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,4.3789182966159e-09,4.347788132601168e-09,baseline__matched_linear,1.4999999999917641,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
