case_id,subject_id,scenario_name,trial_id,temporary_parameter_name,validation_trajectory_count,validation_sample_count,validation_hip_rmse_nm,validation_knee_rmse_nm,validation_combined_rmse_nm,validation_combined_nrmse_percent,validation_nrmse_unreliable_small_range,validation_j_actual,validation_j_predicted,validation_e_j,validation_relative_e_j_percent,mechanical_objective_interpretation,gate,training_residual_used_by_gate,heldout_final_test_used,truth_parameters_used_by_decision,threshold_status,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
knee_stiff__matched_linear,knee_stiff,matched_linear,2,theta_hat_ID_2,2,3002,1.53040315235139e-14,7.348042781528275e-15,1.2004314091023213e-14,2.1249981773654193e-14,False,1.0,1.0,0.0,0.0,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,3,theta_hat_ID_3,2,3002,1.53040315235139e-14,7.348042781528275e-15,1.2004314091023213e-14,2.1249981773654193e-14,False,1.0,1.0,0.0,0.0,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,4,theta_hat_ID_4,2,3002,1.53040315235139e-14,7.348042781528275e-15,1.2004314091023213e-14,2.1249981773654193e-14,False,1.0,1.0,0.0,0.0,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,5,theta_hat_ID_5,2,3002,1.53040315235139e-14,7.348042781528275e-15,1.2004314091023213e-14,2.1249981773654193e-14,False,1.0,1.0,0.0,0.0,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,1,theta_hat_ID_1,2,3002,2.921162724702772e-12,4.2362244197687144e-14,2.0657911588452484e-12,3.922785651655058e-12,False,1.0,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,2,theta_hat_ID_2,2,3002,2.921162724702772e-12,4.2362244197687144e-14,2.0657911588452484e-12,3.922785651655058e-12,False,1.0,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,3,theta_hat_ID_3,2,3002,2.921162724702772e-12,4.2362244197687144e-14,2.0657911588452484e-12,3.922785651655058e-12,False,1.0,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,4,theta_hat_ID_4,2,3002,2.921162724702772e-12,4.2362244197687144e-14,2.0657911588452484e-12,3.922785651655058e-12,False,1.0,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,5,theta_hat_ID_5,2,3002,2.921162724702772e-12,4.2362244197687144e-14,2.0657911588452484e-12,3.922785651655058e-12,False,1.0,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,1,theta_hat_ID_1,2,3002,0.6756956031692347,1.1602880147007244,0.9494295195538172,2.306023401327705,False,1.0,1.059319017406856,0.05931901740685608,5.931901740685608,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
