subject_id,scenario_name,case_id,trial_id,temporary_parameter_name,parameter,estimate,previous_estimate,previous_state,delta_theta,absolute_delta_theta,parameter_scale,normalized_parameter_change,parameter_interpretation,is_tissue_material_change,maximum_normalized_parameter_change_in_trial,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline,matched_linear,baseline__matched_linear,5,theta_hat_ID_5,k_knee_nm_per_rad,12.000000000127748,12.000000000127748,theta_hat_ID_4,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,5,theta_hat_ID_5,b_hip_nm_s_per_rad,2.0000000236898585,2.0000000236898585,theta_hat_ID_4,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,5,theta_hat_ID_5,b_knee_nm_s_per_rad,1.4999999999917641,1.4999999999917641,theta_hat_ID_4,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,1,theta_hat_ID_1,mass_scale,0.9999999999999999,1.0,initial_guess,-1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16,local_equivalent_dynamics_parameter,False,1.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,1,theta_hat_ID_1,k_hip_nm_per_rad,30.0,10.0,initial_guess,20.0,20.0,20.0,1.0,local_equivalent_dynamics_parameter,False,1.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,1,theta_hat_ID_1,k_knee_nm_per_rad,11.999999999999893,10.0,initial_guess,1.9999999999998934,1.9999999999998934,20.0,0.09999999999999468,local_equivalent_dynamics_parameter,False,1.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,1,theta_hat_ID_1,b_hip_nm_s_per_rad,1.9999999999999998,1.0,initial_guess,0.9999999999999998,0.9999999999999998,3.0,0.33333333333333326,local_equivalent_dynamics_parameter,False,1.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,1,theta_hat_ID_1,b_knee_nm_s_per_rad,1.4999999999950528,1.0,initial_guess,0.49999999999505285,0.49999999999505285,3.0,0.16666666666501762,local_equivalent_dynamics_parameter,False,1.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,2,theta_hat_ID_2,mass_scale,0.9999999999999999,0.9999999999999999,theta_hat_ID_1,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,2,theta_hat_ID_2,k_hip_nm_per_rad,30.0,30.0,theta_hat_ID_1,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,2,theta_hat_ID_2,k_knee_nm_per_rad,11.999999999999893,11.999999999999893,theta_hat_ID_1,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,2,theta_hat_ID_2,b_hip_nm_s_per_rad,1.9999999999999998,1.9999999999999998,theta_hat_ID_1,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,hip_stiff__matched_linear,2,theta_hat_ID_2,b_knee_nm_s_per_rad,1.4999999999950528,1.4999999999950528,theta_hat_ID_1,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
