subject_i,subject_j,all_candidate_kendall_tau_b,all_candidate_rank_inversion_rate,all_candidate_crossover_exists,deterministic_subset_count,subset_kendall_tau_b,subset_rank_inversion_rate,subset_crossover_exists
MYOLEG_VP_001,MYOLEG_VP_002,0.9826192553237596,0.0086903723381202,True,512,0.9828155577299414,0.008592221135029277,True
MYOLEG_VP_001,MYOLEG_VP_003,0.9827912456150478,0.008604377192476087,True,512,0.9834576810176127,0.00827115949119367,True
MYOLEG_VP_001,MYOLEG_VP_005,0.9879038530392954,0.006048073480352301,True,512,0.98757032778865,0.006214836105675026,True
MYOLEG_VP_001,MYOLEG_VP_006,0.9813439663759341,0.009328016812032935,True,512,0.9822498776908025,0.00887506115459874,True
MYOLEG_VP_001,MYOLEG_VP_007,0.9890900897158474,0.005454955142076279,True,512,0.9881665851272017,0.00591670743639916,True
MYOLEG_VP_001,MYOLEG_VP_009,0.9931993700882557,0.0034003149558721746,True,512,0.9925238502935422,0.003738074853228912,True
MYOLEG_VP_001,MYOLEG_VP_010,0.9817674466113471,0.009116276694326464,True,512,0.9820205479452057,0.008989726027397171,True
MYOLEG_VP_001,MYOLEG_VP_011,0.9901553649227923,0.004922317538603838,True,512,0.9894049657534248,0.005297517123287576,True
MYOLEG_VP_001,MYOLEG_VP_013,0.9884744925126498,0.005762753743675075,True,512,0.9875550391389434,0.00622248043052831,True
MYOLEG_VP_001,MYOLEG_VP_014,0.9896117144738175,0.0051941427630912695,True,512,0.9890991927592957,0.005450403620352151,True
MYOLEG_VP_001,MYOLEG_VP_015,0.9803465233917766,0.009826738304111682,True,512,0.9813478473581214,0.009326076320939292,True
MYOLEG_VP_001,MYOLEG_VP_017,0.9934633618778953,0.0032683190610523494,True,512,0.9932118395303329,0.003394080234833563,True
MYOLEG_VP_001,MYOLEG_VP_018,0.9917857120378278,0.004107143981086081,True,512,0.991851149706458,0.004074425146770977,True
MYOLEG_VP_001,MYOLEG_VP_019,0.9844652844502542,0.007767357774872918,True,512,0.9845278864970647,0.007736056751467657,True
MYOLEG_VP_001,MYOLEG_VP_021,0.984327102371808,0.007836448814096009,True,512,0.9836717221135031,0.008164138943248467,True
MYOLEG_VP_001,MYOLEG_VP_022,0.9818217699354713,0.009089115032264339,True,512,0.9826473825831704,0.008676308708414793,True
MYOLEG_VP_001,MYOLEG_VP_023,0.9935327046804054,0.0032336476597972785,True,512,0.9931048189823876,0.0034475905088062198,True
MYOLEG_VP_001,MYOLEG_VP_025,0.9940854329941903,0.0029572835029048616,True,512,0.994220890410959,0.0028895547945205213,True
MYOLEG_VP_001,MYOLEG_VP_026,0.9987864290237034,0.0006067854881482981,True,512,0.99879219667319,0.0006039016634050154,True
MYOLEG_VP_001,MYOLEG_VP_027,0.9840959405148092,0.007952029742595401,True,512,0.9835952788649709,0.008202360567514555,True
MYOLEG_VP_001,MYOLEG_VP_029,0.9740143026723415,0.01299284866382927,True,512,0.9752782534246578,0.012360873287671104,True
MYOLEG_VP_001,MYOLEG_VP_030,0.9936989116093268,0.003150544195336613,True,512,0.9931812622309198,0.003409368884540076,True
MYOLEG_VP_001,MYOLEG_VP_031,0.9916275039882003,0.00418624800589984,True,512,0.990949119373777,0.004525440313111473,True
