record_type,metric,dimension,inward_step_count,subject_id,boundary_candidate_id,inward_candidate_id,inward_delta_from_boundary,slope_toward_boundary_per_unit,improves_toward_boundary,improvement_support_fraction
SUBJECT,J,hip,2,MYOLEG_VP_013,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0006089263257808009,-0.0012178526515616017,True,
SUBJECT,J,hip,2,MYOLEG_VP_014,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0006022716793272487,-0.0012045433586544974,True,
SUBJECT,J,hip,2,MYOLEG_VP_015,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0005229711118397429,-0.0010459422236794857,True,
SUBJECT,J,hip,2,MYOLEG_VP_017,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0005946035347799139,-0.0011892070695598278,True,
SUBJECT,J,hip,2,MYOLEG_VP_018,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0005864348666249075,-0.001172869733249815,True,
SUBJECT,J,hip,2,MYOLEG_VP_019,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0005629057157542361,-0.0011258114315084722,True,
SUBJECT,J,hip,2,MYOLEG_VP_021,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0005678479775718115,-0.001135695955143623,True,
SUBJECT,J,hip,2,MYOLEG_VP_022,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.000551385673298932,-0.001102771346597864,True,
SUBJECT,J,hip,2,MYOLEG_VP_023,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0006121749858508663,-0.0012243499717017325,True,
SUBJECT,J,hip,2,MYOLEG_VP_025,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0005803786332067018,-0.0011607572664134036,True,
SUBJECT,J,hip,2,MYOLEG_VP_026,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.000592893691566565,-0.00118578738313313,True,
SUBJECT,J,hip,2,MYOLEG_VP_027,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.000565810702201186,-0.001131621404402372,True,
SUBJECT,J,hip,2,MYOLEG_VP_029,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0005168489706131041,-0.0010336979412262082,True,
SUBJECT,J,hip,2,MYOLEG_VP_030,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0006321262476869371,-0.0012642524953738743,True,
SUBJECT,J,hip,2,MYOLEG_VP_031,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0006139128821522899,-0.0012278257643045798,True,
SUMMARY,J,hip,2,ALL_DEVELOPMENT,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.0005833624845221208,-0.0011667249690442416,,1.0
SUBJECT,J,hip,3,MYOLEG_VP_001,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008885598894233793,-0.0011847465192311724,True,
SUBJECT,J,hip,3,MYOLEG_VP_002,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008465406835694855,-0.0011287209114259806,True,
SUBJECT,J,hip,3,MYOLEG_VP_003,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008273485409512338,-0.0011031313879349784,True,
SUBJECT,J,hip,3,MYOLEG_VP_005,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008779794094047055,-0.0011706392125396075,True,
SUBJECT,J,hip,3,MYOLEG_VP_006,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008202817109280724,-0.0010937089479040967,True,
SUBJECT,J,hip,3,MYOLEG_VP_007,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009434411695706801,-0.0012579215594275734,True,
SUBJECT,J,hip,3,MYOLEG_VP_009,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009334905162787788,-0.0012446540217050384,True,
SUBJECT,J,hip,3,MYOLEG_VP_010,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008343933324680419,-0.0011125244432907226,True,
SUBJECT,J,hip,3,MYOLEG_VP_011,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009098832418819036,-0.0012131776558425382,True,
SUBJECT,J,hip,3,MYOLEG_VP_013,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009204563236779872,-0.0012272750982373164,True,
SUBJECT,J,hip,3,MYOLEG_VP_014,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009107085724801012,-0.001214278096640135,True,
SUBJECT,J,hip,3,MYOLEG_VP_015,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0007933915598314911,-0.0010578554131086548,True,
SUBJECT,J,hip,3,MYOLEG_VP_017,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009002284899942703,-0.0012003046533256938,True,
SUBJECT,J,hip,3,MYOLEG_VP_018,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008877363114191406,-0.0011836484152255207,True,
SUBJECT,J,hip,3,MYOLEG_VP_019,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008520261813390606,-0.0011360349084520809,True,
SUBJECT,J,hip,3,MYOLEG_VP_021,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008588124885386961,-0.0011450833180515947,True,
SUBJECT,J,hip,3,MYOLEG_VP_022,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008352737866853532,-0.0011136983822471376,True,
SUBJECT,J,hip,3,MYOLEG_VP_023,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009258033603163351,-0.0012344044804217802,True,
