data_scope,sample_count,parameter,outcome,spearman_rho,raw_p_value,undefined_reason,bh_q_value_across_all_tests,exploratory_only,predictive_model_trained
ALL_24_DEVELOPMENT_COMPACT,24,HIP_ONLY_PASSIVE_FP_MAX_SCALE,knee_raw_scale,0.25565217391304346,0.22791835585505185,,0.5860757721987048,True,False
ALL_24_DEVELOPMENT_COMPACT,24,HIP_ONLY_PASSIVE_FP_MAX_SCALE,J_local_gradient_norm,0.32260869565217387,0.12416401155590807,,0.3944033308246492,True,False
ALL_24_DEVELOPMENT_COMPACT,24,HIP_ONLY_PASSIVE_FP_MAX_SCALE,J_interaction_rms,-0.31652173913043474,0.13183422455052596,,0.3955026736515779,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_ONLY_PASSIVE_FP_MAX_SCALE,mass_scale,0.3714285714285715,0.46847813411078715,,0.7666005830903789,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_ONLY_PASSIVE_FP_MAX_SCALE,bias_gravity_scale,0.5428571428571429,0.26570262390670557,,0.5978309037900875,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_ONLY_PASSIVE_FP_MAX_SCALE,passive_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_ONLY_PASSIVE_FP_MAX_SCALE,zero_control_actuator_scale,0.942857142857143,0.004804664723032055,,0.037064556434818714,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_ONLY_PASSIVE_FP_MAX_SCALE,constraint_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
ALL_24_DEVELOPMENT_COMPACT,24,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,hip_raw_scale,0.06695652173913043,0.7559095203776366,,1.0,True,False
ALL_24_DEVELOPMENT_COMPACT,24,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,knee_raw_scale,0.04434782608695652,0.8369769840650598,,1.0,True,False
ALL_24_DEVELOPMENT_COMPACT,24,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,J_local_gradient_norm,-0.3608695652173913,0.08319459278354294,,0.2995005340207546,True,False
ALL_24_DEVELOPMENT_COMPACT,24,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,J_interaction_rms,-0.13652173913043478,0.5247096194478427,,0.8333623367701031,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,mass_scale,0.5428571428571429,0.26570262390670557,,0.5978309037900875,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,bias_gravity_scale,0.4285714285714286,0.3965014577259474,,0.7137026239067054,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,passive_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,zero_control_actuator_scale,-0.08571428571428573,0.8717434402332361,,1.0,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,constraint_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
ALL_24_DEVELOPMENT_COMPACT,24,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,hip_raw_scale,-0.37130434782608696,0.0740352796389887,,0.28556465003609927,True,False
ALL_24_DEVELOPMENT_COMPACT,24,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,knee_raw_scale,-0.3417391304347826,0.10216672120818251,,0.344812684077616,True,False
ALL_24_DEVELOPMENT_COMPACT,24,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,J_local_gradient_norm,-0.3782608695652173,0.06836896832220618,,0.28556465003609927,True,False
ALL_24_DEVELOPMENT_COMPACT,24,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,J_interaction_rms,0.27043478260869563,0.20121293703334,,0.543274929990018,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,mass_scale,-0.6571428571428573,0.15617492711370237,,0.44386558232315415,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,bias_gravity_scale,-0.5428571428571429,0.26570262390670557,,0.5978309037900875,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,passive_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,zero_control_actuator_scale,-0.3714285714285715,0.46847813411078715,,0.7666005830903789,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,constraint_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
