subject_id,joint,anchor_subject_id,affine_slope,affine_intercept,affine_r2,affine_nrmse,proportional_slope,proportional_r2,proportional_nrmse,residual_candidate_dependence,max_abs_residual_alpha_spearman
MYOLEG_VP_001,hip,MYOLEG_VP_031,0.9291125629432093,1.025364506372139,0.9999679343494806,5.010075363162468e-05,0.9569297216863806,0.9990715154447551,0.00026959483850578624,5.01022559706697e-05,0.32389192234757386
MYOLEG_VP_001,knee,MYOLEG_VP_031,0.8647916750033271,0.3444596815154045,0.9996407751203126,0.00029134571000088305,0.8943678961852712,0.9984712325303648,0.0006010299861172715,0.0002913544463971248,0.039482687774108405
MYOLEG_VP_002,hip,MYOLEG_VP_031,0.995592520903412,1.2879176833703032,0.9999926427126191,2.3878618505093713e-05,1.0305324963207454,0.998760914740785,0.00030988526937514587,2.3879334537854124e-05,0.684608724715619
MYOLEG_VP_002,knee,MYOLEG_VP_031,1.0626492722469738,-0.0029364686044936156,0.9998236985273327,0.0002111179081589696,1.062397139270022,0.9998236422267953,0.0002111516149190996,0.00021112423881576692,0.5712990401223577
MYOLEG_VP_003,hip,MYOLEG_VP_031,0.9330745543650693,1.5342534705171305,0.9999631416648845,5.296035582558887e-05,0.9746973841747703,0.9979731531644614,0.00039272948022844823,5.2961943913683906e-05,0.26283968780467704
MYOLEG_VP_003,knee,MYOLEG_VP_031,0.9234900249406329,-0.018851165948123624,0.9999677713677452,9.039527366004426e-05,0.9218714138707794,0.9999646986950108,9.460632369078352e-05,9.039798428492034e-05,0.8760799034190623
MYOLEG_VP_005,hip,MYOLEG_VP_031,0.9667301429602292,1.3427248456590102,0.9999921693470699,2.4573429169444445e-05,1.003156984291267,0.9985722451280892,0.0003318131574237076,2.4574166037044935e-05,0.45480260716593957
MYOLEG_VP_005,knee,MYOLEG_VP_031,1.0175087481262897,0.029755359816157984,0.9999541147991483,0.00010740206571091596,1.0200636221812132,0.9999478088208916,0.00011454466599243806,0.00010740528630751656,0.7588216434214534
MYOLEG_VP_006,hip,MYOLEG_VP_031,0.9660145954033024,1.751416429104477,0.9999621870920471,5.340773504523164e-05,1.0135288486576608,0.997542829421954,0.00043052837005852414,5.340933654859932e-05,0.30170602966331406
MYOLEG_VP_006,knee,MYOLEG_VP_031,0.9705196613321252,-0.040667098168905735,0.999981255657551,6.906541894655891e-05,0.9670278765026792,0.9999683081003128,8.980482726711948e-05,6.906748996681358e-05,0.9715346170106618
MYOLEG_VP_007,hip,MYOLEG_VP_031,1.0143427666820162,-0.21895873937460322,0.9999919702452335,2.5973704401139506e-05,1.0084026254214848,0.9999576732048003,5.963352011537564e-05,2.597448325789189e-05,0.9859337611736338
MYOLEG_VP_007,knee,MYOLEG_VP_031,1.0062900241462023,0.021737052601395426,0.999963025230777,9.647427905283824e-05,1.0081564250926174,0.9999595844483794,0.00010086327399735199,9.647717196493547e-05,0.592982844396797
