subject_id,family,candidate_id,candidate_index,duration_scale,assistance_timing,hip_share,E3,E2,peak_ratio,native_E3,assistance_E3_change,valid,feasible,actuation_valid,actuation_violations,assist_peak_l1_nm,hip_assist_peak_nm,hip_abs_impulse_nm_s,hip_signed_work_j,hip_positive_work_j,hip_negative_work_j,hip_squared_torque_integral_nm2_s,hip_native_peak_nm,hip_net_peak_nm,knee_assist_peak_nm,knee_abs_impulse_nm_s,knee_signed_work_j,knee_positive_work_j,knee_negative_work_j,knee_squared_torque_integral_nm2_s,knee_native_peak_nm,knee_net_peak_nm,hip_flex_net_rms_nm,hip_flex_native_rms_nm,hip_flex_reference_rms_nm,hip_extend_net_rms_nm,hip_extend_native_rms_nm,hip_extend_reference_rms_nm,knee_flex_net_rms_nm,knee_flex_native_rms_nm,knee_flex_reference_rms_nm,knee_extend_net_rms_nm,knee_extend_native_rms_nm,knee_extend_reference_rms_nm
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:0,0,1.0,0.5,0.5,1.0004583527077529,1.0163622330986668,1.0,1.0,0.00045835270775285153,True,False,True,[],2.0,1.0,4.3799591519545915,0.8725503734311479,0.8725503734311479,0.0,3.2677711243244434,51.06565373794856,51.06565373794856,1.0,4.3799591519545915,1.1146049879377318,1.1146049879377313,0.0,3.2677711243244434,16.47304853531143,16.47304853531143,32.74060006917505,32.87745213385689,32.87745213385689,37.922106699051085,37.72019947803967,37.72019947803967,10.044853797108017,9.883143499422886,9.883143499422886,10.507257639689737,10.675059904668554,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:1,1,0.9,0.25,0.25,1.0065661537211132,1.0340531811941354,1.00016295589482,1.0001754897783979,0.006390663942715369,True,False,True,[],2.0,0.5,1.9706791493869549,0.4134184945442314,0.4134184945442313,0.0,0.735022803871085,51.12002427911711,51.06664958685637,1.5,5.912037448160857,1.365243622137241,1.366192371583626,-0.0009487494463841308,6.615205234839756,16.475732915675916,16.475732915675916,32.75703656425911,32.88884188234571,32.87745213385689,37.748587459315054,37.72274246643792,37.72019947803967,10.219695975776375,9.869306323006152,9.883143499422886,10.622980535011884,10.693081434510606,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:2,2,0.9,0.25,0.5,1.0032126967291073,1.022030518836716,1.00016295589482,1.0001754897783979,0.0030372069507094146,True,False,True,[],2.0,1.0,3.9413582987739098,0.8268369890884628,0.8268369890884626,0.0,2.94009121548434,51.12002427911711,51.013274894595625,1.0,3.9413582987739098,0.9101624147581614,0.9107949143890842,-0.0006324996309227538,2.94009121548434,16.475732915675916,16.475732915675916,32.62574393099225,32.88884188234571,32.87745213385689,37.77531767931817,37.72274246643792,37.72019947803967,10.100874278452888,9.869306323006152,9.883143499422886,10.6431946584517,10.693081434510606,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:3,3,0.9,0.25,0.75,0.9999936664852023,1.01021036852818,1.00016295589482,1.0001754897783979,-0.0001818232931956043,True,False,True,[],2.0,1.5,5.912037448160857,1.2402554836326938,1.2402554836326938,0.0,6.615205234839756,51.12002427911711,51.00096063066446,0.5,1.9706791493869549,0.4550812073790807,0.4553974571945421,-0.0003162498154613769,0.735022803871085,16.475732915675916,16.475732915675916,32.49497019689886,32.88884188234571,32.87745213385689,37.80293124863136,37.72274246643792,37.72019947803967,9.98405403676888,9.869306323006152,9.883143499422886,10.666568531802506,10.693081434510606,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:4,4,0.9,0.5,0.25,1.0007346900672993,1.023555525381921,1.001064718400504,1.0001754897783979,0.0005592002889014402,True,False,True,[],2.0,0.5,1.9709816183795676,0.43627518671557414,0.43627518671557397,0.0,0.735248502973,51.12002427911711,51.12002427911711,1.5,5.9129448551387025,1.6719074819065973,1.6719074819065969,0.0,6.617236526756999,16.475732915675916,16.475732915675916,32.82001481878608,32.88884188234571,32.87745213385689,37.82342490977277,37.72274246643792,37.72019947803967,10.11594613697671,9.869306323006152,9.883143499422886,10.444410700176567,10.693081434510606,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:5,5,0.9,0.5,0.5,1.0006216292951002,1.0149612485714645,1.001064718400504,1.0001754897783979,0.00044613951670235963,True,False,True,[],2.0,1.0,3.9419632367591353,0.8725503734311483,0.8725503734311479,0.0,2.940994011892,51.12002427911711,51.12002427911711,1.0,3.9419632367591353,1.114604987937731,1.114604987937731,0.0,2.940994011892,16.475732915675916,16.475732915675916,32.75208426217996,32.88884188234571,32.87745213385689,37.92474004796048,37.72274246643792,37.72019947803967,10.031007665985205,9.869306323006152,9.883143499422886,10.52471109754857,10.693081434510606,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:6,6,0.9,0.5,0.75,1.0006490795470366,1.0081251782891862,1.001064718400504,1.0001754897783979,0.00047358976863876023,True,True,True,[],2.0,1.5,5.9129448551387025,1.3088255601467211,1.3088255601467218,0.0,6.617236526756999,51.12002427911711,51.12002427911711,0.5,1.9709816183795676,0.5573024939688656,0.5573024939688656,0.0,0.735248502973,16.475732915675916,16.475732915675916,32.68505580225822,32.88884188234571,32.87745213385689,38.02668282390241,37.72274246643792,37.72019947803967,9.948771874562826,9.869306323006152,9.883143499422886,10.607621579972559,10.693081434510606,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:7,7,0.9,0.75,0.25,0.9964423714715516,1.0143445485205513,1.001238157881335,1.0001754897783979,-0.003733118306846306,True,False,True,[],2.0,0.5,1.9706791493869542,0.19365224006017587,0.1936522935811262,-5.35209504057159e-08,0.7350228038710842,51.12002427911711,51.12888107958972,1.5,5.912037448160862,0.797932281818097,0.7979322818180972,0.0,6.61520523483976,16.475732915675916,16.47519658226362,32.86404185993109,32.88884188234571,32.87745213385689,37.84448120993896,37.72274246643792,37.72019947803967,10.024912730885928,9.869306323006152,9.883143499422886,10.339201081465191,10.693081434510606,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:8,8,0.9,0.75,0.5,0.9983973262082543,1.0087776278665581,1.009814538960568,1.0001754897783979,-0.0017781635701435983,True,True,True,[],2.0,1.0,3.9413582987739084,0.38730448012035174,0.3873045871622524,-1.070419008114318e-07,2.940091215484337,51.12002427911711,51.56683958610653,1.0,3.9413582987739084,0.5319548545453983,0.531954854545398,0.0,2.940091215484337,16.475732915675916,16.47519658226362,32.84026146133534,32.88884188234571,32.87745213385689,37.966727953895884,37.72274246643792,37.72019947803967,9.969894055212613,9.869306323006152,9.883143499422886,10.455230026555187,10.693081434510606,10.675059904668554
MYOLEG_VP_001,CONTROLLED_ACTUATION_V3,CONTROLLED_ACTUATION_V3:9,9,0.9,0.75,0.75,1.0004883775527382,1.0097899357414413,1.0192356429636642,1.0001754897783979,0.00031288777434035353,True,True,True,[],2.0,1.5,5.912037448160862,0.5809567201805275,0.5809568807433787,-1.605628512171477e-07,6.61520523483976,51.12002427911711,52.047934420957844,0.5,1.9706791493869542,0.26597742727269913,0.265977427272699,0.0,0.7350228038710842,16.475732915675916,16.47519658226362,32.817502903094706,32.88884188234571,32.87745213385689,38.08947780708402,37.72274246643792,37.72019947803967,9.918008779520578,9.869306323006152,9.883143499422886,10.573211689400845,10.693081434510606,10.675059904668554
