rule,evaluated_move_count,maximum_observed_improvement,moves_exceeding_existing_0p005,addresses_stepwise_problem,policy_enabled
RULE_A_SINGLE_STEP,5,0.004467187931,0,False,False
RULE_B_MULTI_STEP_CANDIDATE,3,0.022042232169,3,True,False
