site,body,local_x_m,local_y_m,local_z_m,world_x_m,world_y_m,world_z_m,distance_from_knee_center_m,fraction_of_knee_to_ankle_distance,abs_error_from_project_L2_m,selected_provisional_strap_site,selection_uses_site_name_only
R_tibial_plateau,tibia_r,-0.0081,-0.017,-0.0015,0.4470015120408146,-0.07502783075924618,1.131085374463375,0.01889073847153678,0.04721209470380502,0.2811092615284632,False,False
RTB1,tibia_r,-0.0017,-0.1565,0.0492,0.5877986664071421,-0.121828506889564,1.1386720757287199,0.16406029379468975,0.41002262243159693,0.13593970620531023,False,False
RTB2,tibia_r,0.037,-0.2301,-0.0039,0.6612892840201315,-0.06307346760035434,1.168357669557794,0.23308843815170202,0.5825390803520515,0.06691156184829797,False,False
RTB3,tibia_r,0.0114,-0.2952,0.0554,0.7269483728361592,-0.12367411163934192,1.1477104906243687,0.3005697256877341,0.751189604135766,0.0005697256877341128,True,False
