direction,force_x_n,force_y_n,force_z_n,site,site_world_x_m,site_world_y_m,site_world_z_m,hip_qfrc_applied,knee_qfrc_applied,hip_jacobian_expected,knee_jacobian_expected,mujoco_jacobian_max_abs_error,project_tau_hip,project_tau_knee,project_vs_myoleg_relative_error,hip_qacc_delta_rad_s2,knee_qacc_delta_rad_s2,max_generalized_qacc_delta,finite_after_pulse,warning_count
PROJECT_POSITIVE_X,2.0,0.0,0.0,RTB3,0.732603260795119,-0.1239595743725116,1.1347746978518864,-0.4087255022687975,0.01889447096392355,-0.4087255022687975,0.01889447096392355,0.0,-0.38936713760908476,-0.01563773414442066,0.10159109535628331,-0.4023964231443742,-0.6705628787079441,0.6705628787079441,True,0
PROJECT_NEGATIVE_X,-2.0,0.0,0.0,RTB3,0.7324440856969242,-0.1239448832648553,1.13489724419827,0.4087255022687975,-0.01889447096392355,0.4087255022687975,-0.01889447096392355,0.0,0.38936713760908476,0.01563773414442066,0.10159109535628331,0.40239642314434576,0.6705628787078695,0.6705628787078695,True,0
PROJECT_POSITIVE_Z,0.0,0.0,2.0,RTB3,0.7324673359036133,-0.12396353223284404,1.1352555508230273,1.296931134185064,-0.5977217227536191,1.296931134185064,-0.5977217227536191,0.0,1.335711296321343,-0.599796183107919,0.026523439805093123,0.21425320188544816,-0.7710537406011895,0.7710537406011895,True,0
PROJECT_NEGATIVE_Z,0.0,0.0,-2.0,RTB3,0.7325797962896637,-0.12394093066472969,1.1344163556352973,-1.296931134185064,0.5977217227536191,-1.296931134185064,0.5977217227536191,0.0,-1.335711296321343,0.599796183107919,0.026523439805093123,-0.21425320188547659,0.7710537406011149,0.7710537406011149,True,0
