condition,primary_condition,steps,control_min,control_max,hip_start_deg,hip_end_deg,knee_start_deg,knee_end_deg,qfrc_passive_l2,qfrc_passive_nonzero,qfrc_actuator_l2,qfrc_actuator_nonzero,actuator_force_l2,actuator_force_max_abs,tendon_length_min,tendon_length_max,source_knee_equality_peak_abs_error,warning_count,finite,wall_time_seconds,semantic_label,physiological_passive_human_claimed
P0_ZERO_CONTROL,True,2000,0.0,0.0,28.825911413530374,-30.080884510172307,30.319263601320728,56.23029912501404,1.0089561407104732,True,205.58427911054045,True,461.7442248551273,380.86541032533324,0.07783125190914486,0.5853599191980883,0.039856958080810245,0,True,0.11485345801338553,LOW_ACTIVATION_OR_ZERO_CONTROL_MUSCULOSKELETAL_CONDITION,False
P1_BACKGROUND_0P01,False,2000,0.01,0.01,28.749788264708897,-30.089217891854428,30.30802514182228,51.84761490042777,0.7018086339930767,True,430.10624698680624,True,503.02400200557116,392.1900883892088,0.0778280035985771,0.5853000664238146,0.045458052070186494,0,True,0.11491725000087172,LOW_ACTIVATION_OR_ZERO_CONTROL_MUSCULOSKELETAL_CONDITION,False
P2_DETERMINISTIC_SMALL,False,2000,0.0,0.01,28.759799206954753,-30.086706067928716,30.328118830336322,55.2676576855377,0.7508717823698828,True,296.710679919754,True,482.10590527777146,391.0987598411523,0.07782821107202804,0.5853445507551481,0.04209025703022812,0,True,0.115875750023406,LOW_ACTIVATION_OR_ZERO_CONTROL_MUSCULOSKELETAL_CONDITION,False
