motion,step,time_s,desired_hip_deg,desired_knee_deg,actual_hip_deg,actual_knee_deg,hip_velocity_rad_s,knee_velocity_rad_s,hip_qacc_rad_s2,knee_qacc_rad_s2,hip_qfrc_passive,knee_qfrc_passive,hip_qfrc_actuator,knee_qfrc_actuator,hip_qfrc_constraint,knee_qfrc_constraint,hip_diagnostic_applied_torque,knee_diagnostic_applied_torque,muscle_actuator_forces_json,muscle_force_l2,tendon_length_min,tendon_length_max,source_knee_equality_max_abs_position_error,source_knee_equality_max_abs_force,finite
HIP_ONLY,0,0.0,29.999999999999996,29.999999999999996,28.825828457429548,30.319291181146646,1.94998086809214e-11,-6.9254961755572606e-12,-5.1192708204635397e-11,1.8017882265526603e-11,-9.775477355082358e-12,3.4717488445828335e-12,-6.270175353748639,1.194941275326288,0.0,0.09248448044014003,51.23289850078151,-13.931705958299496,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.005597990894650299,-7.566871529015584,0.0,-0.2364646386830026,-0.04409478810611532,0.0,-7.468524818562721,-29.726583471424394,-75.50005083313371,-10.920910148555883,-28.90180730698329,0.0,-1.1745014909545604,-1.613644095074606,0.0,-0.9962919459141367,-14.252523100175628,-0.5289148781935666,0.0,-1.4789846860528257,-1.2469626496823283,-25.561054690247033,0.0,0.0,-0.20146786399369726,-0.7708498339730421,-1.735967058164076,-6.323263646440167,-1.503352886253577,0.0,-1.0540253406888813,0.0,0.0,0.0,-0.09807395768745832,-0.5897939610721701,0.0,0.0,0.0,0.0,0.0,-8.680163448937448,0.0,-0.22138168630078905,-0.035610653285433114,0.0,-70.04227372042476,-91.30114095884313,0.0,0.0,-17.191605169030083,0.0,0.0,0.0,0.0,-0.13489280755063504,-4.834692418685743,-4.352103936908611,-7.557246375430884,-1.3687803675907386,-1.6137683809349728,-3.396217437736092,-48.44158483748864,0.0,-27.402696491993208,-0.6316077251836069,-1.829139189039034,-4.985853898002878,-3.9682265844427462,0.0,-1.1486021715236632,0.0,0.0,0.0]",159.48620617289458,0.08130433308371939,0.5853599318154495,6.07640319437628e-05,164.79840335710054,True
HIP_ONLY,10,0.01,30.000616837591693,29.999999999999996,28.826001708125705,30.319454811230337,0.0006487292364788069,0.0005084616075715985,0.09149973646309106,0.0447688380671132,-0.00027872478438887937,-0.000231998549807751,-6.270218154912172,1.1949224053242693,0.0,0.09148510721357928,51.41344300972408,-13.983974224208536,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.0055996020367316095,-7.566549954781831,0.0,-0.2364654295501622,-0.04409457542240366,0.0,-7.468379829224582,-29.726305194512584,-75.50083811896735,-10.921029516904177,-28.90190092153307,0.0,-1.1745267789133145,-1.6136813561466903,0.0,-0.9962950003520273,-14.25256238975904,-0.528910424893222,0.0,-1.4789845389542648,-1.2469621842140166,-25.56118650941779,0.0,0.0,-0.20146417938703065,-0.7708525807335629,-1.7359702270950021,-6.32323150753766,-1.503333836006412,0.0,-1.0540227379191989,0.0,0.0,0.0,-0.09807356098154185,-0.5897925249774489,0.0,0.0,0.0,0.0,0.0,-8.680165138195987,0.0,-0.22138161148029162,-0.03561066075090406,0.0,-70.04228788092877,-91.30114977191083,0.0,0.0,-17.191608510143737,0.0,0.0,0.0,0.0,-0.13489296983595633,-4.834693836077182,-4.352104073745916,-7.5572351800630075,-1.3687805067929102,-1.613768572540352,-3.3962190516142234,-48.441568992780084,0.0,-27.402695016346218,-0.6316105701855078,-1.8291413321810643,-4.9858563891678775,-3.9682258704666524,0.0,-1.148602304331632,0.0,0.0,0.0]",159.48656016544615,0.08130433376070471,0.5853599302441077,6.076392072450583e-05,164.79313010566042,True
HIP_ONLY,20,0.02,30.002467198171342,29.999999999999996,28.826720724400584,30.319865330488838,0.0018185563186696478,0.000863221632098608,0.1370912598345343,0.028900573418415895,-0.0008408719975339784,-0.0004173114038894605,-6.270433210359804,1.1948775800138955,0.0,0.0912112619164508,51.56856172859845,-14.038062176722944,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.0056140817479421274,-7.565618070441123,0.0,-0.23646763980191787,-0.04409389620575135,0.0,-7.4679684033939076,-29.72552182153354,-75.50460791746796,-10.921600696862868,-28.90234829029638,0.0,-1.174649049060989,-1.6138596831334298,0.0,-0.9963109193407151,-14.252753991421164,-0.5289010010063853,0.0,-1.4789850573836703,-1.2469615742861508,-25.561816871286773,0.0,0.0,-0.20144917041046076,-0.7709588613816964,-1.7360470497884128,-6.32314080061946,-1.503237390531788,0.0,-1.0540144814385102,0.0,0.0,0.0,-0.0980733049723016,-0.5897915880561205,0.0,0.0,0.0,0.0,0.0,-8.680166611141784,0.0,-0.2213815603094816,-0.035610665228717496,0.0,-70.04229416163335,-91.30114827123991,0.0,0.0,-17.191610834363967,0.0,0.0,0.0,0.0,-0.13489306597815376,-4.8346947717877065,-4.352104312098633,-7.557227524800384,-1.368780613877656,-1.6137687155596923,-3.396220234386124,-48.441558460207936,0.0,-27.40269401340542,-0.6316128739583075,-1.8291430702167335,-4.985858062150071,-3.9682253670978946,0.0,-1.1486023778429306,0.0,0.0,0.0]",159.48837184668537,0.08130433408496152,0.5853599291761268,6.076345354794724e-05,164.79337890440934,True
HIP_ONLY,30,0.03,30.00555062519015,29.999999999999996,28.82824376934669,30.320432539768703,0.0034017612894568935,0.0010737168036018584,0.17520826815534657,0.015484325426368477,-0.0016134409361275887,-0.000529263873620481,-6.270917471180643,1.1948335726081745,0.0,0.09102453549622527,51.70124361409606,-14.084675606444124,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.005654060526705754,-7.564293038514926,0.0,-0.23646992215261006,-0.044093142084322655,0.0,-7.467405660787704,-29.724459876859253,-75.51288711427199,-10.922854866430127,-28.903330254315044,0.0,-1.1749184542109374,-1.614251176949401,0.0,-0.9963468393693848,-14.253177223867347,-0.5288945410838016,0.0,-1.4789861589134032,-1.2469613661108851,-25.563199918882187,0.0,0.0,-0.20141930866487345,-0.7713034645604614,-1.7362893682803344,-6.323046666724383,-1.503018933276246,0.0,-1.0540053633862676,0.0,0.0,0.0,-0.09807362821186477,-0.5897927692734872,0.0,0.0,0.0,0.0,0.0,-8.680165144914518,0.0,-0.22138163370056288,-0.0356106548959657,0.0,-70.04227310441227,-91.30112753963274,0.0,0.0,-17.191607982948074,0.0,0.0,0.0,0.0,-0.13489294143272149,-4.834693656183651,-4.352104190747993,-7.5572369619957245,-1.3687805163863946,-1.6137685680803402,-3.3962189567921723,-48.44157173426078,0.0,-27.402694941203585,-0.6316106260887743,-1.8291413603693407,-4.985855578658729,-3.968226066504144,0.0,-1.1486021978537893,0.0,0.0,0.0]",159.4925153035031,0.08130433358758138,0.5853599301640922,6.0762916024507724e-05,164.79732740645213,True
HIP_ONLY,40,0.04,30.00986635785864,29.999999999999996,28.830785468399988,30.321080709053078,0.005329211637393926,0.0011614886480304212,0.2067841923391143,0.004130900043836924,-0.0025613985476633035,-0.0005788228723770938,-6.271751170888049,1.1948118395742306,0.0,0.09091632062882667,51.80887136262679,-14.122649696890798,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.005730375040305807,-7.562758513312824,0.0,-0.2364718842124346,-0.04409246553943866,0.0,-7.466771638034026,-29.723271168737718,-75.52693850746428,-10.924983364554224,-28.904996661800556,0.0,-1.1753761405878178,-1.6149154949041293,0.0,-0.9964082740249861,-14.25389656668725,-0.5288977682941044,0.0,-1.4789874091740456,-1.2469614130296445,-25.565545712030175,0.0,0.0,-0.20137167407356776,-0.7719991205236448,-1.7367738861109625,-6.3229654923603675,-1.502641252819069,0.0,-1.0539972076429314,0.0,0.0,0.0,-0.09807404597279855,-0.5897942966329718,0.0,0.0,0.0,0.0,0.0,-8.680163101544288,0.0,-0.22138171463479353,-0.035610645668031425,0.0,-70.04225262147645,-91.30111243616274,0.0,0.0,-17.19160425261795,0.0,0.0,0.0,0.0,-0.13489278210816769,-4.83469217500774,-4.352103956448463,-7.55724928370495,-1.3687803771797848,-1.6137683729221688,-3.39621717897676,-48.441588894757224,0.0,-27.402696365202555,-0.6316074128391098,-1.8291389189246368,-4.98585289018101,-3.9682269835962227,0.0,-1.1486020418216778,0.0,0.0,0.0]",159.4997325246751,0.08130433299459658,0.5853599316804365,6.076261089349938e-05,164.80041485479873,True
HIP_ONLY,50,0.05,30.015413331334354,29.999999999999996,28.834522785406467,30.321746133532294,0.007536443014738214,0.0011477972583994658,0.2318022182099371,-0.004991760209950367,-0.0036525211853192753,-0.0005765352410758833,-6.273000751063877,1.194830010787582,0.0,0.0908765540682631,51.889907529234215,-14.151261019318975,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.005852630848513823,-7.561169205404147,0.0,-0.23647344296212258,-0.04409191472326042,0.0,-7.4661274258063495,-29.72206895765215,-75.54780664266757,-10.92814451019783,-28.90747147846766,0.0,-1.1760560883402984,-1.6159020532287733,0.0,-0.9964996736458009,-14.254965012804119,-0.5289163313062227,0.0,-1.4789885445970017,-1.2469615562440342,-25.56902791529749,0.0,0.0,-0.2013038587912757,-0.7731400696595961,-1.737564519650735,-6.322900892993131,-1.50207349363889,0.0,-1.0539905802249878,0.0,0.0,0.0,-0.09807427970104314,-0.5897951440076895,0.0,0.0,0.0,0.0,0.0,-8.680162099352644,0.0,-0.22138175064923712,-0.035610644156391834,0.0,-70.04224676150805,-91.30111223171924,0.0,0.0,-17.191602241519675,0.0,0.0,0.0,0.0,-0.13489268823530087,-4.834691312488362,-4.352103853458536,-7.557255994977455,-1.3687802806067353,-1.6137682502838453,-3.3962161341372243,-48.44159825704093,0.0,-27.40269742305272,-0.6316056137468278,-1.8291375530461893,-4.98585173404902,-3.9682274908181436,0.0,-1.1486020170412663,0.0,0.0,0.0]",159.5106263202274,0.08130433263714686,0.5853599328068876,6.0762566033552114e-05,164.80132637243477,True
HIP_ONLY,60,0.06,30.022190176984598,29.999999999999996,28.83959462187209,30.32237811569534,0.009954617325056377,0.0010567034030784176,0.24966244760664982,-0.01157749349694651,-0.0048526895261682005,-0.0005342786126384117,-6.274718921004648,1.1949021291685782,0.0,0.09089390144637362,51.94483044974743,-14.170612852167213,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.00602941405124586,-7.559649053071879,0.0,-0.2364745752780441,-0.04409150740181338,0.0,-7.465520252711635,-29.72093985929327,-75.5763188877121,-10.932463708661603,-28.910852743788226,0.0,-1.1769852945215629,-1.6172501251436087,0.0,-0.9966245722512618,-14.256424544532578,-0.5289547419649028,0.0,-1.4789894446623892,-1.2469617164648044,-25.573784136347665,0.0,0.0,-0.20121396620865922,-0.7748018557786521,-1.7387121737342812,-6.3228539165203514,-1.50129127340824,0.0,-1.053985688227422,0.0,0.0,0.0,-0.09807432155208107,-0.5897952855890838,0.0,0.0,0.0,0.0,0.0,-8.6801621833246,0.0,-0.22138175028133694,-0.03561064720173411,0.0,-70.04225244283876,-91.3011216830857,0.0,0.0,-17.191601999079385,0.0,0.0,0.0,0.0,-0.1348926644009875,-4.834691121349607,-4.352103899810072,-7.557256909611008,-1.3687802416934534,-1.613768210245066,-3.3962159106701626,-48.44159959989161,0.0,-27.40269797499126,-0.6316053678328157,-1.8291373668513222,-4.985851789575329,-3.968227575028719,0.0,-1.148602068436739,0.0,0.0,0.0]",159.52566409806695,0.08130433252419154,0.585359933394619,6.076264148846739e-05,164.8007740703396,True
HIP_ONLY,70,0.07,30.030195222724103,29.999999999999996,28.846098979973544,30.322940462233312,0.012511144872885863,0.0009141353565148397,0.26029333992300496,-0.015576035089372666,-0.006125644518120207,-0.0004649920770215943,-6.276943598049972,1.1950383649789662,0.0,0.09095589379227216,51.9763084215846,-14.1816489617224,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.006268318419126913,-7.5582874860316736,0.0,-0.23647529250043212,-0.04409124360719794,0.0,-7.464983211860887,-29.71994402998982,-75.61306892790711,-10.938030954041327,-28.915210601735154,0.0,-1.1781832490256552,-1.6189880700257966,0.0,-0.9967855205055929,-14.258305290005598,-0.5290162564944002,0.0,-1.478990075162948,-1.246961863044335,-25.579913117494517,0.0,0.0,-0.20110064704387184,-0.7770397366071189,-1.7402535971819157,-6.322824122203197,-1.5002772080926186,0.0,-1.0539825273570582,0.0,0.0,0.0,-0.09807426169471842,-0.5897950583878276,0.0,0.0,0.0,0.0,0.0,-8.680162790756668,0.0,-0.221381735198414,-0.035610650484490566,0.0,-70.04226189841405,-91.30113289521863,0.0,0.0,-17.191602633627063,0.0,0.0,0.0,0.0,-0.13489268134492874,-4.834691306948624,-4.352104012721789,-7.557254898736006,-1.3687802470829886,-1.6137682253426215,-3.396216146518531,-48.44159686802002,0.0,-27.40269818687024,-0.6316059328539427,-1.8291377942856515,-4.985852312981077,-3.9682274549686305,0.0,-1.1486021238435304,0.0,0.0,0.0]",159.545179066288,0.08130433256486162,0.5853599336202382,6.0762698994576276e-05,164.79983471154478,True
HIP_ONLY,80,0.08,30.039426493427612,29.999999999999996,28.85409315666735,30.323411544802294,0.015137559836326912,0.0007445843474072243,0.2644932227484173,-0.017279893195054005,-0.007436754607027156,-0.0003810674245978512,-6.279697805598592,1.1952449938667453,0.0,0.09105036260009268,51.9884575084633,-14.185842763454056,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.00657601044218478,-7.557138846542594,0.0,-0.23647563835328383,-0.04409110971748334,0.0,-7.4645354109429665,-29.719115706492996,-75.658415230681,-10.944900612331814,-28.920587152929997,0.0,-1.1796618596715303,-1.621133254326658,0.0,-0.9969840499197685,-14.260625346108371,-0.5291028621801674,0.0,-1.4789904499335498,-1.2469619864731465,-25.587474390239358,0.0,0.0,-0.2009631022647216,-0.7798885457353225,-1.7422112603499744,-6.322809702725775,-1.4990209555103022,0.0,-1.0539809296891975,0.0,0.0,0.0,-0.09807417980734091,-0.5897947573173887,0.0,0.0,0.0,0.0,0.0,-8.680163434296725,0.0,-0.2213817200398198,-0.03561065205552752,0.0,-70.04226976490999,-91.30114115913858,0.0,0.0,-17.191603387096023,0.0,0.0,0.0,0.0,-0.13489271132364467,-4.834691594316041,-4.35210411908899,-7.55725242805874,-1.3687802749571618,-1.6137682637828268,-3.3962164985871337,-48.44159345034812,0.0,-27.40269824096651,-0.6316066403160961,-1.829138326981268,-4.985852815869759,-3.968227313228029,0.0,-1.1486021509142395,0.0,0.0,0.0]",159.56937454962983,0.081304332669515,0.5853599336778426,6.076267969130454e-05,164.79911905527035,True
HIP_ONLY,90,0.09,30.04988171141721,29.999999999999996,28.863598580538778,30.323782535597942,0.017776885602042672,0.0005683355115607121,0.2636335700993284,-0.017188273295119964,-0.008756846616841138,-0.0002928966755179794,-6.282991285025926,1.1955248522646444,0.0,0.09116662722779324,51.98588276466717,-14.184836762924462,"[0.0,0.0,0.0,0.0,0.0,0.0,-0.006958417917157644,-7.556226322576621,0.0,-0.2364756781209653,-0.04409108366794685,0.0,-7.4641838235605,-29.718466792330624,-75.71250643202733,-10.953095277180438,-28.926999498412133,0.0,-1.1814262566417508,-1.6236932387825873,0.0,-0.9972207635446835,-14.263392011470312,-0.5292154186342348,0.0,-1.4789906071342926,-1.2469620856584405,-25.59649245245317,0.0,0.0,-0.2008010250190655,-0.7833649752535968,-1.7445949177669382,-6.322807951612698,-1.4975184570367845,0.0,-1.0539806267356817,0.0,0.0,0.0,-0.09807411382807671,-0.5897945196450016,0.0,0.0,0.0,0.0,0.0,-8.680163899778137,0.0,-0.22138170977538663,-0.035610652096915066,0.0,-70.042274352028,-91.30114543686763,0.0,0.0,-17.191603935158405,0.0,0.0,0.0,0.0,-0.13489273894255638,-4.834691841194215,-4.352104189641904,-7.557250582236168,-1.3687803069900588,-1.6137683034566497,-3.3962167924222104,-48.441590856882634,0.0,-27.402698234883566,-0.6316071834691083,-1.8291387331612954,-4.9858531434891145,-3.96822722256163,0.0,-1.1486021525576768,0.0,0.0,0.0]",159.5983389870771,0.0813043327801841,0.5853599336713652,6.076259342936236e-05,164.7987319760315,True
