t,trajectory_type,trajectory_variant,x,y,z,rx,ry,rz,vx,vy,vz,ax,ay,az,j1,j2,j3,j4,j5,j6,dj1,dj2,dj3,dj4,dj5,dj6,fx,fy,fz,tx,ty,tz,Mx,My,Mz,Bx,By,Bz,Kx,Ky,Kz,mode,comfort
0.0009,rehab,safe_near_limit_fast,80.20725090518192,-666.6339184893893,262.48218710059865,-177.67144617582463,0.30400260415607544,-149.77811804323537,-0.1321,0.0048,0.1572,1.3667,-0.3049,4.8227,84.42699470142327,30.065399018844754,85.67893302086556,-27.486572265625,-89.11271837022569,-35.89158799913194,-0.0,-0.0,0.04115114117612933,0.0034586588541666665,0.06785074869791667,-0.0,-0.1996,0.2527,-0.1232,-0.01912,-0.01006,0.00516,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.021,rehab,safe_near_limit_fast,80.20840745888842,-666.6339254286291,262.48142653573683,-177.67149942714272,0.30403053236480176,-149.77801666788207,-0.0567,-0.0009,0.089,1.956,-0.3332,1.093,84.42709667847888,30.0654670035485,85.67893302086556,-27.486580742730034,-89.11272684733073,-35.89158799913194,0.05441495687654703,-0.0,-0.002814566734993812,-0.0201416015625,0.06785074869791667,0.06785074869791667,-0.2666,0.2408,-0.5785,-0.01988,0.00413,0.00925,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.0411,rehab,safe_near_limit_fast,80.20904250043418,-666.633988416373,262.48074453355775,-177.6715371766109,0.30406786318005147,-149.77795381923332,0.0454,-0.0111,-0.0175,2.1386,-0.3618,-4.5177,84.42715106624188,30.06552818978187,85.67893302086556,-27.486589219835068,-89.11271837022569,-35.89159647623698,-0.0,-0.0,-0.007342348004331683,-0.022557576497395832,0.06785074869791667,-0.0,-0.4193,0.3323,-1.1319,-0.01467,0.00262,0.01585,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.0613,rehab,safe_near_limit_fast,80.2097868743592,-666.6340597606105,262.48024341597613,-177.67158834200134,0.3040836691939559,-149.7778779459809,0.0507,-0.0186,-0.066,0.3162,-0.339,-6.5488,84.42721905094562,30.065582577544863,85.67891262545444,-27.486572265625,-89.11273532443576,-35.89160495334201,-0.0,-0.0,-0.02031382947865099,0.0008053249782986111,-0.0,-0.06785074869791667,-0.5538,0.2365,-0.6165,-0.04398,0.01108,0.01537,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.0811,rehab,safe_near_limit_fast,80.20947485700509,-666.6342059090077,262.4805140672804,-177.67154750720817,0.30406437981152185,-149.77789646085014,-0.0417,-0.0234,-0.0549,-3.4945,-0.2625,-4.9058,84.42719185706413,30.06557577907449,85.67889223004332,-27.486589219835068,-89.11272684733073,-35.891613430447045,-0.0,-0.05441495687654703,0.01121747611772896,-0.0017886691623263888,0.06785074869791667,-0.06785074869791667,-0.5375,0.3047,-1.242,-0.03866,0.02976,0.01687,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.1009,rehab,safe_near_limit_fast,80.20644756795915,-666.6348064753731,262.48183305818486,-177.6714848779093,0.3040192471031983,-149.77813664765102,-0.2242,-0.0241,-0.0431,-10.1574,-0.0706,1.8312,84.4269335151899,30.065521391311496,85.67877665604695,-27.486495971679688,-89.11272684733073,-35.89163038465712,-0.05441495687654703,0.05441495687654703,-0.05028148688892327,0.030721028645833332,-0.0,0.06785074869791667,-0.3307,0.2359,-0.8449,-0.03759,0.00831,0.00909,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.1212,rehab,safe_near_limit_fast,80.1937958985229,-666.6366070551117,262.4868191275377,-177.67144522673803,0.30399477627375904,-149.77895416834164,-0.3581,-0.0233,-0.1406,-18.4899,0.2295,11.8361,84.42584575993,30.065263049437267,85.67833475547262,-27.485834757486977,-89.11271837022569,-35.89189317491319,-0.05441495687654703,-0.0,0.010048139213335396,0.06783379448784722,-0.0,0.06785074869791667,-0.3105,0.2527,-0.5775,-0.02221,0.00201,0.01031,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.1415,rehab,safe_near_limit_fast,80.18531685765083,-666.6373452394462,262.4889823293838,-177.672002787213,0.30438424343493653,-149.77919363541926,-0.786,-0.0247,0.1086,-28.1562,0.3897,24.3769,84.42511152512957,30.065167870852026,85.67785206407603,-27.48456319173177,-89.11271837022569,-35.89237636990017,-0.05441495687654703,-0.0,-0.04359859051090656,0.10472615559895833,-0.06785074869791667,-0.0,-0.3872,0.1426,-0.6203,-0.04093,0.00794,0.0094,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.1612,rehab,safe_near_limit_fast,80.16478197510202,-666.6356773107307,262.49158116051547,-177.67446864269485,0.30613908522484523,-149.77905332748426,-1.4327,-0.0203,0.6911,-37.7171,0.3807,38.5763,84.4232963335396,30.064793954981436,85.67687308434212,-27.48012966579861,-89.11269293891058,-35.89429219563802,-0.05441495687654703,-0.05441495687654703,-0.05555030142906869,0.2613406711154514,-0.06785074869791667,-0.13570149739583334,-0.4392,0.2151,-0.7287,-0.03719,0.01199,0.00689,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
0.1811,rehab,safe_near_limit_fast,80.14023008023712,-666.6354061213884,262.49904710676986,-177.67679777072337,0.3077660119714496,-149.77806919300238,-2.2893,-0.001,1.6458,-46.0222,0.4337,52.7061,84.42114121843092,30.064236480410734,85.67539101780051,-27.475162082248264,-89.11265903049045,-35.89738633897569,-0.16324487062964108,-0.05441495687654703,-0.15154470311533105,0.3168063693576389,-0.0,-0.2714114718967014,-0.3842,0.116,-0.9862,-0.0361,0.00104,0.00752,0.0009015771211124957,0.0009995289146900177,0.0008572414517402649,0.00041296740528196096,0.0004996439092792571,0.0005212740506976843,0.011521042324602604,0.009093786589801311,0.011657471768558025,passive,0
