Frame,Nose_X,Nose_Y,Nose_Z,LEye_X,LEye_Y,LEye_Z,REye_X,REye_Y,REye_Z,LEar_X,LEar_Y,LEar_Z,REar_X,REar_Y,REar_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,RElbow_X,RElbow_Y,RElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RWrist_X,RWrist_Y,RWrist_Z,LHip_X,LHip_Y,LHip_Z,RHip_X,RHip_Y,RHip_Z,LKnee_X,LKnee_Y,LKnee_Z,RKnee_X,RKnee_Y,RKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,RAnkle_X,RAnkle_Y,RAnkle_Z
13,-44.12,1644.47,268.88,-0.63,1647.51,269.99,-83.86,1684.62,288.69,44.73,1637.94,220.24,-100.17,1675.29,267.83,200.42,1440.66,131.70,-167.98,1574.39,200.07,339.57,1262.73,2.96,-293.90,1348.09,177.01,278.29,1076.73,-117.66,-315.20,1130.67,274.75,140.70,1104.31,-16.20,-73.76,1074.91,19.90,171.70,833.24,-148.08,-121.78,733.67,-126.28,196.97,593.35,-270.81,-103.53,473.36,-248.65
14,-45.03,1645.81,272.50,-5.20,1651.53,273.46,-82.29,1684.23,289.93,46.09,1637.13,221.65,-105.18,1680.02,270.55,201.74,1440.47,132.88,-172.21,1583.25,197.90,343.00,1262.49,6.50,-292.23,1352.66,192.94,275.85,1078.59,-114.22,-319.66,1164.11,321.77,137.05,1102.95,-16.31,-76.56,1075.72,18.50,171.24,831.36,-148.11,-122.29,729.17,-126.69,196.03,590.81,-271.20,-102.16,465.04,-247.42
15,-46.77,1648.09,274.73,-9.34,1655.36,276.37,-84.65,1686.77,291.93,47.64,1635.55,227.33,-114.96,1687.84,273.02,190.94,1448.27,139.17,-177.14,1592.53,196.56,336.82,1271.95,15.75,-290.65,1357.00,206.30,281.51,1086.00,-107.80,-318.64,1182.59,353.59,133.03,1102.40,-18.31,-77.98,1076.61,14.78,170.34,829.91,-147.88,-122.12,726.92,-126.32,195.13,589.89,-270.87,-101.60,460.65,-246.12
16,-40.66,1641.59,276.95,-4.99,1649.79,279.88,-79.96,1682.43,295.06,55.63,1626.83,230.17,-119.72,1692.75,275.11,186.88,1449.63,143.31,-176.55,1589.93,198.80,333.25,1274.75,18.44,-287.46,1355.73,219.93,281.87,1085.80,-102.21,-316.95,1193.31,380.08,131.45,1102.38,-19.56,-77.89,1077.41,13.93,170.76,829.54,-147.25,-123.42,729.03,-125.17,193.53,592.76,-271.24,-104.46,466.60,-246.87
17,-42.23,1642.94,275.47,-6.38,1650.80,278.43,-83.90,1685.86,293.17,53.69,1628.23,229.01,-121.34,1694.56,274.27,186.94,1449.44,143.30,-176.26,1590.14,200.18,331.76,1274.40,16.85,-283.81,1355.50,231.41,288.90,1080.29,-98.84,-312.63,1203.40,401.51,133.18,1101.66,-19.12,-75.60,1075.95,14.99,172.32,830.14,-147.41,-123.34,728.00,-126.04,194.25,594.13,-271.45,-102.34,464.86,-247.11
18,-34.95,1639.60,275.01,2.55,1645.19,277.21,-79.49,1683.47,294.12,64.40,1619.24,226.21,-124.61,1696.16,274.62,184.88,1450.92,144.78,-169.58,1585.75,203.78,329.07,1274.96,18.89,-285.98,1356.80,244.24,293.55,1079.16,-96.44,-312.82,1232.84,436.10,133.52,1099.66,-17.74,-73.93,1074.38,18.13,172.77,830.11,-147.00,-124.75,729.95,-124.46,194.75,597.02,-271.36,-100.59,463.72,-246.91
19,-29.39,1635.92,275.02,9.06,1640.17,275.92,-76.25,1680.70,294.56,73.76,1611.59,223.05,-127.38,1697.96,274.81,184.35,1451.81,146.95,-168.35,1589.35,204.73,326.83,1275.62,19.45,-290.62,1366.79,260.54,295.42,1080.12,-97.56,-317.25,1258.89,461.91,134.09,1097.65,-15.62,-72.70,1073.44,20.11,173.43,828.76,-146.50,-124.99,729.67,-124.08,195.53,597.41,-271.69,-99.38,463.91,-247.91
20,-27.02,1639.46,274.79,12.29,1642.95,273.83,-76.13,1685.52,295.07,77.84,1609.57,221.34,-129.68,1702.03,275.15,183.75,1452.97,147.77,-169.25,1596.65,205.11,324.87,1276.85,18.68,-293.31,1379.52,276.26,296.48,1080.29,-97.35,-325.15,1286.51,490.20,134.70,1095.59,-13.80,-71.74,1073.19,21.43,173.48,828.22,-146.21,-123.84,729.71,-125.29,194.48,598.45,-270.77,-99.97,465.40,-248.08
21,-27.75,1643.21,275.88,12.38,1645.75,273.72,-78.86,1690.69,296.92,79.55,1608.93,220.94,-132.48,1705.78,276.39,183.43,1453.68,148.66,-170.25,1600.96,205.63,324.98,1277.57,20.02,-298.85,1393.08,294.22,294.34,1082.58,-98.06,-330.16,1287.75,511.37,134.31,1094.21,-10.91,-70.86,1073.04,23.61,172.59,827.96,-145.55,-122.32,730.05,-125.13,194.61,599.39,-269.87,-100.38,466.52,-248.15
22,-26.59,1640.39,276.45,13.76,1642.06,274.47,-78.57,1690.09,296.86,79.70,1607.64,221.67,-133.78,1710.63,275.77,183.20,1453.30,147.68,-171.24,1602.09,205.78,325.07,1276.75,20.00,-303.74,1404.10,309.93,293.60,1083.40,-100.52,-335.80,1300.94,532.55,135.06,1092.34,-10.56,-70.83,1073.43,24.57,171.78,828.30,-146.33,-124.51,734.57,-124.07,195.82,599.81,-270.61,-100.68,469.42,-249.52
23,-26.26,1639.63,277.69,13.54,1641.04,276.03,-79.16,1690.92,298.33,79.22,1607.81,223.41,-134.02,1714.47,277.06,180.18,1455.14,148.41,-171.11,1603.74,206.55,324.78,1279.70,22.27,-304.20,1416.77,328.74,292.43,1088.73,-101.77,-337.07,1310.26,557.29,135.01,1090.99,-8.64,-70.41,1073.69,25.91,171.68,829.23,-146.03,-123.80,736.46,-124.40,194.99,600.19,-270.09,-100.67,469.39,-249.77
24,-25.11,1637.50,279.62,14.08,1638.98,277.35,-77.85,1689.51,299.43,79.31,1607.74,223.63,-134.45,1718.07,276.09,181.20,1454.46,147.20,-171.82,1605.36,204.71,325.09,1278.17,21.43,-300.09,1427.10,343.89,289.44,1090.12,-106.12,-339.47,1327.68,583.55,135.86,1089.83,-8.81,-72.26,1077.50,25.69,171.81,829.28,-145.61,-125.74,742.37,-123.43,194.82,600.75,-270.69,-103.95,474.70,-250.09
25,-21.48,1636.86,279.49,17.27,1639.49,275.05,-73.88,1689.30,299.50,80.01,1609.52,222.01,-134.19,1717.65,277.33,179.70,1454.79,146.85,-172.57,1604.80,204.97,323.01,1277.33,22.06,-297.62,1434.06,360.69,289.89,1091.09,-108.76,-340.76,1342.24,612.64,135.77,1087.18,-9.62,-73.47,1077.06,25.43,171.62,828.61,-146.34,-125.42,742.59,-125.13,194.12,601.71,-270.79,-104.88,475.22,-249.38
26,-27.09,1643.98,278.90,9.33,1648.60,273.22,-80.39,1698.57,298.17,70.19,1616.51,224.78,-137.12,1719.92,280.51,179.64,1454.04,145.88,-181.51,1610.54,206.98,322.61,1275.48,22.29,-296.26,1440.28,376.46,290.23,1089.95,-109.73,-345.90,1343.60,637.19,131.87,1086.45,-12.69,-78.04,1077.80,22.50,170.53,830.81,-144.88,-125.91,741.54,-126.78,191.03,604.17,-269.43,-107.83,473.84,-246.23
27,-26.74,1645.88,278.32,9.74,1650.02,271.19,-79.20,1699.80,297.40,69.75,1616.58,223.96,-139.12,1722.07,281.12,179.69,1453.64,144.88,-180.08,1609.83,207.53,321.36,1273.97,21.39,-296.58,1447.20,387.57,286.13,1090.12,-112.24,-348.27,1368.17,656.40,132.91,1085.38,-11.39,-76.40,1077.41,23.98,169.33,831.76,-144.00,-125.42,740.46,-126.97,189.12,605.30,-268.82,-108.47,473.29,-245.16
28,-25.39,1636.87,277.03,11.75,1642.42,273.01,-77.62,1688.57,297.72,72.16,1614.75,225.01,-137.93,1715.47,281.09,179.22,1455.00,143.49,-176.01,1595.23,210.88,321.03,1275.22,20.33,-295.09,1453.93,393.78,292.22,1086.03,-107.25,-348.58,1385.04,676.29,135.17,1091.24,-12.62,-72.96,1075.21,24.77,172.40,835.05,-145.57,-124.77,739.63,-128.46,192.52,602.28,-270.46,-105.16,470.37,-245.91
29,-26.96,1639.48,278.91,10.24,1644.47,273.76,-80.57,1693.00,299.52,71.11,1614.90,225.87,-142.21,1719.92,282.19,177.04,1453.95,144.62,-178.80,1600.19,211.82,318.89,1274.00,21.75,-294.72,1464.20,400.97,292.99,1087.08,-109.74,-349.12,1402.95,689.57,135.20,1089.74,-10.01,-73.75,1079.34,27.05,170.95,834.73,-143.94,-126.37,743.93,-127.44,191.69,604.39,-269.57,-106.31,471.68,-244.53
30,-27.31,1641.52,280.56,10.23,1645.84,273.98,-82.21,1696.38,301.66,70.20,1615.23,226.49,-144.49,1723.55,284.17,173.14,1455.17,146.21,-179.43,1603.37,212.97,315.66,1275.58,23.59,-298.11,1481.31,411.47,293.81,1088.91,-108.99,-355.81,1427.30,700.87,134.94,1089.79,-7.67,-74.34,1083.49,28.35,170.12,834.54,-142.97,-126.38,746.01,-126.43,190.51,604.80,-268.73,-108.24,473.47,-243.41
31,-30.41,1644.35,283.31,7.64,1647.89,275.74,-87.10,1701.34,304.77,67.40,1616.50,228.79,-151.03,1730.11,286.37,170.13,1453.38,149.15,-182.34,1605.67,214.20,314.30,1275.56,25.88,-300.69,1495.44,420.41,294.20,1091.57,-110.66,-359.57,1448.72,710.84,134.57,1089.53,-5.46,-75.22,1086.64,29.47,170.26,834.83,-141.81,-127.62,748.01,-126.12,189.57,605.53,-268.00,-110.07,475.02,-242.49
32,-32.65,1649.56,281.97,5.82,1652.64,273.70,-88.15,1706.48,303.11,64.54,1619.91,227.39,-153.11,1734.22,286.20,170.26,1455.50,146.67,-183.18,1607.34,213.96,314.68,1276.88,24.85,-303.94,1518.03,432.06,289.90,1093.48,-111.71,-374.22,1497.33,722.98,134.87,1088.89,-8.06,-75.36,1085.08,26.58,169.75,835.65,-142.83,-127.25,745.91,-127.57,188.45,608.12,-268.61,-108.80,471.84,-243.30
33,-35.39,1654.13,282.10,3.20,1656.66,273.00,-93.72,1713.36,304.15,62.02,1622.56,226.99,-157.29,1738.84,287.54,166.14,1459.51,147.22,-185.28,1608.92,215.19,312.05,1280.52,27.74,-306.74,1530.46,438.75,292.38,1096.57,-108.92,-380.12,1517.90,729.36,133.96,1088.56,-8.01,-74.81,1083.49,26.69,169.28,836.02,-142.77,-127.05,743.99,-127.80,188.30,609.79,-268.81,-107.89,470.89,-243.70
34,-38.45,1656.07,281.10,-0.15,1659.29,272.31,-96.68,1714.70,303.38,58.64,1627.16,226.28,-159.61,1741.27,286.08,163.13,1463.29,147.29,-187.56,1612.32,216.87,310.12,1283.85,29.82,-310.95,1549.29,447.37,291.22,1098.84,-105.51,-389.59,1545.15,736.85,133.64,1090.31,-7.03,-74.80,1085.81,27.15,169.60,834.51,-143.37,-126.15,742.38,-127.59,187.95,606.21,-268.46,-106.37,467.27,-243.09
35,-37.09,1655.87,279.49,1.68,1657.79,271.82,-93.83,1713.07,302.24,60.78,1625.64,226.12,-155.27,1740.28,284.33,164.37,1464.32,144.69,-184.36,1612.20,219.71,310.96,1283.05,29.58,-314.74,1568.25,453.58,289.18,1097.13,-104.06,-397.13,1568.97,742.04,134.33,1090.26,-7.33,-74.76,1083.86,26.66,169.57,833.86,-143.83,-125.84,740.49,-127.30,187.89,604.77,-267.66,-107.42,469.56,-243.64
