trial_id,candidate_id,hip_amplitude_delta_deg,knee_amplitude_delta_deg,knee_phase_shift,excitation_duration_s,duration_design_status,global_constraints_valid,patient_envelope_valid,not_previously_executed,design_duplicate,candidate_valid,invalid_reason,resulting_rank,resulting_minimum_singular_value,resulting_condition_number,resulting_maximum_abs_correlation,resulting_weakest_parameter,resulting_weakest_parameter_sensitivity,incremental_log_information_gain,incremental_state_regressor_coverage,excursion_norm,trajectory_sha256,deterministic_candidate_rank,selected,diagnosed_weakest_parameter_before_trial,diagnosed_highest_correlation_pair_before_trial
2,ID-F-coupled-pos-d14,-1.0,-1.0,0.015,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,23.43341132502452,35.473437112131826,0.2659805514964656,b_hip_nm_s_per_rad,23.549682927539816,3.468835294100103,0.23724375918807308,2.0615528128088303,98e2d347db00f25db75a250a43a41e02b48b645aa1386f2533196df299780aa4,1,True,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-C-knee-d16,0.0,-1.5,0.0,16.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,22.131777340649055,37.51039771665051,0.2662729037808921,b_hip_nm_s_per_rad,22.24090611069961,3.230002813894444,0.34361308385103834,1.5,7e436b1be7ae0404c71932f12f25e3c9b0160bcf35e1cf59f4842d279d04578c,2,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-B-hip-d16,-1.5,0.0,0.0,16.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,21.96274816002293,37.98262402478441,0.2685844382185101,b_hip_nm_s_per_rad,22.07035595986554,3.218564364705969,0.34573938063026666,1.5,63f2b9ed595edbfda55694f87ee9adae0e78f43bc0d2c8177facd698abb2d759,3,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-J-opposed-d18,1.0,-1.0,0.0,18.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,21.18281574285791,39.248990140990465,0.26598946511669186,b_hip_nm_s_per_rad,21.28636739216824,3.067020300935539,0.48864348994660206,1.4142135623730951,34e9c262204e81d933c21e6f914d3a1aa4853bbe367ea76c1f3410ec711b648b,4,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-E-phase-neg-d18,0.0,0.0,-0.018,18.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,21.088438267481745,39.56981182356307,0.26563332124281464,b_hip_nm_s_per_rad,21.190523214943614,3.0578502034999318,0.4824611494361089,1.7999999999999998,fe4156e942b3e78632a32c25a37cb5e36052cea128706a1a8d060cfbd1cedcd0,5,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-D-phase-pos-d18,0.0,0.0,0.018,18.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,21.08738233025375,39.537209424455554,0.2656302219006961,b_hip_nm_s_per_rad,21.19052321736119,3.0626788772745,0.48911836711176154,1.7999999999999998,0619393cf93ceefeaa57006ab86aa75dac533be33856db8cc21f4869fbe4b1bb,6,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-A-neutral-d20,0.0,0.0,0.0,20.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,20.308706681491792,41.071081704282236,0.26574658744655394,b_hip_nm_s_per_rad,20.4060656702275,2.908402724168056,0.5367705020310448,0.0,c63455d3fd1dd83699162cdac4399204a7b17f34fd4fe02ff06198a97731dcc9,7,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-K-opposed-d20,-1.0,1.0,0.0,20.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,20.23003966157558,41.36456482138893,0.265270814520381,b_hip_nm_s_per_rad,20.326527904222818,2.901496756064283,0.5436741374723952,1.4142135623730951,56564a07f87c81e2a9d5f1f72c34beade20a9ce972030007eebb0591c07fdb4c,8,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-I-knee-d22,0.0,-2.0,0.0,22.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,19.712542134731983,42.04597296690137,0.26681702936851015,b_hip_nm_s_per_rad,19.80563646419845,2.7625524794166196,0.5986181644763438,2.0,fadea032b6ae3d9479faebb0ae16a3d316c7f13d9d190171427bd617d26f040f,9,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-H-hip-d22,-2.0,0.0,0.0,22.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,19.579779898928543,42.60487084209815,0.27362979472833704,b_hip_nm_s_per_rad,19.67124226659357,2.7492488643513155,0.6030189450046369,2.0,6365a95aed8cb828184b20522711429514f90056577181aaf04bbac43770894e,10,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-L-slow-phase-d28,-0.5,-0.5,0.02,28.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,18.556983581090662,44.85475806642551,0.2662702910606854,b_hip_nm_s_per_rad,18.639736884169032,2.538034037330604,0.672931177614526,2.1213203435596424,7e43e15a5a88083f7daa2662c2ef6307e53ed5bc47ac4acd033678595875778c,11,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-G-coupled-neg-d14,-1.0,-1.0,-0.015,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,False,True,False,previously_executed,5,23.434513043977066,35.49718015734176,0.26598489731190056,b_hip_nm_s_per_rad,23.549682925767154,3.4629031926196348,0.0,2.0615528128088303,80eafeaec97df2d48995a6a716b7c2873eb4339c035d7a812a4ffb1056332407,12,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
