subject_id,truth_scenario,trial_id,parameter,sensitivity,uncertainty_proxy,optimizer_standard_error,recovery_stability_relative_change,maximum_abs_correlation_with_other_parameter,parameter_supported_by_research_rule
baseline,matched_linear,1,mass_scale,363.81628310819536,0.002957682856926067,1.3914127478633873e-11,3.458966446601153e-11,0.2667203431591236,True
baseline,matched_linear,1,k_hip_nm_per_rad,441.8293923791432,0.002355216843684345,2.201323246716438e-10,0.24999999999045652,0.2642450793427108,True
baseline,matched_linear,1,k_knee_nm_per_rad,508.0400220261918,0.0020475828054577687,2.695797497431299e-10,0.10000000000638742,0.2667203431591236,True
baseline,matched_linear,1,b_hip_nm_s_per_rad,14.897119609346685,0.06745661669709234,9.452765822374523e-10,0.33333334122995284,0.06829529247562587,False
baseline,matched_linear,1,b_knee_nm_s_per_rad,19.945250331415092,0.05026729075541123,1.0111271810683371e-09,0.16666666666392138,0.06711461023500623,False
baseline,matched_linear,2,mass_scale,514.6873181221155,0.0020908696480049496,9.816391738650687e-12,0.0,0.2667255437892656,True
baseline,matched_linear,2,k_hip_nm_per_rad,624.8411189568785,0.0016654063300719257,1.5533934564706708e-10,0.0,0.2642800131697655,True
baseline,matched_linear,2,k_knee_nm_per_rad,717.8220942313656,0.0014491697443529952,1.9050127717422918e-10,0.0,0.26672554378926555,True
baseline,matched_linear,2,b_hip_nm_s_per_rad,21.067708593320702,0.04770126000272871,6.670707178764511e-10,0.0,0.0680481723293831,True
baseline,matched_linear,2,b_knee_nm_s_per_rad,28.31007260554737,0.03541457724491164,7.112831106877023e-10,0.0,0.06681820358390637,True
hip_stiff,matched_linear,1,mass_scale,363.81628308918516,0.0029576828571098363,1.1846191706357397e-15,1.1102230246251565e-16,0.2667203431678539,True
hip_stiff,matched_linear,1,k_hip_nm_per_rad,441.8293923784264,0.0023552168436862153,1.8645756069253675e-14,1.0,0.2642450793575608,True
hip_stiff,matched_linear,1,k_knee_nm_per_rad,508.04002202682403,0.002047582805458356,5.1589493917908383e-14,0.09999999999999468,0.2667203431678541,True
hip_stiff,matched_linear,1,b_hip_nm_s_per_rad,14.897119614894624,0.06745661667187156,8.003701646076134e-14,0.33333333333333326,0.0682952923987195,False
hip_stiff,matched_linear,1,b_knee_nm_s_per_rad,19.945250331669346,0.05026729075472332,1.9640150231127403e-13,0.16666666666501762,0.06711461022025286,False
hip_stiff,matched_linear,2,mass_scale,514.6873180884206,0.0020908696481650173,8.372270509913749e-16,0.0,0.26672554379959756,True
hip_stiff,matched_linear,2,k_hip_nm_per_rad,624.8411189571807,0.0016654063300654254,1.318073806244824e-14,0.0,0.26428001317383526,True
hip_stiff,matched_linear,2,k_knee_nm_per_rad,717.8220942321049,0.0014491697443531882,3.657810526723225e-14,0.0,0.26672554379959795,True
hip_stiff,matched_linear,2,b_hip_nm_s_per_rad,21.067708598690707,0.04770125999066246,5.6580350381111916e-14,0.0,0.06804817224368963,True
hip_stiff,matched_linear,2,b_knee_nm_s_per_rad,28.310072605905013,0.035414577244401745,1.3862090545341067e-13,0.0,0.06681820355802351,True
knee_stiff,matched_linear,1,mass_scale,363.81628308638494,0.0029576828571483,3.951444841610517e-17,1.1102230246251565e-16,0.266720343184137,True
knee_stiff,matched_linear,1,k_hip_nm_per_rad,441.8293923794929,0.002355216843675914,6.218422428651215e-16,0.25,0.2642450793563214,True
knee_stiff,matched_linear,1,k_knee_nm_per_rad,508.0400220260206,0.002047582805464072,1.8613799652933946e-15,1.0,0.2667203431841367,True
knee_stiff,matched_linear,1,b_hip_nm_s_per_rad,14.897119612614706,0.06745661668219108,2.6692263360042515e-15,0.33333333333334264,0.0682952923725296,False
knee_stiff,matched_linear,1,b_knee_nm_s_per_rad,19.945250331580727,0.050267290754771765,7.090010131926557e-15,0.16666666666666666,0.06711461017392041,False
knee_stiff,matched_linear,2,mass_scale,514.6873180863007,0.0020908696481748324,2.776151614564025e-17,0.0,0.26672554380596675,True
knee_stiff,matched_linear,2,k_hip_nm_per_rad,624.841118958256,0.0016654063300646444,4.369825856557033e-16,0.0,0.2642800131792746,True
knee_stiff,matched_linear,2,k_knee_nm_per_rad,717.8220942317544,0.0014491697443513147,1.3100071970862335e-15,0.0,0.2667255438059666,True
knee_stiff,matched_linear,2,b_hip_nm_s_per_rad,21.067708596175777,0.047701259996258905,1.8757909318125506e-15,0.0,0.0680481722490931,True
knee_stiff,matched_linear,2,b_knee_nm_s_per_rad,28.31007260660894,0.035414577243393426,4.967118879485008e-15,0.0,0.06681820350925582,True
heavy_leg,matched_linear,1,mass_scale,363.8162831093534,0.002957682856894804,9.189202985961494e-15,0.30000000000001226,0.2667203431454667,True
heavy_leg,matched_linear,1,k_hip_nm_per_rad,441.8293923774276,0.0023552168436685628,1.4711084788000748e-13,0.2500000000000129,0.26424507933896324,True
heavy_leg,matched_linear,1,k_knee_nm_per_rad,508.04002202544694,0.00204758280545149,1.0931796206439518e-13,0.10000000000000231,0.26672034314546667,True
heavy_leg,matched_linear,1,b_hip_nm_s_per_rad,14.89711961153757,0.06745661668649051,6.322545020845215e-13,0.33333333333864373,0.06829529237163268,False
heavy_leg,matched_linear,1,b_knee_nm_s_per_rad,19.945250331465445,0.05026729075525506,3.970561330664913e-13,0.16666666666666527,0.06711461022607315,False
heavy_leg,matched_linear,2,mass_scale,514.6873181196707,0.002090869647999215,6.483314504749754e-15,0.0,0.26672554377636504,True
heavy_leg,matched_linear,2,k_hip_nm_per_rad,624.8411189561594,0.0016654063300604726,1.0381912160770713e-13,0.0,0.2642800131612599,True
heavy_leg,matched_linear,2,k_knee_nm_per_rad,717.8220942304515,0.001449169744349945,7.725167302382222e-14,0.0,0.26672554377636576,True
heavy_leg,matched_linear,2,b_hip_nm_s_per_rad,21.067708593991334,0.04770126000091913,4.462110808262924e-13,0.0,0.0680481722693057,True
heavy_leg,matched_linear,2,b_knee_nm_s_per_rad,28.310072605802663,0.035414577244604555,2.7932406707119877e-13,0.0,0.0668182035879224,True
baseline,combined_mild,1,mass_scale,363.81628309491964,0.002957682857013327,0.0008908213917361996,0.011096757920991296,0.26672034314182624,True
baseline,combined_mild,1,k_hip_nm_per_rad,441.82939237954287,0.0023552168436729083,0.014057374216676502,0.33734325637238455,0.2642450793289063,True
baseline,combined_mild,1,k_knee_nm_per_rad,508.0400220258845,0.0020475828054571103,0.024018534431677736,0.16157929035469457,0.2667203431418262,True
baseline,combined_mild,1,b_hip_nm_s_per_rad,14.8971196115601,0.06745661668712145,0.060474058362518075,0.41709565825018996,0.06829529247210382,False
baseline,combined_mild,1,b_knee_nm_s_per_rad,19.94525033121862,0.05026729075610976,0.09109383254987144,0.20422697440558676,0.06711461028941731,False
baseline,combined_mild,2,mass_scale,514.6873181219585,0.002090869648005879,0.0006272483169986249,7.033360008856793e-05,0.266725543798855,True
baseline,combined_mild,2,k_hip_nm_per_rad,624.8411189575968,0.0016654063300735671,0.00990093889143945,1.1721244201012837e-05,0.26428001319257854,True
baseline,combined_mild,2,k_knee_nm_per_rad,717.8220942297601,0.0014491697443595314,0.016939507506323538,1.4668300594689044e-05,0.26672554379885494,True
