subject_id,truth_scenario,trial_id,temporary_parameter_name,parameter,estimate,parameter_interpretation,is_tissue_material_constant,frozen_as_theta_hat_0
baseline,combined_mild,1,theta_hat_ID_1,k_hip_nm_per_rad,16.74686512744769,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,1,theta_hat_ID_1,k_knee_nm_per_rad,13.231585807093891,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,1,theta_hat_ID_1,b_hip_nm_s_per_rad,2.25128697475057,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,1,theta_hat_ID_1,b_knee_nm_s_per_rad,1.6126809232167603,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,2,theta_hat_ID_2,mass_scale,0.9889735756790973,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,2,theta_hat_ID_2,k_hip_nm_per_rad,16.74663070256367,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,2,theta_hat_ID_2,k_knee_nm_per_rad,13.231879173105785,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,2,theta_hat_ID_2,b_hip_nm_s_per_rad,2.2295786352004234,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,2,theta_hat_ID_2,b_knee_nm_s_per_rad,1.6249624671644594,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,3,theta_hat_ID_3,mass_scale,0.9887529979737284,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,3,theta_hat_ID_3,k_hip_nm_per_rad,16.756609900654883,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,3,theta_hat_ID_3,k_knee_nm_per_rad,13.225089754352505,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,3,theta_hat_ID_3,b_hip_nm_s_per_rad,2.235089546124846,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,3,theta_hat_ID_3,b_knee_nm_s_per_rad,1.6265471564444196,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,4,theta_hat_ID_4,mass_scale,0.988884374105382,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,4,theta_hat_ID_4,k_hip_nm_per_rad,16.749759240488277,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,4,theta_hat_ID_4,k_knee_nm_per_rad,13.234391722355271,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,4,theta_hat_ID_4,b_hip_nm_s_per_rad,2.240775158328751,local_equivalent_dynamics_parameter,False,False
