baseline_oracle_index,baseline_relative_regret_of_perturbed_oracle,endpoint_id,exact_oracle_stable,leg_id,maximum_absolute_relative_endpoint_change,median_absolute_relative_endpoint_change,p95_absolute_relative_endpoint_change,perturbed_oracle_index,ranking_spearman_vs_baseline,scenario
312,0.00031164037733133476,E3,False,LEG_1_HEAVY_HIP_STIFF,0.00031960610297155766,7.376217093423209e-06,0.0003194638352492004,24,-0.49536249578464653,DETERMINISTIC_TORQUE_WAVE_B
312,0.00031839833752700386,E4,False,LEG_1_HEAVY_HIP_STIFF,0.00031960610297155766,7.376217093423209e-06,0.0003194638352492004,20,-0.5013995840396812,DETERMINISTIC_TORQUE_WAVE_B
24,0.0,E0,True,LEG_1_HEAVY_HIP_STIFF,7.613444807116152e-06,6.956404948855157e-06,7.411738075873473e-06,24,0.9999879085770461,HALF_RATE_EVEN_SAMPLES
1,0.0,E1,True,LEG_1_HEAVY_HIP_STIFF,8.684689850229075e-06,9.364841280213949e-07,5.89525257252476e-06,1,0.9999489800933892,HALF_RATE_EVEN_SAMPLES
312,0.0,E2,True,LEG_1_HEAVY_HIP_STIFF,0.00018515195743713596,6.077510338664303e-06,0.0001695598602073063,312,0.9999430959777766,HALF_RATE_EVEN_SAMPLES
312,0.0,E3,True,LEG_1_HEAVY_HIP_STIFF,0.0,0.0,0.0,312,0.9999999999999999,HALF_RATE_EVEN_SAMPLES
312,0.0,E4,True,LEG_1_HEAVY_HIP_STIFF,0.0,0.0,0.0,312,0.9999999999999999,HALF_RATE_EVEN_SAMPLES
24,0.0,E0,True,LEG_1_HEAVY_HIP_STIFF,7.607966297574092e-06,6.950933038643196e-06,7.406260694821351e-06,24,0.9999874170557879,HALF_RATE_ODD_OFFSET_SAMPLES
1,0.0,E1,True,LEG_1_HEAVY_HIP_STIFF,8.684770662618963e-06,9.295878822916781e-07,5.895327271863409e-06,1,0.9999528139592039,HALF_RATE_ODD_OFFSET_SAMPLES
312,0.0,E2,True,LEG_1_HEAVY_HIP_STIFF,0.00011158803828379148,1.310971356947009e-06,0.00010484229637237624,312,0.9995395176521306,HALF_RATE_ODD_OFFSET_SAMPLES
312,0.0,E3,True,LEG_1_HEAVY_HIP_STIFF,0.0003266785706050335,1.5730289345672527e-05,0.00032525256330009103,312,-0.4929809749097237,HALF_RATE_ODD_OFFSET_SAMPLES
312,0.0,E4,True,LEG_1_HEAVY_HIP_STIFF,0.0003266785706050335,1.5730289345672527e-05,0.00032525256330009103,312,-0.4929809749097237,HALF_RATE_ODD_OFFSET_SAMPLES
24,0.0,E0,True,LEG_2_KNEE_DOMINANT,4.41944063818326e-05,3.8490978394469926e-05,4.302967227270263e-05,24,0.9999981322192186,DETERMINISTIC_TORQUE_WAVE_A
2,0.0,E1,True,LEG_2_KNEE_DOMINANT,6.471286622483649e-06,1.71104309481235e-06,4.787911813366279e-06,2,0.9999974932415827,DETERMINISTIC_TORQUE_WAVE_A
312,0.0,E2,True,LEG_2_KNEE_DOMINANT,1.2592431496073573e-05,2.398855129636498e-06,1.1556666909069506e-05,312,1.0,DETERMINISTIC_TORQUE_WAVE_A
312,0.0,E3,True,LEG_2_KNEE_DOMINANT,1.8022843155531584e-05,1.0716118384544774e-05,1.7706822257689433e-05,312,-0.5981761506737209,DETERMINISTIC_TORQUE_WAVE_A
312,0.0,E4,True,LEG_2_KNEE_DOMINANT,1.8022843155531584e-05,1.0716118384544774e-05,1.7706822257689433e-05,312,-0.5981761506737209,DETERMINISTIC_TORQUE_WAVE_A
24,0.0,E0,True,LEG_2_KNEE_DOMINANT,7.36401351137031e-05,6.16393732234484e-05,7.206369115670342e-05,24,0.9999955271565496,DETERMINISTIC_TORQUE_WAVE_B
2,0.0,E1,True,LEG_2_KNEE_DOMINANT,1.4648306288142002e-05,2.856565959545212e-06,1.1674845458428565e-05,2,0.9999927254853773,DETERMINISTIC_TORQUE_WAVE_B
312,0.0,E2,True,LEG_2_KNEE_DOMINANT,2.6709614337712315e-05,4.139604793408273e-06,2.444872551883733e-05,312,1.0,DETERMINISTIC_TORQUE_WAVE_B
312,0.0,E3,True,LEG_2_KNEE_DOMINANT,1.8022774647356187e-05,1.0705650737516334e-05,1.770671947108809e-05,312,-0.5981761506737209,DETERMINISTIC_TORQUE_WAVE_B
312,0.0,E4,True,LEG_2_KNEE_DOMINANT,1.8022774647356187e-05,1.0705650737516334e-05,1.770671947108809e-05,312,-0.5981761506737209,DETERMINISTIC_TORQUE_WAVE_B
24,0.0,E0,True,LEG_2_KNEE_DOMINANT,1.1625373232883229e-06,3.8533275785764994e-07,9.899105682522204e-07,24,0.99999941017449,HALF_RATE_EVEN_SAMPLES
2,0.0,E1,True,LEG_2_KNEE_DOMINANT,8.488993344784955e-06,9.10585829071853e-07,6.466209425962484e-06,2,0.9999942983534039,HALF_RATE_EVEN_SAMPLES
312,0.0,E2,True,LEG_2_KNEE_DOMINANT,0.00018022930432285962,7.430268696441144e-06,0.00016494010352366515,312,1.0,HALF_RATE_EVEN_SAMPLES
312,0.0,E3,True,LEG_2_KNEE_DOMINANT,0.0,0.0,0.0,312,1.0,HALF_RATE_EVEN_SAMPLES
312,0.0,E4,True,LEG_2_KNEE_DOMINANT,0.0,0.0,0.0,312,1.0,HALF_RATE_EVEN_SAMPLES
24,0.0,E0,True,LEG_2_KNEE_DOMINANT,1.1650249069924772e-06,3.828369582622833e-07,9.92392125382384e-07,24,0.9999995084787417,HALF_RATE_ODD_OFFSET_SAMPLES
2,0.0,E1,True,LEG_2_KNEE_DOMINANT,8.48800914641465e-06,9.106379214504838e-07,6.465604792191117e-06,2,0.9999946915704105,HALF_RATE_ODD_OFFSET_SAMPLES
312,0.0,E2,True,LEG_2_KNEE_DOMINANT,0.00011397113403848984,1.9701451422566904e-06,0.00010553259619544343,312,0.999651379941082,HALF_RATE_ODD_OFFSET_SAMPLES
