E0_relative,E1,E2,anti_cancellation_gap,beta,candidate_index,leg_id,relative_extension_vector_rms,relative_flexion_vector_rms,relative_hip_rms,relative_knee_rms,tradeoff_kind
1.0009729867001602,1.011474552577795,1.0159773057335362,0.010501565877634844,"[0.03,-0.03]",600,LEG_0_NOMINAL,1.0010067178979583,1.000948588107436,0.9994251220106692,1.011474552577795,JOINT_TRADEOFF
0.999878767340242,1.0009379823951625,1.0159773057335362,0.016098538393294226,"[-0.03,-0.03]",0,LEG_0_NOMINAL,1.0010067178979583,0.9989674797357383,0.9997234862251737,1.0009379823951625,BRANCH_TRADEOFF
1.0001890299356113,1.011803011893371,1.014588821530486,0.011613981957759645,"[0.03,-0.03]",600,LEG_1_HEAVY_HIP_STIFF,1.0002315791532757,1.000163916770601,0.9998171316928111,1.011803011893371,JOINT_TRADEOFF
0.999987775135434,1.0003711724702784,1.014588821530486,0.014601046395051887,"[-0.03,-0.03]",0,LEG_1_HEAVY_HIP_STIFF,1.0002315791532757,0.9998352086531196,0.9999755688634935,1.0003711724702784,BRANCH_TRADEOFF
0.999337787281257,1.0017378764892277,1.007983619110148,0.002400089207970746,"[0.025,0.03]",574,LEG_2_KNEE_DOMINANT,0.9877250810983647,1.007723838917169,1.0017378764892277,0.9992738399953677,JOINT_TRADEOFF
1.0002752135199635,1.0003173768567182,1.0142077979694175,0.013932584449454,"[-0.03,-0.03]",0,LEG_2_KNEE_DOMINANT,1.013581868555211,0.9904518898749565,0.9986894848701595,1.0003173768567182,BRANCH_TRADEOFF
0.9990241778374687,1.0000711578599606,1.0057242057445466,0.001046980022491928,"[0.0175,0.0275]",498,LEG_3_NONLINEAR_COUPLED,0.9923857499967765,1.0036722515779983,1.0000711578599606,0.9985242002917295,JOINT_TRADEOFF
1.0001634243377318,1.0002125793068033,1.013556242469001,0.013392818131269246,"[-0.03,-0.03]",0,LEG_3_NONLINEAR_COUPLED,1.0093442589452855,0.9936359629046242,1.0000604036224234,1.0002125793068033,BRANCH_TRADEOFF
1.0000713577427571,1.0004090009784503,1.0105008563442701,0.00033764323569318577,"[-0.0275,-0.03]",25,LEG_4_STRONG_STRUCTURAL_MISMATCH,1.003065449156361,0.9981596372789555,0.9999783484442828,1.0004090009784503,JOINT_TRADEOFF
0.9999666216748523,1.0000599408548392,1.0105008563442701,0.01053423466941783,"[-0.03,-0.03]",0,LEG_4_STRONG_STRUCTURAL_MISMATCH,1.003065449156361,0.9979868382808107,0.9999409193994924,1.0000599408548392,BRANCH_TRADEOFF
