case_id,subject_id,scenario_name,policy_id,iteration,trial_purpose,trajectory_id,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,executed_false_improvement,false_improvement_executed_as_exploit,best_updated
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00570581642967,-0.00570583240124,IMPROVE,IMPROVE,False,False,True
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00562809725397,-0.00562811364489,IMPROVE,IMPROVE,False,False,True
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,-0.000376314053928,-0.000375756222738,NEUTRAL,NEUTRAL,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,-0.000746303166305,-0.000745745456048,NEUTRAL,NEUTRAL,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,-0.00111491555967,-0.00111435797291,NEUTRAL,NEUTRAL,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,-0.00148213901663,-0.00148158155591,NEUTRAL,NEUTRAL,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,-0.00184796140393,-0.00184740407181,NEUTRAL,NEUTRAL,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,-0.00221237067269,-0.00221181347173,NEUTRAL,NEUTRAL,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,-0.000651726461822,-0.00065231965009,NEUTRAL,NEUTRAL,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.00666528974099,-0.00667057051426,IMPROVE,IMPROVE,False,False,True
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00655300359635,-0.00655304154774,IMPROVE,IMPROVE,False,False,True
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.00644182447333,-0.00644186303234,IMPROVE,IMPROVE,False,False,True
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00633121629165,-0.00633125545255,IMPROVE,IMPROVE,False,False,True
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00622122736161,-0.00622126711817,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.00549376557307,-0.00714003214998,IMPROVE,IMPROVE,False,False,True
