case_id,subject_id,scenario_name,policy_id,iteration,executed_trial_count_this_iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,decision_uncertainty_bound,improvement_margin,model_supported,domain_coverage,distance_to_supported_region,distance_role,accepted_improvement,executed_false_improvement,execution_status,valid_data_added_to_model_update,model_updates_this_iteration,model_reliability_status_after_iteration,truth_accessed_before_selection,cumulative_regret_vs_best_before,stop_reason_after_iteration
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.976706693252,0.976703932761,0.982409765163,0.976703932761,-0.00570581642967,-0.00570583240124,IMPROVE,IMPROVE,2.53130849615e-14,0.000705816429643,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.971078595998,0.971075819116,0.976703932761,0.971075819116,-0.00562809725397,-0.00562811364489,IMPROVE,IMPROVE,2.53130849615e-14,0.000628097253945,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,STOP_MAX_PERSONALIZATION_TRIALS
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999623685946,0.999624243777,1,1,-0.000376314053928,-0.000375756222738,NEUTRAL,NEUTRAL,0,-0.00462368594607,False,78.0548628429,5.83095189485,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,0,0,0,0,0,0.999253696834,0.999254254544,1,1,-0.000746303166305,-0.000745745456048,NEUTRAL,NEUTRAL,0,-0.0042536968337,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,0,0,0,0,0,0.99888508444,0.998885642027,1,1,-0.00111491555967,-0.00111435797291,NEUTRAL,NEUTRAL,0,-0.00388508444033,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,0,0,0,0,0,0.998517860983,0.998518418444,1,1,-0.00148213901663,-0.00148158155591,NEUTRAL,NEUTRAL,0,-0.00351786098337,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,0,0,0,0,0,0.998152038596,0.998152595928,1,1,-0.00184796140393,-0.00184740407181,NEUTRAL,NEUTRAL,0,-0.00315203859607,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,1,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,0,0,0,0,0,0.997787629327,0.997788186528,1,1,-0.00221237067269,-0.00221181347173,NEUTRAL,NEUTRAL,0,-0.00278762932731,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,STOP_MAX_PERSONALIZATION_TRIALS
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999348273538,0.99934768035,1,1,-0.000651726461822,-0.00065231965009,NEUTRAL,NEUTRAL,1.7763568394e-15,-0.00434827353818,False,78.0548628429,5.83095189485,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.993334710259,0.993329429486,1,0.993329429486,-0.00666528974099,-0.00667057051426,IMPROVE,IMPROVE,1.7763568394e-15,0.00166528974099,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
