case_id,subject_id,scenario_name,policy_id,iteration,model_update_count,model_update_success,within_trial_model_fixed,updates_this_trial,mass_scale_before,k_hip_nm_per_rad_before,k_knee_nm_per_rad_before,b_hip_nm_s_per_rad_before,b_knee_nm_s_per_rad_before,mass_scale_after,k_hip_nm_per_rad_after,k_knee_nm_per_rad_after,b_hip_nm_s_per_rad_after,b_knee_nm_s_per_rad_after,mass_scale_delta,k_hip_nm_per_rad_delta,k_knee_nm_per_rad_delta,b_hip_nm_s_per_rad_delta,b_knee_nm_s_per_rad_delta,uncertainty_trace_before,uncertainty_trace_after
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,3,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00246472233254,0.00214369969438
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,4,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00214369969438,0.00189811776112
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,5,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00189811776112,0.0017041591259
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,6,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.0017041591259,0.00154709169306
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,0,0,True,True,0,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0,0,0,0,0,0.00169970721221,0.00169970721221
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,1,1,True,True,1,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0.963773918404,17.1442163595,13.8311814117,2.15684882074,1.76379763205,-8.71500751045e-05,0.00344623280474,-0.00124988300855,0.0083550710805,0.0131396954074,0.00169970721221,0.00153938386838
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,2,2,True,True,1,0.963773918404,17.1442163595,13.8311814117,2.15684882074,1.76379763205,0.963715481243,17.1465884665,13.8244311196,2.16357160167,1.77351931475,-5.84371614768e-05,0.00237210700278,-0.00675029210575,0.00672278093038,0.00972168270424,0.00153938386838,0.0014075879191
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,3,3,True,True,1,0.963715481243,17.1465884665,13.8244311196,2.16357160167,1.77351931475,0.963673498764,17.1483432897,13.8146736374,2.16908613421,1.78088697364,-4.19824785077e-05,0.00175482319546,-0.00975748228431,0.00551453253745,0.00736765888408,0.0014075879191,0.0012972818291
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,4,4,True,True,1,0.963673498764,17.1483432897,13.8146736374,2.16908613421,1.78088697364,0.963641883729,17.1497081904,13.8031339355,2.17367630016,1.78654267896,-3.16150352556e-05,0.00136490070649,-0.0115397018058,0.00459016594456,0.00565570531952,0.0012972818291,0.00120358866441
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,5,5,True,True,1,0.963641883729,17.1497081904,13.8031339355,2.17367630016,1.78654267896,0.963617274601,17.1508091382,13.790484255,2.17754203203,1.79090652286,-2.46091284295e-05,0.00110094774437,-0.0126496805773,0.00386573187872,0.00436384390959,0.00120358866441,0.00112301192867
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,6,6,True,True,1,0.963617274601,17.1508091382,13.790484255,2.17754203203,1.79090652286,0.963511518994,17.1551497569,13.7799149159,2.18146746081,1.79499672587,-0.000105755606836,0.00434061871169,-0.0105693390239,0.00392542877602,0.00409020300482,0.00112301192867,0.0010515545934
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,0,True,True,0,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0,0,0,0,0,0.00169970721221,0.00169970721221
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0,0,0,0,0,0.00169970721221,0.00169970721221
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,0,0,True,True,0,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,0,0,0,0,0,0.00169970721222,0.00169970721222
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,1,1,True,True,1,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,1.00265783494,15.8090735429,11.7263496075,2.16477960369,1.41673044356,-9.36162613963e-06,0.000735599385978,-0.000560177708632,0.00780775697434,-0.00407389781326,0.00169970721222,0.00153938386822
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,2,2,True,True,1,1.00265783494,15.8090735429,11.7263496075,2.16477960369,1.41673044356,1.00263802082,15.8105055298,11.7252605663,2.17076352247,1.4134588228,-1.98141177099e-05,0.00143198689617,-0.00108904120464,0.00598391877994,-0.00327162075881,0.00153938386822,0.00140758791913
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,3,3,True,True,1,1.00263802082,15.8105055298,11.7252605663,2.17076352247,1.4134588228,1.00261228918,15.8123311553,11.7238709338,2.17532994064,1.41080839027,-2.57316415064e-05,0.00182562554401,-0.00138963249171,0.00456641816338,-0.00265043253291,0.00140758791913,0.00129728182907
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,4,4,True,True,1,1.00261228918,15.8123311553,11.7238709338,2.17532994064,1.41080839027,1.00258287455,15.8144007189,11.7222923867,2.17877836617,1.40864673077,-2.94146303204e-05,0.00206956363772,-0.00157854711707,0.00344842553509,-0.00216165949429,0.00129728182907,0.00120358866441
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,5,5,True,True,1,1.00258287455,15.8144007189,11.7222923867,2.17877836617,1.40864673077,1.00255100919,15.8166318135,11.7205860017,2.18133151347,1.40687652099,-3.18653596802e-05,0.00223109453914,-0.00170638497721,0.00255314729991,-0.00177020978717,0.00120358866441,0.00112301192877
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,6,6,True,True,1,1.00255100919,15.8166318135,11.7205860017,2.18133151347,1.40687652099,1.00251279553,15.8191470089,11.7186967775,2.18298192308,1.4054681462,-3.82136582298e-05,0.00251519542077,-0.00188922426781,0.00165040960782,-0.00140837479067,0.00112301192877,0.00105155459341
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,0,True,True,0,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,0,0,0,0,0,0.00169970721222,0.00169970721222
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,0,0,0,0,0,0.00169970721222,0.00169970721222
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,0,0,True,True,0,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,0,0,0,0,0,0.00169970721234,0.00169970721234
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,1,1,True,True,1,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,1.00001232218,14.9987325513,11.9989674341,2.0597914536,1.56564789271,-1.11312521534e-06,0.000184823888526,0.000160121137137,-0.00208423835418,-0.00230895916949,0.00169970721234,0.00153938386827
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,2,2,True,True,1,1.00001232218,14.9987325513,11.9989674341,2.0597914536,1.56564789271,1.00001149492,14.9988532587,11.9990732934,2.05805854044,1.56372516411,-8.27265699499e-07,0.000120707413037,0.000105859337124,-0.00173291316404,-0.00192272859662,0.00153938386827,0.0014075879191
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,3,3,True,True,1,1.00001149492,14.9988532587,11.9990732934,2.05805854044,1.56372516411,1.00001084236,14.9989379416,11.999149206,2.05659641492,1.56209413099,-6.52559592362e-07,8.46828774606e-05,7.59125807441e-05,-0.00146212551973,-0.00163103312835,0.0014075879191,0.00129728182915
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,4,4,True,True,1,1.00001084236,14.9989379416,11.999149206,2.05659641492,1.56209413099,1.00001030676,14.9990004532,11.9992069577,2.05534679193,1.56068855338,-5.35594566031e-07,6.25116445292e-05,5.77516462883e-05,-0.00124962298598,-0.00140557760743,0.00129728182915,0.00120358866435
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,5,5,True,True,1,1.00001030676,14.9990004532,11.9992069577,2.05534679193,1.56068855338,1.00000985442,14.9990483936,11.9992529258,2.05426675852,1.55946082015,-4.52345362723e-07,4.79403644125e-05,4.59680892106e-05,-0.001080033406,-0.00122773322498,0.00120358866435,0.00112301192853
