case_id,subject_id,scenario_name,policy_id,research_status,model_status,human_readiness,approval_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_accepted_improvements,number_of_executed_false_improvements,number_of_exploit_false_improvements,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_best_equals_last_executed_trial,final_supported_point_count,known_region_growth,final_validation_e_delta_J_bound,stop_reason,trial_budget,trial_budget_status,whole_map_recomputation_count,truth_calls_including_reference_normalization,heldout_final_test_used,global_minimum_executed_directly,support_used_as_reliability_score,model_reliability_status,final_local_recommended_trajectory_id,final_local_truth_best_trajectory_id,final_local_regret,final_local_regret_truth_role,case_class
heavy_leg__matched_linear,heavy_leg,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,7650,0,1.7763568394e-15,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00666528974099,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,5,1,5,0,0,1,0.967782002335,0.0322179976651,0,6,0,-5,0,True,12100,4450,1.7763568394e-15,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,0.00233356895633,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,6,0,5,0,0,1,0.965580186606,0.0344198133936,0,6,0,-5,0,False,13750,0,0.176101604312,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.500_k-5.000_p+0.00000,0.000499072773155,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,13750,0,0.177732797422,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00713558632394,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,13750,0,0.177732797422,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00713558632394,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,6,0,5,0,0,1,0.970184548874,0.0298154511256,0,6,0,-5,0,False,13750,0,0.115710152282,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.500_k-5.000_p+0.00000,0.000950021802889,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,13750,0,0.115846899894,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00613075929852,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,13750,0,0.115846899894,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00613075929852,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,6,0,5,0,0,1,0.971232932129,0.0287670678709,0,6,0,-5,0,False,13750,0,0.000320090689155,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.500_k-5.000_p+0.00000,0.000901193769565,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,5,5,0,5,0,0,1,0.971232932129,0.0287670678709,0,5,0,-5,0,True,13750,0,0.000311288010574,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,6,6,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,0.0017848089756,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,5,5,0,5,0,0,1,0.971232932129,0.0287670678709,0,5,0,-5,0,True,13750,0,0.000311288010574,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,6,6,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,0.0017848089756,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,6,0,5,0,0,1,0.971515062695,0.028484937305,0,6,0,-5,0,False,13750,0,0.00728612248747,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.500_k-5.000_p+0.00000,0.000901526539594,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__structured_residual,baseline,structured_residual,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,13750,0,0.00753215325456,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.0058557364286,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__structured_residual,baseline,structured_residual,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,13750,0,0.00753215325456,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.0058557364286,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,6,0,5,0,0,1,0.966892394609,0.0331076053914,0,6,0,-5,0,False,13750,0,0.214825993734,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.500_k-5.000_p+0.00000,0.000716397939173,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__combined_mild,baseline,combined_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,13750,0,0.216052982758,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00684857304666,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
baseline__combined_mild,baseline,combined_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,13750,0,0.216052982758,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00684857304666,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MILD_MODEL_MISMATCH
