subject_id,family,method,seed,noise_std,budget,prefix_size,heldout_count,fit_success,fit_status,fit_cost,train_torque_rmse_nm,train_samples,boundary_hits,mismatch_flag,heldout_torque_rmse_mean_nm,heldout_E3_abs_error_mean,heldout_E2_abs_error_mean,heldout_peak_abs_error_mean,rank_spearman,predicted_best_candidate,predicted_best_true_E3,true_oracle_candidate,true_oracle_E3,top_regret,predicted_best_true_feasible,predicted_best_pred_feasible,optimizer_message
MYOLEG_VP_001,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,1,1,386,True,OK,104.32861551889731,3.253233803402998,401,mass_scale,BOUNDARY_LIMITED,3.271922598146987,0.15056325511427718,0.022644962333865804,0.03894456984504521,0.8943499686239776,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,2,2,385,True,OK,193.99417705093128,3.213629537182831,802,mass_scale,BOUNDARY_LIMITED,3.280712512988398,0.16064760243749374,0.02563004766385023,0.03894781478328353,0.964081740798062,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,4,4,383,True,OK,379.1073866850166,3.195903435094618,1604,mass_scale,BOUNDARY_LIMITED,3.284688551196215,0.16313397400492294,0.025945435548963756,0.03889975562777914,0.9640197599551625,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,8,8,379,True,OK,748.4595715767474,3.1857430464982475,3208,mass_scale,BOUNDARY_LIMITED,3.284208927974396,0.16435680449075182,0.02455681221118352,0.03877643955891868,0.9329588262653115,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,0.0,1,1,386,True,OK,104.32861551889731,3.253233803402998,401,mass_scale,BOUNDARY_LIMITED,3.271922598146987,0.15056325511427718,0.022644962333865804,0.03894456984504521,0.8943499686239776,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,0.0,2,2,385,True,OK,193.99417705093128,3.213629537182831,802,mass_scale,BOUNDARY_LIMITED,3.280712512988398,0.16064760243749374,0.02563004766385023,0.03894781478328353,0.964081740798062,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,0.0,4,4,383,True,OK,373.08387276070766,3.18871171841358,1604,mass_scale,BOUNDARY_LIMITED,3.2856244308466986,0.16505744075032328,0.025165562930058928,0.038831041234597116,0.9527542018099054,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,0.0,8,8,379,True,OK,739.6150790914115,3.1789721273360585,3208,mass_scale,BOUNDARY_LIMITED,3.2891448806603916,0.1659942368456475,0.025801712763760608,0.03883148055208995,0.9575043589624898,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,0,0.0,1,1,386,True,OK,104.32861551889731,3.253233803402998,401,mass_scale,BOUNDARY_LIMITED,3.271922598146987,0.15056325511427718,0.022644962333865804,0.03894456984504521,0.8943499686239776,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,0,0.0,2,2,385,True,OK,193.99417705093128,3.213629537182831,802,mass_scale,BOUNDARY_LIMITED,3.280712512988398,0.16064760243749374,0.02563004766385023,0.03894781478328353,0.964081740798062,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,0,0.0,4,4,383,True,OK,376.47516715834263,3.1906594340244876,1604,mass_scale,BOUNDARY_LIMITED,3.289393231334469,0.1641526888358069,0.026708327865231363,0.038919510562706316,0.9698621809768567,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_001,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,0,0.0,8,8,379,True,OK,741.3842546874217,3.179160928967666,3208,mass_scale,BOUNDARY_LIMITED,3.2916544579833436,0.16591368717987912,0.026589299361875905,0.03887409022021832,0.9665288992049164,KEY_POSTURE_TIMING:383,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,MODEL_INFORMED_BO_EI,0,0.0,1,1,323,True,OK,157.9945124602205,4.134793029250603,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,4.15968919091157,0.16580891042397694,0.07008987134756198,0.030312714831173822,0.7932690492927403,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,MODEL_INFORMED_BO_EI,0,0.0,2,2,322,True,OK,302.46684432211214,4.076280614596512,802,mass_scale,BOUNDARY_LIMITED,4.161267878953131,0.1703480945840744,0.0728170706348387,0.03027482354090425,0.9581641677394241,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,MODEL_INFORMED_BO_EI,0,0.0,4,4,320,True,OK,593.3125632531047,4.049942905702693,1604,mass_scale,BOUNDARY_LIMITED,4.164464545765415,0.17225726056979912,0.07333311696330144,0.03032135735120502,0.9606337708376057,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
