condition,joint,balance_rmse_nm,balance_p95_abs_nm,balance_max_abs_nm,q_error_rmse_deg,q_error_p95_abs_deg,q_error_max_abs_deg,dq_error_rmse_deg_s,dq_error_p95_abs_deg_s,dq_error_max_abs_deg_s,ddq_error_rmse_deg_s2,ddq_error_p95_abs_deg_s2,ddq_error_max_abs_deg_s2,source_equality_residual_max,stable_replay
PRIMARY,hip,3.5050502762678217e-15,7.105427357601002e-15,2.5757174171303632e-14,0.4144753132097478,0.5969066688391139,0.6218492595167152,0.282972595518311,0.17993492710031167,5.334587657083024,41.703777615101245,0.6229791753711139,802.3553647693319,0.0006773673657263354,True
PRIMARY,knee,2.3179275793841397e-14,4.973799150320701e-14,2.1316282072803006e-13,0.280173958379112,0.57154425182412,0.5962666529447797,0.1909383181051374,0.45214225282831866,1.8496938878021953,11.961264913468215,0.7949866233282077,225.21821304318556,0.0006773673657263354,True
SENSITIVITY,hip,1.8586186311022872e-15,4.440892098500626e-15,7.105427357601002e-15,0.415710387913024,0.5970632429977619,0.621851312569234,0.2829310853334518,0.178170013717244,5.334606746675731,41.70380505456381,0.6223439840789865,802.3553647693319,0.0005669015303355132,True
SENSITIVITY,knee,7.190435094440559e-15,1.5987211554602254e-14,6.616929226765933e-14,0.12743479937838328,0.1953392051158849,0.20491809351532728,0.0968687821006869,0.040720172327369165,1.8497062386058485,11.944825633717768,0.19699453679840925,225.21821304318556,0.0005669015303355132,True
