record_type,metric,dimension,subject_id,minus_delta_from_reference,plus_delta_from_reference,central_derivative_per_unit,central_derivative_sign,preferred_local_direction,sign_agreement_fraction,minus_improvement_fraction,plus_improvement_fraction
SUBJECT,J,knee,MYOLEG_VP_022,0.001233980815526392,-0.001232910651407293,-0.00493378293386737,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_023,0.0012032304159246276,-0.0011992212783427103,-0.004804903388534676,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_025,0.0011664549051243478,-0.0011583498231976241,-0.004649609456643944,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_026,0.0011286938917896006,-0.0011169753612763067,-0.0044913385061318145,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_027,0.001261665291314662,-0.0012673189002411211,-0.005057968383111566,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_029,0.0012297970218984045,-0.0012292828292058688,-0.004918159702208547,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_030,0.001162737683345627,-0.0011540874851841965,-0.004633650337059647,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_031,0.0012293302845650667,-0.0012283025388818425,-0.004915265646893818,-1,PLUS,,,
SUMMARY,J,knee,ALL_DEVELOPMENT,,,,,,1.0,0.0,1.0
SUBJECT,J,phase,MYOLEG_VP_001,-5.654645335395614e-05,5.062540046485431e-05,0.02143437076376209,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_002,-6.080528506891003e-05,5.40988001209719e-05,0.022980817037976387,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_003,-5.898867952647269e-05,5.2642925401302776e-05,0.022326320985555093,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_005,-6.144863805235268e-05,5.4782756182092385e-05,0.023246278846889012,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_006,-5.982969736051391e-05,5.332521646295163e-05,0.02263098276469311,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_007,-6.050960741299516e-05,5.399503110503634e-05,0.0229009277036063,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_009,-5.7641041962042117e-05,5.1560527560501335e-05,0.02184031390450869,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_010,-6.0521892426557145e-05,5.384196306601474e-05,0.022872771098514377,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_011,-6.157839704512558e-05,5.49215955416571e-05,0.023299998517356535,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_013,-6.060648520933576e-05,5.4094901627554925e-05,0.022940277367378137,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_014,-5.997925397926984e-05,5.352435275951528e-05,0.022700721347757025,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_015,-6.047161509947774e-05,5.403771918688349e-05,0.022901866857272246,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_017,-5.98080991283112e-05,5.345909594467457e-05,0.022653439014597154,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_018,-6.0843046400860246e-05,5.442498098817694e-05,0.023053605477807437,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_019,-6.010207421247582e-05,5.355275129326209e-05,0.022730965101147582,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_021,-6.139441737840201e-05,5.458938006341896e-05,0.023196759488364194,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_022,-5.8918207097802267e-05,5.2598040950702085e-05,0.02230324960970087,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_023,-5.891956279002741e-05,5.2717197870144616e-05,0.022327352132034406,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_025,-5.6543240147699514e-05,5.0619009784313995e-05,0.021432449986402702,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_026,-5.632953109968586e-05,5.0529902746454525e-05,0.021371886769228077,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_027,-6.165163652105399e-05,5.481680086649732e-05,0.02329368747751026,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_029,-6.119861024744822e-05,5.4519571497602115e-05,0.023143636349010066,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_030,-5.756450093197252e-05,5.166787957855412e-05,0.021846476102105328,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_031,-6.03604081030884e-05,5.395464702762087e-05,0.022863011026141855,1,MINUS,,,
SUMMARY,J,phase,ALL_DEVELOPMENT,,,,,,1.0,1.0,0.0
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_001,0.0009726898095359093,-0.0009753095375013565,-0.0038959986940745317,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_002,0.0009723546544678774,-0.0009763023377525881,-0.003897313984440931,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_003,0.0009571321325108073,-0.000959960280696448,-0.0038341848264145106,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_005,0.0009690309197385449,-0.0009726415041946268,-0.0038833448478663435,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_006,0.0009527460357738882,-0.0009556657092864018,-0.00381682349012058,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_007,0.0010162163270324154,-0.0010196453889161905,-0.004071723431897212,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_009,0.0010129995391225943,-0.0010161798143253353,-0.004058358706895859,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_010,0.0009566910626894742,-0.0009604046615201423,-0.003834191448419233,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_011,0.0009882931669801254,-0.0009916530058916573,-0.003959892345743565,-1,PLUS,,,
