case_id,subject_id,scenario_name,iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,actual_J,best_actual_J_before,best_actual_J_after,actual_best_J_improvement,changed_best_alpha,accepted_meaningful_improvement,J_pred_at_execution,best_executed_J_pred_so_far,map_best_supported_J_pred_after,eligible_endpoint_ids_before,eligible_endpoint_ids_after,changed_future_exploit_eligibility,future_eligibility_added,future_eligibility_removed,parameter_delta_json,parameter_changed_exactly,prediction_map_change_rms,prediction_map_change_max_abs,prediction_map_changed_exactly,supported_point_count_before,supported_point_count_after,support_point_increase,model_refit_after_execution,full_map_recomputed_after_execution,frozen_history_row_verified,truth_used_to_select_or_stop,trial_value_classification,classification_is_posthoc_only,classification_used_to_stop_policy
baseline__matched_linear,baseline,matched_linear,11,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,-5,0,0,-5,0,0.996668102718,0.971228759614,0.971228759614,0,False,False,0.996668484144,0.971233542623,0.968059292039,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,14850,15400,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,12,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.996205813345,0.971228759614,0.971228759614,0,False,False,0.996206194737,0.971233542623,0.967633075336,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,15400,15950,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999930463492,1,1,0,False,False,0.999931323653,0.999931323653,0.970930130061,,asym_h+0.000_k-1.250_p+0.00000,True,asym_h+0.000_k-1.250_p+0.00000,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,7650,12100,4450,True,True,True,False,MULTIPLE_VALUES,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,2,EXPLOIT,asym_h+0.000_k-1.250_p+0.00000,0,-1.25,0,0,0,0,0,-1.25,0,0.992582871522,1,0.992582871522,0.00741712847757,True,True,0.992585589095,0.992585589095,0.970930130061,asym_h+0.000_k-1.250_p+0.00000,asym_h+0.000_k-2.500_p+0.00000,True,asym_h+0.000_k-2.500_p+0.00000,asym_h+0.000_k-1.250_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,3,EXPLOIT,asym_h+0.000_k-2.500_p+0.00000,0,-2.5,0,0,-1.25,0,0,-2.5,0,0.985291920941,0.992582871522,0.985291920941,0.00729095058154,True,True,0.98529465763,0.98529465763,0.970930130061,asym_h+0.000_k-2.500_p+0.00000,asym_h+0.000_k-3.750_p+0.00000,True,asym_h+0.000_k-3.750_p+0.00000,asym_h+0.000_k-2.500_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,4,EXPLOIT,asym_h+0.000_k-3.750_p+0.00000,0,-3.75,0,0,-2.5,0,0,-3.75,0,0.978123092514,0.985291920941,0.978123092514,0.00716882842726,True,True,0.978125848972,0.978125848972,0.970930130061,asym_h+0.000_k-3.750_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,True,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-3.750_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-3.75,0,0,-5,0,0.971075819116,0.978123092514,0.971075819116,0.00704727339717,True,True,0.971078595998,0.971078595998,0.970930130061,asym_h+0.000_k-5.000_p+0.00000,,True,,asym_h+0.000_k-5.000_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,6,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.999867433694,0.971075819116,0.971075819116,0,False,False,0.999868293195,0.971078595998,0.970919612713,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12650,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,7,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.999807364527,0.971075819116,0.971075819116,0,False,False,0.999808223371,0.971078595998,0.970911945998,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12650,13200,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,8,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.99975026634,0.971075819116,0.971075819116,0,False,False,0.99975112453,0.971078595998,0.970907140218,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,13200,13750,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
