case_id,subject_id,scenario_name,executed_trial_index,trial_purpose,best_actual_J_so_far,best_executed_J_pred_so_far,map_best_supported_J_pred_after,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,actual_best_J_improvement,trial_value_classification
heavy_leg__matched_linear,heavy_leg,matched_linear,2,EXPLOIT,0.991680716726,0.99168600693,0.967189952506,0,-1.25,0,0.00831928327377,DIRECT_DECISION_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,3,EXPLOIT,0.98354159365,0.983546931579,0.967189952506,0,-2.5,0,0.00813912307609,DIRECT_DECISION_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,4,EXPLOIT,0.975575746902,0.9755811335,0.967189952506,0,-3.75,0,0.00796584674819,DIRECT_DECISION_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,5,EXPLOIT,0.967782002335,0.967787438536,0.967189952506,0,-5,0,0.00779374456701,DIRECT_DECISION_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,6,EXPLORE,0.967782002335,0.967787438536,0.96660578769,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,7,EXPLORE,0.967782002335,0.967787438536,0.966026490754,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,8,EXPLORE,0.967782002335,0.967787438536,0.965452078084,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,9,EXPLORE,0.967782002335,0.967787438536,0.964882533895,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,10,EXPLORE,0.967782002335,0.967787438536,0.964317789265,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,11,EXPLORE,0.967782002335,0.967787438536,0.963757978422,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
heavy_leg__matched_linear,heavy_leg,matched_linear,12,EXPLORE,0.967782002335,0.967787438536,0.963203117167,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,1,EXPLOIT,0.991096051935,0.993142559609,0.971648197849,0,-1.25,0,0.00890394806501,MULTIPLE_VALUES
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,2,EXPLOIT,0.982395286145,0.986381629612,0.971642721078,0,-2.5,0,0.00870076578956,MULTIPLE_VALUES
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,3,EXPLOIT,0.973890808057,0.979712935485,0.971634447221,0,-3.75,0,0.00850447808886,MULTIPLE_VALUES
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,4,EXPLOIT,0.965580186606,0.973134907629,0.971624508287,0,-5,0,0.00831062145021,MULTIPLE_VALUES
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,1,EXPLOIT,0.992345339537,0.992542853163,0.969129987739,0,-1.25,0,0.00765466046262,MULTIPLE_VALUES
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2,EXPLOIT,0.984827390336,0.985210826959,0.969128934829,0,-2.5,0,0.00751794920144,MULTIPLE_VALUES
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3,EXPLOIT,0.977440667447,0.978002499282,0.969127692319,0,-3.75,0,0.00738672288919,MULTIPLE_VALUES
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,4,EXPLOIT,0.970184548874,0.970917079929,0.969126333544,0,-5,0,0.00725611857231,MULTIPLE_VALUES
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,1,EXPLOIT,0.992623627739,0.992627130267,0.969358532962,0,-1.25,0,0.00737637226131,MULTIPLE_VALUES
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,2,EXPLOIT,0.985373232561,0.985375716446,0.969358593373,0,-2.5,0,0.0072503951773,MULTIPLE_VALUES
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,3,EXPLOIT,0.978243220592,0.978244740168,0.969358628494,0,-3.75,0,0.00713001196921,MULTIPLE_VALUES
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,4,EXPLOIT,0.971232932129,0.971233524765,0.969358649873,0,-5,0,0.00701028846313,MULTIPLE_VALUES
baseline__structured_residual,baseline,structured_residual,1,EXPLOIT,0.992688286868,0.992633159696,0.969393730002,0,-1.25,0,0.00731171313167,MULTIPLE_VALUES
baseline__structured_residual,baseline,structured_residual,2,EXPLOIT,0.985506647488,0.98538744516,0.969394232569,0,-2.5,0,0.00718163938027,MULTIPLE_VALUES
baseline__structured_residual,baseline,structured_residual,3,EXPLOIT,0.97844920142,0.978262103279,0.969394948357,0,-3.75,0,0.00705744606815,MULTIPLE_VALUES
baseline__structured_residual,baseline,structured_residual,4,EXPLOIT,0.971515062695,0.971256559497,0.969395810163,0,-5,0,0.00693413872489,MULTIPLE_VALUES
baseline__combined_mild,baseline,combined_mild,1,EXPLOIT,0.991452857738,0.992953577386,0.97082479916,0,-1.25,0,0.00854714226204,MULTIPLE_VALUES
baseline__combined_mild,baseline,combined_mild,2,EXPLOIT,0.983089368843,0.986012107216,0.97082012939,0,-2.5,0,0.00836348889518,MULTIPLE_VALUES
baseline__combined_mild,baseline,combined_mild,3,EXPLOIT,0.974903154678,0.979172031446,0.970813404012,0,-3.75,0,0.00818621416522,MULTIPLE_VALUES
baseline__combined_mild,baseline,combined_mild,4,EXPLOIT,0.966892394609,0.972431987188,0.970805457359,0,-5,0,0.00801076006898,MULTIPLE_VALUES
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,1,EXPLORE,1,0.999401747968,0.968635488401,0,0,0,0,MULTIPLE_VALUES
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,2,EXPLOIT,0.992071846745,0.992076929776,0.968635488401,0,-1.25,0,0.00792815325521,DIRECT_DECISION_VALUE
