scope,subject_id,family,domain_size,feasible_count,oracle_candidate_id,oracle_beta_flex,oracle_beta_extend,oracle_share_shift,oracle_E3,oracle_selection_score,oracle_E2,oracle_peak_ratio,oracle_status,tie_equivalent_count,near_oracle_count_eps_0.0001,near_oracle_fraction_eps_0.0001,near_oracle_count_eps_0.0005,near_oracle_fraction_eps_0.0005,near_oracle_count_eps_0.001,near_oracle_fraction_eps_0.001,common_candidate_id,common_E3,common_feasible,common_selection_score,relative_common_regret
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,324,135,BETA_TIMING:288,0.12,-0.12,-0.1,0.9753692703730039,0.9753692703730039,0.996605158087275,1.0020989080904683,FEASIBLE_ORACLE,1,1,0.007407407407407408,1,0.007407407407407408,2,0.014814814814814815,BETA_TIMING:288,0.9753692703730039,True,0.9753692703730039,0.0
DEVELOPMENT,MYOLEG_VP_002,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9771056436529957,0.9771056436529957,0.9966496112576908,1.0021421819184926,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9771056436529957,True,0.9771056436529957,0.0
DEVELOPMENT,MYOLEG_VP_003,BETA_TIMING,324,141,BETA_TIMING:288,0.12,-0.12,-0.1,0.9760630891464315,0.9760630891464315,0.9967304370546904,1.0021209432525093,FEASIBLE_ORACLE,1,1,0.0070921985815602835,1,0.0070921985815602835,2,0.014184397163120567,BETA_TIMING:288,0.9760630891464315,True,0.9760630891464315,0.0
DEVELOPMENT,MYOLEG_VP_005,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9767165709639598,0.9767165709639598,0.9968137310159071,1.0021326162096016,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9767165709639598,True,0.9767165709639598,0.0
DEVELOPMENT,MYOLEG_VP_006,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9763152073121866,0.9763152073121866,0.996776702142393,1.0021234967872226,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9763152073121866,True,0.9763152073121866,0.0
DEVELOPMENT,MYOLEG_VP_007,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9767603709199502,0.9767603709199502,0.9967877782301549,1.002106715647609,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9767603709199502,True,0.9767603709199502,0.0
DEVELOPMENT,MYOLEG_VP_009,BETA_TIMING,324,141,BETA_TIMING:288,0.12,-0.12,-0.1,0.9760481252550334,0.9760481252550334,0.9966096275598428,1.0021018748145305,FEASIBLE_ORACLE,1,1,0.0070921985815602835,1,0.0070921985815602835,2,0.014184397163120567,BETA_TIMING:288,0.9760481252550334,True,0.9760481252550334,0.0
DEVELOPMENT,MYOLEG_VP_010,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9769521541639778,0.9769521541639778,0.9967125102887303,1.0021387473990941,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9769521541639778,True,0.9769521541639778,0.0
DEVELOPMENT,MYOLEG_VP_011,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.976668983955339,0.976668983955339,0.9968649527439642,1.0021161296017853,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.976668983955339,True,0.976668983955339,0.0
DEVELOPMENT,MYOLEG_VP_013,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9767564033802829,0.9767564033802829,0.9966296074430946,1.0021264624304784,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9767564033802829,True,0.9767564033802829,0.0
DEVELOPMENT,MYOLEG_VP_014,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9765120195105848,0.9765120195105848,0.9965727044293634,1.0021205920416767,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9765120195105848,True,0.9765120195105848,0.0
DEVELOPMENT,MYOLEG_VP_015,BETA_TIMING,324,135,BETA_TIMING:288,0.12,-0.12,-0.1,0.9756046013824271,0.9756046013824271,0.9967898199416422,1.0021363453150578,FEASIBLE_ORACLE,1,1,0.007407407407407408,1,0.007407407407407408,2,0.014814814814814815,BETA_TIMING:288,0.9756046013824271,True,0.9756046013824271,0.0
DEVELOPMENT,MYOLEG_VP_017,BETA_TIMING,324,141,BETA_TIMING:288,0.12,-0.12,-0.1,0.9760183454578251,0.9760183454578251,0.9967420827811525,1.0021086228573561,FEASIBLE_ORACLE,1,1,0.0070921985815602835,1,0.0070921985815602835,2,0.014184397163120567,BETA_TIMING:288,0.9760183454578251,True,0.9760183454578251,0.0
DEVELOPMENT,MYOLEG_VP_018,BETA_TIMING,324,141,BETA_TIMING:288,0.12,-0.12,-0.1,0.9758710972311491,0.9758710972311491,0.9966502110016082,1.002127388029562,FEASIBLE_ORACLE,1,1,0.0070921985815602835,1,0.0070921985815602835,2,0.014184397163120567,BETA_TIMING:288,0.9758710972311491,True,0.9758710972311491,0.0
DEVELOPMENT,MYOLEG_VP_019,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9765870332190938,0.9765870332190938,0.9966541191720744,1.0021262859806153,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9765870332190938,True,0.9765870332190938,0.0
DEVELOPMENT,MYOLEG_VP_021,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9773486098887598,0.9773486098887598,0.9967836445484362,1.0021345976625577,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9773486098887598,True,0.9773486098887598,0.0
DEVELOPMENT,MYOLEG_VP_022,BETA_TIMING,324,141,BETA_TIMING:288,0.12,-0.12,-0.1,0.976017403696609,0.976017403696609,0.9965715487590134,1.0021258881685944,FEASIBLE_ORACLE,1,1,0.0070921985815602835,1,0.0070921985815602835,2,0.014184397163120567,BETA_TIMING:288,0.976017403696609,True,0.976017403696609,0.0
DEVELOPMENT,MYOLEG_VP_023,BETA_TIMING,324,141,BETA_TIMING:288,0.12,-0.12,-0.1,0.9759508326438635,0.9759508326438635,0.9964986685176549,1.002121901069911,FEASIBLE_ORACLE,1,1,0.0070921985815602835,1,0.0070921985815602835,2,0.014184397163120567,BETA_TIMING:288,0.9759508326438635,True,0.9759508326438635,0.0
DEVELOPMENT,MYOLEG_VP_025,BETA_TIMING,324,135,BETA_TIMING:288,0.12,-0.12,-0.1,0.9754663957915171,0.9754663957915171,0.9965516571392026,1.0021050349122285,FEASIBLE_ORACLE,1,1,0.007407407407407408,1,0.007407407407407408,2,0.014814814814814815,BETA_TIMING:288,0.9754663957915171,True,0.9754663957915171,0.0
DEVELOPMENT,MYOLEG_VP_026,BETA_TIMING,324,131,BETA_TIMING:288,0.12,-0.12,-0.1,0.9751312303514543,0.9751312303514543,0.9964110319357189,1.0021113552423828,FEASIBLE_ORACLE,1,1,0.007633587786259542,1,0.007633587786259542,2,0.015267175572519083,BETA_TIMING:288,0.9751312303514543,True,0.9751312303514543,0.0
DEVELOPMENT,MYOLEG_VP_027,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.977257000483249,0.977257000483249,0.9967773265471765,1.0021364416971201,FEASIBLE_ORACLE,1,1,0.006944444444444444,2,0.013888888888888888,2,0.013888888888888888,BETA_TIMING:288,0.977257000483249,True,0.977257000483249,0.0
DEVELOPMENT,MYOLEG_VP_029,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9763514001336661,0.9763514001336661,0.9967791714232827,1.002147695560691,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9763514001336661,True,0.9763514001336661,0.0
DEVELOPMENT,MYOLEG_VP_030,BETA_TIMING,324,135,BETA_TIMING:288,0.12,-0.12,-0.1,0.9753929855506016,0.9753929855506016,0.9964337641091128,1.0021066965196006,FEASIBLE_ORACLE,1,1,0.007407407407407408,1,0.007407407407407408,2,0.014814814814814815,BETA_TIMING:288,0.9753929855506016,True,0.9753929855506016,0.0
DEVELOPMENT,MYOLEG_VP_031,BETA_TIMING,324,144,BETA_TIMING:288,0.12,-0.12,-0.1,0.9762476581102073,0.9762476581102073,0.9966200817325234,1.0021174804307338,FEASIBLE_ORACLE,1,1,0.006944444444444444,1,0.006944444444444444,2,0.013888888888888888,BETA_TIMING:288,0.9762476581102073,True,0.9762476581102073,0.0
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,387,135,KEY_POSTURE_TIMING:383,0.12,0.12,-0.1,0.9694288954984164,0.9694288954984164,0.9955048839882319,1.0021482497680982,FEASIBLE_ORACLE,1,1,0.007407407407407408,1,0.007407407407407408,2,0.014814814814814815,KEY_POSTURE_TIMING:383,0.9694288954984164,True,0.9694288954984164,0.0
DEVELOPMENT,MYOLEG_VP_002,KEY_POSTURE_TIMING,387,141,KEY_POSTURE_TIMING:383,0.12,0.12,-0.1,0.9712195166169009,0.9712195166169009,0.9953555534871622,1.0021949625658901,FEASIBLE_ORACLE,1,1,0.0070921985815602835,1,0.0070921985815602835,2,0.014184397163120567,KEY_POSTURE_TIMING:383,0.9712195166169009,True,0.9712195166169009,0.0
DEVELOPMENT,MYOLEG_VP_003,KEY_POSTURE_TIMING,387,135,KEY_POSTURE_TIMING:383,0.12,0.12,-0.1,0.9700454236545675,0.9700454236545675,0.995588120561081,1.00216978304746,FEASIBLE_ORACLE,1,1,0.007407407407407408,1,0.007407407407407408,2,0.014814814814814815,KEY_POSTURE_TIMING:383,0.9700454236545675,True,0.9700454236545675,0.0
