scope,family,method,budget,runs,subject_count,mean_exploration_regret_pct,median_exploration_regret_pct,mean_recommendation_regret_pct,median_recommendation_regret_pct,pool_full_oracle_capture_rate,pool_near_oracle_capture_rate,recommendation_feasible_rate,no_feasible_pool_rate,mean_executed_count,mean_domain_coverage_fraction
DEVELOPMENT,KEY_POSTURE_TIMING,PHYSICS_GREEDY,1,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,PHYSICS_GREEDY,2,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.00516795865633075
DEVELOPMENT,KEY_POSTURE_TIMING,PHYSICS_GREEDY,4,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0103359173126615
DEVELOPMENT,KEY_POSTURE_TIMING,PHYSICS_GREEDY,8,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,0.020671834625323
DEVELOPMENT,KEY_POSTURE_TIMING,PURE_BO_EI,1,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,PURE_BO_EI,2,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,2.0,0.00516795865633075
DEVELOPMENT,KEY_POSTURE_TIMING,PURE_BO_EI,4,24,24,2.089931446970215,2.092616984184879,2.089931446970215,2.092616984184879,0.0,0.0,1.0,0.0,4.0,0.0103359173126615
DEVELOPMENT,KEY_POSTURE_TIMING,PURE_BO_EI,8,24,24,0.29934721465972625,0.45688861512201684,0.29934721465972625,0.45688861512201684,0.0,0.4583333333333333,1.0,0.0,8.0,0.020671834625323
DEVELOPMENT,KEY_POSTURE_TIMING,RANDOM,1,120,24,3.063511999717874,3.0664088181764413,3.063511999717874,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,RANDOM,2,120,24,2.444215551641786,2.426124569297408,2.444215551641786,2.426124569297408,0.0,0.0,1.0,0.0,2.0,0.00516795865633075
DEVELOPMENT,KEY_POSTURE_TIMING,RANDOM,4,120,24,1.6894143572038947,1.6925903531682671,1.6894143572038947,1.6925903531682671,0.0,0.0,1.0,0.0,4.0,0.0103359173126615
DEVELOPMENT,KEY_POSTURE_TIMING,RANDOM,8,120,24,1.201433627706209,0.9514127852367911,1.201433627706209,0.9514127852367911,0.0,0.0,1.0,0.0,8.0,0.020671834625323
DEVELOPMENT,KEY_POSTURE_TIMING,REFERENCE,1,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,REFERENCE,2,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,REFERENCE,4,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,REFERENCE,8,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,1,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,2,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.00516795865633075
DEVELOPMENT,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,4,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0103359173126615
DEVELOPMENT,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,8,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,0.020671834625323
DEVELOPMENT,KEY_POSTURE_TIMING,SPACE_FILLING,1,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,1.0,0.002583979328165375
DEVELOPMENT,KEY_POSTURE_TIMING,SPACE_FILLING,2,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,2.0,0.00516795865633075
DEVELOPMENT,KEY_POSTURE_TIMING,SPACE_FILLING,4,24,24,3.0635119997178735,3.0664088181764413,3.0635119997178735,3.0664088181764413,0.0,0.0,1.0,0.0,4.0,0.0103359173126615
DEVELOPMENT,KEY_POSTURE_TIMING,SPACE_FILLING,8,24,24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,0.020671834625323
