scope,subject_id,family,method,seed,budget,status,executed_count,domain_size,coverage_fraction,recommendation_id,recommendation_E3,recommendation_feasible,full_oracle_id,full_oracle_E3,recommendation_selection_score,pool_oracle_id,pool_oracle_E3,pool_has_full_oracle,pool_has_near_oracle,exploration_regret_relative_pct,recommendation_regret_relative_pct,distance_to_full_oracle,no_feasible_candidate_in_pool
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,1,8,complete,8,324,0.024691358024691357,BETA_TIMING:266,0.9898175525145589,True,BETA_TIMING:288,0.9753692703730039,0.9898175525145589,BETA_TIMING:266,0.9898175525145589,False,False,1.4813140602665968,1.4813140602665968,0.3679900360969936,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,2,1,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,2,2,complete,2,324,0.006172839506172839,BETA_TIMING:271,0.9932773889596815,True,BETA_TIMING:288,0.9753692703730039,0.9932773889596815,BETA_TIMING:271,0.9932773889596815,False,False,1.8360347337813034,1.8360347337813034,0.414578098794425,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,2,4,complete,4,324,0.012345679012345678,BETA_TIMING:271,0.9932773889596815,True,BETA_TIMING:288,0.9753692703730039,0.9932773889596815,BETA_TIMING:271,0.9932773889596815,False,False,1.8360347337813034,1.8360347337813034,0.414578098794425,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,2,8,complete,8,324,0.024691358024691357,BETA_TIMING:263,0.9877858631060229,True,BETA_TIMING:288,0.9753692703730039,0.9877858631060229,BETA_TIMING:263,0.9877858631060229,False,False,1.2730145505066597,1.2730145505066597,0.5994789404140899,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,3,1,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,3,2,complete,2,324,0.006172839506172839,BETA_TIMING:263,0.9877858631060229,True,BETA_TIMING:288,0.9753692703730039,0.9877858631060229,BETA_TIMING:263,0.9877858631060229,False,False,1.2730145505066597,1.2730145505066597,0.5994789404140899,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,3,4,complete,4,324,0.012345679012345678,BETA_TIMING:263,0.9877858631060229,True,BETA_TIMING:288,0.9753692703730039,0.9877858631060229,BETA_TIMING:263,0.9877858631060229,False,False,1.2730145505066597,1.2730145505066597,0.5994789404140899,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,3,8,complete,8,324,0.024691358024691357,BETA_TIMING:259,0.9849942718321725,True,BETA_TIMING:288,0.9753692703730039,0.9849942718321725,BETA_TIMING:259,0.9849942718321725,False,False,0.986805895113728,0.986805895113728,0.1613743060919757,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,4,1,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,4,2,complete,2,324,0.006172839506172839,BETA_TIMING:235,0.9954081957576442,True,BETA_TIMING:288,0.9753692703730039,0.9954081957576442,BETA_TIMING:235,0.9954081957576442,False,False,2.054496280878,2.054496280878,0.4330127018922193,False
