authorization_id,semantic_id,semantic_rule,iteration,coordinate,direction,bundle_length,start_trajectory_id,first_step_trajectory_id,endpoint_trajectory_id,start_alpha_hip,start_alpha_knee,start_alpha_phase,first_step_alpha_hip,first_step_alpha_knee,first_step_alpha_phase,endpoint_alpha_hip,endpoint_alpha_knee,endpoint_alpha_phase,predicted_cumulative_delta_J,predicted_endpoint_improvement,calibrated_uncertainty,meaningful_improvement_tolerance,magnitude_gate_pass,direction_gate_pass,magnitude_margin,direction_margin,additive_margin,semantic_selection_margin,path_exists,all_intermediate_nodes_admissible,all_nodes_model_supported,patient_envelope_compliant,reference_provenance_valid,bundle_evidence_authorizes_next_step,selected_authorization,authorized_execution_count,queued_later_steps,authorization_lifetime,authorization_invalidated_after_execution,truth_used_for_authorization,case_id,subject_id,scenario_name,start_J_truth_posthoc,endpoint_J_truth_posthoc,truth_cumulative_delta_J_posthoc,truth_bundle_meaningful_improvement,bundle_endpoint_false_improvement,posthoc_truth_fed_back_to_policy
semantic_bundle_3613380440a6919433597516,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,1,knee,POSITIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.250_p+0.00000,asym_h+0.000_k+0.750_p+0.00000,0,0,0,0,0.25,0,0,0.75,0,0.00448136400751,-0.00448136400751,0.00244544326845,0.005,False,False,-0.00948136400751,-0.00692680727596,-0.011926807276,-0.011926807276,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00448136401,0.00448136400746,False,False,False
semantic_bundle_2899a21597f3ea924a20e4b9,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,1,knee,POSITIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.250_p+0.00000,asym_h+0.000_k+1.250_p+0.00000,0,0,0,0,0.25,0,0,1.25,0,0.00749354706133,-0.00749354706133,0.00400496043747,0.005,False,False,-0.0124935470613,-0.0114985074988,-0.0164985074988,-0.0164985074988,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00749354706,0.00749354706123,False,False,False
semantic_bundle_e3ef84f17046cb43a5ec4d81,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,1,phase,NEGATIVE,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.00250,asym_h+0.000_k+0.000_p-0.00500,0,0,0,0,0,-0.0025,0,0,-0.005,4.80682563919e-05,-4.80682563919e-05,0.00164217053717,0.005,False,False,-0.00504806825639,-0.00169023879356,-0.00669023879356,-0.00669023879356,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00004806826,4.80682563802e-05,False,False,False
semantic_bundle_ea8f72c53dfc88453a1f14ca,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,1,phase,NEGATIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.00250,asym_h+0.000_k+0.000_p-0.00750,0,0,0,0,0,-0.0025,0,0,-0.0075,7.34552709676e-05,-7.34552709676e-05,0.00244544326845,0.005,False,False,-0.00507345527097,-0.00251889853942,-0.00751889853942,-0.00751889853942,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00007345527,7.34552709496e-05,False,False,False
semantic_bundle_91864b7cd4ce791d671c18d6,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,1,phase,NEGATIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.00250,asym_h+0.000_k+0.000_p-0.01250,0,0,0,0,0,-0.0025,0,0,-0.0125,0.000126565989707,-0.000126565989707,0.00400496043747,0.005,False,False,-0.00512656598971,-0.00413152642718,-0.00913152642718,-0.00913152642718,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00012656599,0.000126565989677,False,False,False
semantic_bundle_7264e2416ab847cf4d60f52a,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,1,phase,POSITIVE,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00250,asym_h+0.000_k+0.000_p+0.00500,0,0,0,0,0,0.0025,0,0,0.005,-4.55288041314e-05,4.55288041314e-05,0.00164217053717,0.005,False,False,-0.00495447119587,-0.00159664173304,-0.00659664173304,-0.00659664173304,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.999954471196,-4.55288041202e-05,False,False,False
semantic_bundle_0ec4ffa214b5081a84a750d5,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,1,phase,POSITIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00250,asym_h+0.000_k+0.000_p+0.00750,0,0,0,0,0,0.0025,0,0,0.0075,-6.68993619088e-05,6.68993619088e-05,0.00244544326845,0.005,False,False,-0.00493310063809,-0.00237854390654,-0.00737854390654,-0.00737854390654,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.999933100638,-6.68993618921e-05,False,False,False
semantic_bundle_4735df0f4dcc87f49f404df4,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,1,phase,POSITIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00250,asym_h+0.000_k+0.000_p+0.01250,0,0,0,0,0,0.0025,0,0,0.0125,-0.00010715262485,0.00010715262485,0.00400496043747,0.005,False,False,-0.00489284737515,-0.00389780781262,-0.00889780781262,-0.00889780781262,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.999892847375,-0.000107152624822,False,False,False
semantic_bundle_e25943213145fabd45f47a08,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,hip,NEGATIVE,2,asym_h+0.000_k-5.000_p+0.00000,asym_h-0.250_k-5.000_p+0.00000,asym_h-0.500_k-5.000_p+0.00000,0,-5,0,-0.25,-5,0,-0.5,-5,0,0.000904145892747,-0.000904145892747,0.00164217053717,0.005,False,False,-0.00590414589275,-0.00254631642992,-0.00754631642992,-0.00754631642992,True,True,True,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.972137688516,0.000904145892702,False,False,False
semantic_bundle_a5d1cd4286d70d2488a63731,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,hip,NEGATIVE,3,asym_h+0.000_k-5.000_p+0.00000,asym_h-0.250_k-5.000_p+0.00000,asym_h-0.750_k-5.000_p+0.00000,0,-5,0,-0.25,-5,0,-0.75,-5,0,0.0013633259811,-0.0013633259811,0.00244544326845,0.005,False,False,-0.0063633259811,-0.00380876924955,-0.00880876924955,-0.00880876924955,True,True,True,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.972596868605,0.00136332598103,False,False,False
