path_id,case_id,coordinate,direction,semantic_id,single_step_predicted_improvement,single_step_magnitude_gate_pass,bundle_available,authorized_bundle_length,authorized_predicted_delta_J,authorized_truth_delta_J_posthoc,calibrated_uncertainty,magnitude_margin,direction_margin,additive_margin,recovered_small_step_path,truth_used_for_authorization,truth_attached_posthoc_only
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,0.00134920883701,False,False,,,,,,,,False,False,True
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,0.00134920883701,False,False,,,,,,,,False,False,True
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,S3_BUNDLE_ENDPOINT_TWO_GATE,0.00134920883701,False,True,5,-0.00670816217832,-0.00670816217832,0.00400496043747,0.00170816217832,0.00270320174085,-0.00229679825915,True,False,True
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,S0_CURRENT_ADDITIVE_MARGIN,0.0011478334572,False,True,,,,,,,,False,False,True
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,0.0011478334572,False,False,,,,,,,,False,False,True
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,0.0011478334572,False,False,,,,,,,,False,False,True
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,S3_BUNDLE_ENDPOINT_TWO_GATE,0.0011478334572,False,True,5,-0.00571759915175,-0.0113573784518,0.00400496043747,0.00071759915175,0.00171263871428,-0.00328736128572,True,False,True
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,S0_CURRENT_ADDITIVE_MARGIN,0.0011478334572,False,True,,,,,,,,False,False,True
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,0.0011478334572,False,False,,,,,,,,False,False,True
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,0.0011478334572,False,False,,,,,,,,False,False,True
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,S3_BUNDLE_ENDPOINT_TWO_GATE,0.0011478334572,False,True,5,-0.00571759915175,-0.0113573784518,0.00400496043747,0.00071759915175,0.00171263871428,-0.00328736128572,True,False,True
