path,size_bytes,tracked,ignored,producer,consumer_tests,consumer_scripts,sha256_if_present,regenerable,deterministic,required_for_normal_pytest,required_for_formal_reproduction
lower_limb_sim/data/delay_compensation/hip_stiff/delay_008ms/compensated_dataset.csv,8599726,false,true,lower_limb_sim.run_delay_compensation_experiment,,,e275ce118de6ef784219fc4995d7636009a3f89f8b8565e48be1eabf57a21ef9,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/hip_stiff/delay_016ms/compensated_dataset.csv,8587005,false,true,lower_limb_sim.run_delay_compensation_experiment,,,08abd31f0cb96b1c6fb570c5979611178dc7e0e77ee1ed709e017cad4db31c32,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/hip_stiff/delay_024ms/compensated_dataset.csv,8588464,false,true,lower_limb_sim.run_delay_compensation_experiment,,,2d537aed0dd0fa0e58916b958de6a89878b8ff774164fa3cd55813f671c1e65d,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/hip_stiff/delay_032ms/compensated_dataset.csv,8570703,false,true,lower_limb_sim.run_delay_compensation_experiment,,,c9bf5578432b54ba55219b5b411a3f52320bbb21a6e3ecaf0a351b9395b30db8,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/hip_stiff/delay_040ms/compensated_dataset.csv,8358990,false,true,lower_limb_sim.run_delay_compensation_experiment,,,d20be3740f7204665af63a465886662eab15690aae6e8f8078e4a3712381a265,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/knee_stiff/delay_000ms/compensated_dataset.csv,8119708,false,true,lower_limb_sim.run_delay_compensation_experiment,,,26bcc4f0552043bb305e3355924f7b67146b94d701ad5819199cbb069a55a1f7,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/knee_stiff/delay_008ms/compensated_dataset.csv,8615239,false,true,lower_limb_sim.run_delay_compensation_experiment,,,9b1886723c8f79e7a8ce949176a46824c1a520ef0b4d3a7627cc11ec176653e2,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/knee_stiff/delay_016ms/compensated_dataset.csv,8602632,false,true,lower_limb_sim.run_delay_compensation_experiment,,,f33aaa8a092b86f3ba9729f543d4b8ddf51cc144718acf688f8170b26ecb0d50,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/knee_stiff/delay_024ms/compensated_dataset.csv,8604032,false,true,lower_limb_sim.run_delay_compensation_experiment,,,e0ebf1e2cb869f3792f44f40b88876aa9a37c2a1d2a84895b3d61b2ed86397cc,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/knee_stiff/delay_032ms/compensated_dataset.csv,8586148,false,true,lower_limb_sim.run_delay_compensation_experiment,,,3a9a8482640524f653c6359c0a3bdc3664f2caa2226964b9196f11b3439bf070,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/delay_compensation/knee_stiff/delay_040ms/compensated_dataset.csv,8374678,false,true,lower_limb_sim.run_delay_compensation_experiment,,,55e5f2305e4ae77917ffdd522a68c560f0172098eaf4186b36c0cc470d166242,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/dynamic_trajectories/baseline/slow/trajectory.csv,1598902,false,true,UNKNOWN_OUTSIDE_P2_CHECKPOINT_SCOPE,,,da7457ff873353bddb617efb9cb6b34f87822931102a89e1b9e69cdd8a8f6ac2,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/dynamic_trajectories/heavy_leg/slow/trajectory.csv,1603002,false,true,UNKNOWN_OUTSIDE_P2_CHECKPOINT_SCOPE,,,c6e1a98698ccf6cf55040861e1b0d802a30ae61b698d6be953e92aa8ecc6e366,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/dynamic_trajectories/hip_stiff/slow/trajectory.csv,1603301,false,true,UNKNOWN_OUTSIDE_P2_CHECKPOINT_SCOPE,,,1b7d9f1555c0b14b47b961e2cbe0d66cfda3d93eac0089ea074e0f41413cb0b0,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/dynamic_trajectories/knee_stiff/slow/trajectory.csv,1605494,false,true,UNKNOWN_OUTSIDE_P2_CHECKPOINT_SCOPE,,,fb751f6b3ad97d0ec71d66893f2a362d432e1a08414bcf7d311293cb90b56f3a,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/force_maps/force_map_baseline.csv,4736198,false,true,UNKNOWN_OUTSIDE_P2_CHECKPOINT_SCOPE,,,efd8a44ef8deb0cd8800d503ddfaf1aef714c1ed347471897c287c1ec1ab3099,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/force_maps/force_map_heavy_leg.csv,4743704,false,true,UNKNOWN_OUTSIDE_P2_CHECKPOINT_SCOPE,,,60c0f198635190145a61793f0e639135a82ea1b3b1991b7d5b0c869c2de1024b,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/force_maps/force_map_hip_stiff.csv,4745217,false,true,UNKNOWN_OUTSIDE_P2_CHECKPOINT_SCOPE,,,364aa64deeee8a0eeee75eec4d631fb9144e68cc7afbe2194a153bb9eab8b87e,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/force_maps/force_map_knee_stiff.csv,4759331,false,true,UNKNOWN_OUTSIDE_P2_CHECKPOINT_SCOPE,,,a63a95e7f249292516f20fb23fb58ae710fa8657f33bf294d69ce6d60d0be40b,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
