subject_id,split,boundary_side,hip_deg,knee_deg,knee_velocity_deg_s,required_knee_drive_nm,subject_reference_knee_rms_nm,joint_limit_knee_contribution_nm,absolute_joint_limit_knee_contribution_nm,relative_joint_limit_contribution,joint_limit_active_count,contact_active_count,source_equality_residual_max,solver_warning_count,finite,artifact_gate_pass
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,0.25,-1.0,-2.3102109795125986e-13,11.075814287716018,-0.0009131233515454099,0.0009131233515454099,8.244299947843458e-05,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,0.25,0.0,-2.1804430312870344e-13,11.075814287716018,-0.0009415302884648542,0.0009415302884648542,8.500777134816067e-05,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,0.25,1.0,-2.2571520380406758e-13,11.075814287716018,-0.0009699371151905561,0.0009699371151905561,8.757253326884467e-05,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,0.25,-1.0,-8.26214503927391e-14,11.075814287716018,-0.0014220213495862496,0.0014220213495862496,0.00012838977908499128,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,0.25,0.0,-8.525438840165725e-14,11.075814287716018,-0.0014504321734928837,0.0014504321734928837,0.00013095490189841223,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,0.25,1.0,-6.742000889868115e-14,11.075814287716018,-0.0014788428951117655,0.0014788428951117655,0.00013352001547659777,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,0.25,-1.0,7.204806012436158e-14,11.075814287716018,-0.003014106905462615,0.003014106905462615,0.0002721341137694504,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,0.25,0.0,5.5793014545874424e-14,11.075814287716018,-0.003042520016047493,0.003042520016047493,0.00027469944303976784,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,0.25,1.0,7.202122759958271e-14,11.075814287716018,-0.0030709330938385915,0.0030709330938385915,0.00027726476934923937,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,0.25,-1.0,1.1267853368603707e-12,11.075814287716018,-0.004671924696571794,0.004671924696571794,0.00042181320264220574,1,0,1.1384122811097797e-18,0,True,True
