case_id,subject_id,scenario_name,iteration,best_alpha_hip,best_alpha_knee,best_alpha_phase,best_actual_J,best_changed_this_iteration,consecutive_trials_without_best_change,six_trial_best_equals_extended_final_best,extended_natural_stop_reason
heavy_leg__matched_linear,heavy_leg,matched_linear,0,0,0,0,1,False,,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,1,0,0,0,1,False,1,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,2,0,-1,0,0.993329429486,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,3,0,-2,0,0.986776387938,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,4,0,-3,0,0.980334524906,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,5,0,-4,0,0.974003269453,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,6,0,-5,0,0.967782002335,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,7,0,-5,0,0.967782002335,False,1,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,8,0,-5,0,0.967782002335,False,2,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,9,0,-5,0,0.967782002335,False,3,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,10,0,-5,0,0.967782002335,False,4,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,11,0,-5,0,0.967782002335,False,5,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,12,0,-5,0,0.967782002335,False,6,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
heavy_leg__matched_linear,heavy_leg,matched_linear,13,0,-5,0,0.967782002335,False,7,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,0,0,0,0,1,False,,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,0,0,0,0,1,False,,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,0,0,0,0,1,False,,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,1,0,-1,0,0.994088206232,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,2,0,-2,0,0.988258909883,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,3,0,-3,0,0.982506817284,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,4,0,-4,0,0.976831607263,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,5,0,-5,0,0.971232932129,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__structured_residual,baseline,structured_residual,0,0,0,0,1,False,,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__combined_mild,baseline,combined_mild,0,0,0,0,1,False,,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
