case_id,subject_id,scenario_name,offline_research_budget,budget_status,executed_trials,EXPLORE_count,EXPLOIT_count,final_best_J,final_alpha_hip,final_alpha_knee,final_alpha_phase,cumulative_regret,natural_stop_observed_within_horizon,stop_reason,human_trial_recommendation
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,3,0,3,0.982506817284,0,-3,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_3,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,5,0,5,0.971232932129,0,-5,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,5,0,5,0.971232932129,0,-5,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,5,0,5,0.971232932129,0,-5,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__structured_residual,baseline,structured_residual,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__structured_residual,baseline,structured_residual,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__structured_residual,baseline,structured_residual,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__structured_residual,baseline,structured_residual,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__combined_mild,baseline,combined_mild,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__combined_mild,baseline,combined_mild,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__combined_mild,baseline,combined_mild,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__combined_mild,baseline,combined_mild,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
