case_id,subject_id,scenario_name,policy_id,iteration,executed_trial_count_this_iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,decision_uncertainty_bound,improvement_margin,model_supported,domain_coverage,distance_to_supported_region,distance_role,accepted_improvement,executed_false_improvement,execution_status,valid_data_added_to_model_update,model_updates_this_iteration,model_reliability_status_after_iteration,truth_accessed_before_selection,cumulative_regret_vs_best_before,stop_reason_after_iteration,distance_to_hip_lower_bound,distance_to_hip_upper_bound,distance_to_knee_lower_bound,distance_to_knee_upper_bound,distance_to_phase_lower_bound,distance_to_phase_upper_bound,distance_to_parameter_bounds_formal_steps,on_generator_parameter_boundary,distance_to_joint_corridor_boundary_deg,distance_to_pull_corridor_boundary_mm,on_joint_corridor_boundary,on_pull_corridor_boundary,outside_joint_corridor,outside_pull_corridor,J_actual,exploit_monotonic_march_toward_boundary,final_best_on_generator_boundary,final_best_on_joint_corridor_boundary,final_best_on_pull_corridor_boundary,final_optimum_diagnostic_status,boundary_is_error_claim
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,1,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,-5,0,0,-5,0,0.997134047546,0.997133666081,0.971228759614,0.971228759614,0.0259005049223,0.0259049064666,WORSE,WORSE,1.7386980744e-11,-0.0309005049397,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.13424514836,,6.5,0.5,5,2,0.03,0.03,2,False,-1.5,-8.63224360542,True,True,True,True,0.997133666081,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,1,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,-5,0,0,-5,0,0.996668484144,0.996668102718,0.971228759614,0.971228759614,0.025434941521,0.0254393431044,WORSE,WORSE,1.7386980744e-11,-0.0304349415384,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.159684491465,,6.75,0.25,5,2,0.03,0.03,1,False,-1.75,-10.1323693705,True,True,True,True,0.996668102718,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,1,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.996206194737,0.996205813345,0.971228759614,0.971228759614,0.0249726521134,0.0249770537307,WORSE,WORSE,1.7386980744e-11,-0.0299726521308,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.184661545196,,7,0,5,2,0.03,0.03,0,True,-2,-11.6362071706,True,True,True,True,0.996205813345,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999931323653,0.999930463492,1,1,-6.86763465457e-05,-6.95365076068e-05,NEUTRAL,NEUTRAL,2.53130849615e-14,-0.00493132365348,False,78.0548628429,5.83095189485,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5.25,1.75,5,2,0.03,0.03,7,False,-0.25,-1.19321590839,True,True,True,True,0.999930463492,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.994058475268,0.994055761441,1,0.994055761441,-0.00594152473249,-0.00594423855895,IMPROVE,IMPROVE,2.53130849615e-14,0.000941524732465,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,4,3,0.03,0.03,8,False,-1.27222187259e-14,4.04036248902e-08,True,True,False,False,0.994055761441,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.988196345988,0.988193617024,0.994055761441,0.988193617024,-0.00586212927914,-0.00586214441739,IMPROVE,IMPROVE,2.53130849615e-14,0.000862129279117,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,3,4,0.03,0.03,8,False,-1.27222187259e-14,3.51607631899e-08,True,True,False,False,0.988193617024,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.982412509681,0.982409765163,0.988193617024,0.982409765163,-0.00578383630714,-0.00578385186107,IMPROVE,IMPROVE,2.53130849615e-14,0.000783836307116,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,2,5,0.03,0.03,8,False,-1.27222187259e-14,2.92237345434e-08,True,True,False,False,0.982409765163,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.976706693252,0.976703932761,0.982409765163,0.976703932761,-0.00570581642967,-0.00570583240124,IMPROVE,IMPROVE,2.53130849615e-14,0.000705816429643,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,1,6,0.03,0.03,4,False,-1.27222187259e-14,1.66358038456e-08,True,True,False,False,0.976703932761,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.971078595998,0.971075819116,0.976703932761,0.971075819116,-0.00562809725397,-0.00562811364489,IMPROVE,IMPROVE,2.53130849615e-14,0.000628097253945,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,0,7,0.03,0.03,0,True,-1.27222187259e-14,-5.55111512313e-14,True,True,False,False,0.971075819116,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,1,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.999868293195,0.999867433694,0.971075819116,0.971075819116,0.0287896971976,0.0287916145779,WORSE,WORSE,2.53130849615e-14,-0.0337896971976,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.0287916145779,,5.5,1.5,5,2,0.03,0.03,6,False,-0.5,-2.66865353592,True,True,True,True,0.999867433694,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
