case_id,subject_id,scenario_name,policy_id,iteration,executed_trial_count_this_iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,decision_uncertainty_bound,improvement_margin,model_supported,domain_coverage,distance_to_supported_region,distance_role,accepted_improvement,executed_false_improvement,execution_status,valid_data_added_to_model_update,model_updates_this_iteration,model_reliability_status_after_iteration,truth_accessed_before_selection,cumulative_regret_vs_best_before,stop_reason_after_iteration,distance_to_hip_lower_bound,distance_to_hip_upper_bound,distance_to_knee_lower_bound,distance_to_knee_upper_bound,distance_to_phase_lower_bound,distance_to_phase_upper_bound,distance_to_parameter_bounds_formal_steps,on_generator_parameter_boundary,distance_to_joint_corridor_boundary_deg,distance_to_pull_corridor_boundary_mm,on_joint_corridor_boundary,on_pull_corridor_boundary,outside_joint_corridor,outside_pull_corridor,J_actual,exploit_monotonic_march_toward_boundary,final_best_on_generator_boundary,final_best_on_joint_corridor_boundary,final_best_on_pull_corridor_boundary,final_optimum_diagnostic_status,boundary_is_error_claim
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,0,0,0,0,0,0.998152038596,0.998152595928,1,1,-0.00184796140393,-0.00184740407181,NEUTRAL,NEUTRAL,0,-0.00315203859607,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,6.25,0.75,5,2,0.03,0.03,3,False,-1.25,-7.13548657239,True,True,True,True,0.998152595928,False,False,True,True,INTERIOR_BEST_DIAGNOSTIC,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,1,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,0,0,0,0,0,0.997787629327,0.997788186528,1,1,-0.00221237067269,-0.00221181347173,NEUTRAL,NEUTRAL,0,-0.00278762932731,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,6.5,0.5,5,2,0.03,0.03,2,False,-1.5,-8.63224360542,True,True,True,True,0.997788186528,False,False,True,True,INTERIOR_BEST_DIAGNOSTIC,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,1,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,0,0,0,0,0,0.997424645141,0.997425202209,1,1,-0.00257535485861,-0.00257479779137,NEUTRAL,NEUTRAL,0,-0.00242464514139,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,6.75,0.25,5,2,0.03,0.03,1,False,-1.75,-10.1323693705,True,True,True,True,0.997425202209,False,False,True,True,INTERIOR_BEST_DIAGNOSTIC,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,1,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,0,0,0,0,0,0.997063097918,0.997063654849,1,1,-0.0029369020822,-0.00293634515125,NEUTRAL,NEUTRAL,0,-0.0020630979178,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,7,0,5,2,0.03,0.03,0,True,-2,-11.6362071706,True,True,True,True,0.997063654849,False,False,True,True,INTERIOR_BEST_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999348273538,0.99934768035,1,1,-0.000651726461822,-0.00065231965009,NEUTRAL,NEUTRAL,1.7763568394e-15,-0.00434827353818,False,78.0548628429,5.83095189485,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5.25,1.75,5,2,0.03,0.03,7,False,-0.25,-1.19321590839,True,True,True,True,0.99934768035,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.993334710259,0.993329429486,1,0.993329429486,-0.00666528974099,-0.00667057051426,IMPROVE,IMPROVE,1.7763568394e-15,0.00166528974099,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,4,3,0.03,0.03,8,False,-1.27222187259e-14,4.04036248902e-08,True,True,False,False,0.993329429486,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.986781706663,0.986776387938,0.993329429486,0.986776387938,-0.00655300359635,-0.00655304154774,IMPROVE,IMPROVE,1.7763568394e-15,0.00155300359635,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,3,4,0.03,0.03,8,False,-1.27222187259e-14,3.51607631899e-08,True,True,False,False,0.986776387938,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.980339882189,0.980334524906,0.986776387938,0.980334524906,-0.00644182447333,-0.00644186303234,IMPROVE,IMPROVE,1.7763568394e-15,0.00144182447333,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,2,5,0.03,0.03,8,False,-1.27222187259e-14,2.92237345434e-08,True,True,False,False,0.980334524906,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.974008665898,0.974003269453,0.980334524906,0.974003269453,-0.00633121629165,-0.00633125545255,IMPROVE,IMPROVE,1.7763568394e-15,0.00133121629164,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,1,6,0.03,0.03,4,False,-1.27222187259e-14,1.66358038456e-08,True,True,False,False,0.974003269453,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.967787438536,0.967782002335,0.974003269453,0.967782002335,-0.00622122736161,-0.00622126711817,IMPROVE,IMPROVE,1.7763568394e-15,0.0012212273616,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,0,7,0.03,0.03,0,True,-1.27222187259e-14,-5.55111512313e-14,True,True,False,False,0.967782002335,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,1,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.99870663625,0.998706043352,0.967782002335,0.967782002335,0.0309191977138,0.0309240410168,WORSE,WORSE,1.7763568394e-15,-0.0359191977138,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.0309240410168,,5.5,1.5,5,2,0.03,0.03,6,False,-0.5,-2.66865353592,True,True,True,True,0.998706043352,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,1,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.998069869126,0.998069276508,0.967782002335,0.967782002335,0.0302824305897,0.0302872741735,WORSE,WORSE,1.7763568394e-15,-0.0352824305897,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.0612113151903,,5.75,1.25,5,2,0.03,0.03,5,False,-0.75,-4.15303368406,True,True,True,True,0.998069276508,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,1,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.997437988045,0.997437395699,0.967782002335,0.967782002335,0.0296505495089,0.0296553933643,WORSE,WORSE,1.7763568394e-15,-0.0346505495089,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.0908667085546,,6,1,5,2,0.03,0.03,4,False,-1,-5.64241538859,True,True,True,True,0.997437395699,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,1,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.996811008744,0.996810416661,0.967782002335,0.967782002335,0.029023570208,0.0290284143257,WORSE,WORSE,1.7763568394e-15,-0.034023570208,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.11989512288,,6.25,0.75,5,2,0.03,0.03,3,False,-1.25,-7.13548657239,True,True,True,True,0.996810416661,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,1,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,-5,0,0,-5,0,0.996188946817,0.996188354986,0.967782002335,0.967782002335,0.0284015082807,0.0284063526514,WORSE,WORSE,1.7763568394e-15,-0.0334015082807,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.148301475532,,6.5,0.5,5,2,0.03,0.03,2,False,-1.5,-8.63224360542,True,True,True,True,0.996188354986,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,1,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,-5,0,0,-5,0,0.995571817713,0.995571226126,0.967782002335,0.967782002335,0.0277843791768,0.0277892237913,WORSE,WORSE,1.7763568394e-15,-0.0327843791768,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.176090699323,,6.75,0.25,5,2,0.03,0.03,1,False,-1.75,-10.1323693705,True,True,True,True,0.995571226126,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,1,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.994959636738,0.994959045386,0.967782002335,0.967782002335,0.0271721982021,0.027177043051,WORSE,WORSE,1.7763568394e-15,-0.0321721982021,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.203267742374,,7,0,5,2,0.03,0.03,0,True,-2,-11.6362071706,True,True,True,True,0.994959045386,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.99409193014,0.994088206232,1,0.994088206232,-0.0059080698603,-0.00591179376796,IMPROVE,IMPROVE,0.000233410250437,0.00067465960986,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,4,3,0.03,0.03,8,False,-1.27222187259e-14,4.04036248902e-08,True,True,False,False,0.994088206232,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.988261812707,0.988258909883,0.994088206232,0.988258909883,-0.00583014704818,-0.00582929634889,IMPROVE,IMPROVE,0.000256795562238,0.000573351485942,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,3,4,0.03,0.03,8,False,-1.27222187259e-14,3.51607631899e-08,True,True,False,False,0.988258909883,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.982508938697,0.982506817284,0.988258909883,0.982506817284,-0.0057529101987,-0.00575209259893,IMPROVE,IMPROVE,0.000274715576522,0.000478194622181,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,2,5,0.03,0.03,8,False,-1.27222187259e-14,2.92237345434e-08,True,True,False,False,0.982506817284,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.976832973427,0.976831607263,0.982506817284,0.976831607263,-0.00567600132816,-0.00567521002104,IMPROVE,IMPROVE,0.000289123368521,0.000386877959637,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,1,6,0.03,0.03,4,False,-1.27222187259e-14,1.66358038456e-08,True,True,False,False,0.976831607263,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.971233563259,0.971232932129,0.976831607263,0.971232932129,-0.00559944415833,-0.00559867513412,IMPROVE,IMPROVE,0.000301095222776,0.000298348935549,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,0,7,0.03,0.03,0,True,-1.27222187259e-14,-5.55111512313e-14,True,True,False,False,0.971232932129,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
