case_id,rule_id,trajectory_sequence,trajectory_sequence_length,trajectory_point_count,start_trajectory_id,end_trajectory_id,end_alpha_knee,predicted_cumulative_delta_J,truth_cumulative_delta_J_posthoc,passes_existing_0p005_before_bundle_uncertainty,true_improvement_posthoc,recovered_improvement,false_acceptance,direction_consistent,same_generator_coordinate,inside_existing_generator_bounds,uncertainty_constraint_applied,uncertainty_constraint_status,rule_frozen,rule_enabled,trajectory_executed,truth_used_to_select_sequence,truth_used_to_modify_formal_policy
knee_stiff__matched_linear,RULE_A_SINGLE_STEP,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.000_k-1.000_p+0.00000,1,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,-1,-0.00446718793104,-0.00446718793104,False,False,0,False,True,True,True,False,UNFROZEN_REQUIRES_DESIGNATED_BUNDLE_VALIDATION,False,False,False,False,False
knee_stiff__matched_linear,RULE_B_TWO_STEP_CUMULATIVE,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.000_k-1.000_p+0.00000;asym_h+0.000_k-2.000_p+0.00000,2,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-2.000_p+0.00000,-2,-0.00890528510874,-0.00890528510875,True,True,0.00890528510875,False,True,True,True,False,UNFROZEN_REQUIRES_DESIGNATED_BUNDLE_VALIDATION,False,False,False,False,False
knee_stiff__matched_linear,RULE_C_THREE_STEP_CUMULATIVE,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.000_k-1.000_p+0.00000;asym_h+0.000_k-2.000_p+0.00000;asym_h+0.000_k-3.000_p+0.00000,3,4,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-3.000_p+0.00000,-3,-0.0133137854648,-0.0133137854648,True,True,0.0133137854648,False,True,True,True,False,UNFROZEN_REQUIRES_DESIGNATED_BUNDLE_VALIDATION,False,False,False,False,False
knee_stiff__matched_linear,RULE_D_FIVE_STEP_CUMULATIVE,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.000_k-1.000_p+0.00000;asym_h+0.000_k-2.000_p+0.00000;asym_h+0.000_k-3.000_p+0.00000;asym_h+0.000_k-4.000_p+0.00000;asym_h+0.000_k-5.000_p+0.00000,5,6,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,-5,-0.0220422321691,-0.0220422321691,True,True,0.0220422321691,False,True,True,True,False,UNFROZEN_REQUIRES_DESIGNATED_BUNDLE_VALIDATION,False,False,False,False,False
