reference_version,trajectory_id,role,active_reference,allowed_for_first_robot_trial,legacy_software_comparison,active,legacy,not_used_for_final_personalization,not_used_for_robot_execution,path
reference_measured_raw,reference_measured_raw,immutable_selected_measured_source,False,False,False,False,False,True,True,../lower_limb_sim/data/reference_candidates/reference_measured_raw.csv
reference_measured_asymmetric_closed,reference_measured_asymmetric_closed,periodic_C2_phase_model,False,False,False,False,False,True,True,../lower_limb_sim/data/reference_candidates/reference_measured_asymmetric_closed.csv
reference_measured_asymmetric_closed,reference_measured_asymmetric_closed_slow,retimed_slow,True,False,False,True,False,False,True,reference_measured_asymmetric_closed_slow.csv
reference_measured_asymmetric_closed,reference_measured_asymmetric_closed_nominal,retimed_nominal,False,False,False,False,False,True,True,../lower_limb_sim/data/reference_candidates/reference_measured_asymmetric_closed_nominal.csv
reference_closed_symmetric,reference_closed_symmetric,legacy_synthetic_reversal_software_comparison,False,False,True,False,True,True,True,../lower_limb_sim/data/reference_candidates/reference_execution_versions.csv
reference_closed_c2,reference_closed_c2_slow,legacy_symmetric_C2_software_comparison,False,False,True,False,True,True,True,../lower_limb_sim/data/reference_candidates/reference_closed_c2_slow.csv
reference_closed_c2,reference_closed_c2_nominal,legacy_symmetric_C2_software_comparison,False,False,True,False,True,True,True,../lower_limb_sim/data/reference_candidates/reference_closed_c2_nominal.csv
