[07:09:57][RunControl][WARNING] 控制循环超时: 50.6ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.5ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 48.4ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 50.7ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.5ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.0ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 48.6ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 48.9ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.1ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.4ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.8ms > 20ms
[07:09:58][RunControl][INFO] [Step  150] pos=(76.4,-666.8,266.1)mm  |u|=172.3mm/s²  F=0.4N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:09:58][RunControl][WARNING] 控制循环超时: 49.1ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.1ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.4ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.6ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.4ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 55.7ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.8ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.5ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.0ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 79.4ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 42.5ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 43.5ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 48.8ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.2ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 49.9ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 56.5ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 37.8ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 31.2ms > 20ms
[07:09:58][RunControl][WARNING] 控制循环超时: 37.2ms > 20ms
[07:09:59][RunControl][WARNING] 控制循环超时: 31.4ms > 20ms
[07:09:59][RunControl][WARNING] 控制循环超时: 36.9ms > 20ms
[07:09:59][RunControl][WARNING] 控制循环超时: 31.3ms > 20ms
[07:09:59][RunControl][WARNING] 控制循环超时: 31.5ms > 20ms
[07:09:59][RunControl][WARNING] 控制循环超时: 31.3ms > 20ms
[07:09:59][RunControl][WARNING] 控制循环超时: 32.6ms > 20ms
[07:09:59][RunControl][WARNING] 控制循环超时: 44.0ms > 20ms
[07:09:59][RunControl][INFO] [Step  200] pos=(77.1,-666.8,265.5)mm  |u|=707.1mm/s²  F=0.5N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:10:00][RunControl][WARNING] 控制循环超时: 92.1ms > 20ms
[07:10:00][RunControl][WARNING] 控制循环超时: 37.0ms > 20ms
[07:10:00][RunControl][WARNING] 控制循环超时: 115.1ms > 20ms
[07:10:00][RunControl][WARNING] 控制循环超时: 77.5ms > 20ms
[07:10:00][RunControl][WARNING] 控制循环超时: 113.1ms > 20ms
[07:10:00][RunControl][WARNING] 控制循环超时: 74.2ms > 20ms
[07:10:00][RunControl][WARNING] 控制循环超时: 30.4ms > 20ms
[07:10:01][RunControl][WARNING] 控制循环超时: 89.4ms > 20ms
[07:10:01][RunControl][WARNING] 控制循环超时: 150.6ms > 20ms
[07:10:01][RunControl][WARNING] 控制循环超时: 127.6ms > 20ms
[07:10:01][RunControl][INFO] [Step  250] pos=(78.0,-666.8,264.6)mm  |u|=707.1mm/s²  F=0.3N  comfort=1.000  pinn_ready=False pinn_busy=True
