model,beta_flex,beta_extend,share_shift,step1,step2,valid,invalid_reason,flexion_share,flexion_duration_s,extension_duration_s,min_warp_derivative,ROM_excess_rad,hip_speed_peak_deg_s,knee_speed_peak_deg_s,hip_accel_peak_deg_s2,knee_accel_peak_deg_s2,knee_angle_change_peak_deg,E0,E2,hip_torque_peak_Nm,knee_torque_peak_Nm,decomposition_residual_Nm,warning_count,hip_flex_RMS_Nm,hip_extend_RMS_Nm,knee_flex_RMS_Nm,knee_extend_RMS_Nm,hip_flex_relative,hip_extend_relative,knee_flex_relative,knee_extend_relative,family,parameter_flex,parameter_extend,E3,reverse_motion_deg,flex_midpoint_offset_deg,extend_midpoint_offset_deg
LEG_0_NOMINAL,0.0,0.0,0.0,True,True,True,,0.5666666666666667,13.6,10.4,1.0,0.0,22.187512350414032,28.25962767612265,14.101230445371916,17.44677742917496,0.0,32.213792487735084,1.0,36.717424834474585,16.719942306081464,,,29.520899958101996,30.844953765017976,11.851490837373872,11.025978195135387,1.0,1.0,1.0,1.0,BETA_ORIGINAL,0.0,0.0,1.0,,,
LEG_0_NOMINAL,-0.03,-0.03,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.8969619877158429,0.0,22.187512350414032,28.77515435352716,14.101230445371916,15.53489980503135,4.6962585682973,32.2098871239909,1.0159773057335362,36.71833338220439,16.720582995276544,,,29.528548589855493,30.81650234561538,11.743830996298591,11.20214361977037,1.0002590920928682,0.9990775988961,0.9909159242029052,1.0159773057335362,BETA_ORIGINAL,-0.03,-0.03,1.0015574802313525,,,
LEG_0_NOMINAL,-0.03,-0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.8969619877158429,0.0,22.187512350414032,28.354220894992107,14.101230445371916,16.194835805016588,2.657952778420434,32.202654669160246,1.0078408966976482,36.71833338220439,16.720634860621796,,,29.528548589855493,30.83144877167233,11.743830996298591,11.112431751153968,1.0002590920928682,0.9995621652264896,0.9909159242029052,1.0078408966976482,BETA_ORIGINAL,-0.03,-0.015,0.9996445195549777,,,
LEG_0_NOMINAL,-0.03,0.0,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.8969619877158429,5.551115123125783e-17,22.187512350414032,28.239978668987725,14.101230445371916,17.795202122007552,2.657952778420434,32.195440828680475,1.0002590920928682,36.71833338220439,16.720688958152945,,,29.528548589855493,30.84502003247766,11.743830996298591,11.025954325673077,1.0002590920928682,1.0000021484052202,0.9909159242029052,0.9999978351614804,BETA_ORIGINAL,-0.03,0.0,0.9977937499656184,,,
LEG_0_NOMINAL,-0.03,0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.8969619877158429,2.029769827771588e-07,22.187512350414032,28.566208357456784,14.101230445371916,19.099772963855788,2.657952778420434,32.18826429859461,1.0003967808298175,36.71833338220439,16.72777414868373,,,29.528548589855493,30.85719245136854,11.743830996298591,10.94298736834394,1.0002590920928682,1.0003967808298175,0.9909159242029052,0.9924731551865336,BETA_ORIGINAL,-0.03,0.015,0.996011238078031,,,
LEG_0_NOMINAL,-0.03,0.03,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.8969619877158422,4.0215965269041476e-07,22.187512350414032,29.0717852167988,14.101230445371916,20.672806004978305,4.666936137391513,32.18108482537364,1.0007454122563846,36.71833338220439,16.727495298800434,,,29.528548589855493,30.867945971602033,11.743830996298591,10.863396269646014,1.0002590920928682,1.0007454122563846,0.9909159242029052,0.9852546483756784,BETA_ORIGINAL,-0.03,0.03,0.9942937692319591,,,
LEG_0_NOMINAL,-0.015,-0.03,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.8969619877158429,0.0,22.187512350414032,28.77515435352716,14.101230445371916,15.53489980503135,4.6962585682973,32.21929335679346,1.0159773057335362,36.71788987911703,16.720582995276544,,,29.52490902452315,30.81650234561538,11.79838846847188,11.20214361977037,1.000135804342918,0.9990775988961,0.995519351140657,1.0159773057335362,BETA_ORIGINAL,-0.015,-0.03,1.002677515028303,,,
LEG_0_NOMINAL,-0.015,-0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.9484809938579214,0.0,22.187512350414032,28.354220894992107,14.101230445371916,16.194835805016588,2.3487025618309914,32.21206301390938,1.0078408966976482,36.71788987911703,16.720634860621796,,,29.52490902452315,30.83144877167233,11.79838846847188,11.112431751153968,1.000135804342918,0.9995621652264896,0.995519351140657,1.0078408966976482,BETA_ORIGINAL,-0.015,-0.015,1.0007645543519283,,,
LEG_0_NOMINAL,-0.015,0.0,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.9484809938579214,5.551115123125783e-17,22.187512350414032,28.239978668987725,14.101230445371916,17.795202122007552,1.29549725934785,32.2048512808854,1.000135804342918,36.71788987911703,16.720688958152945,,,29.52490902452315,30.84502003247766,11.79838846847188,11.025954325673077,1.000135804342918,1.0000021484052202,0.995519351140657,0.9999978351614804,BETA_ORIGINAL,-0.015,0.0,0.998913784762569,,,
LEG_0_NOMINAL,-0.015,0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.9484809938579212,2.029769827771588e-07,22.187512350414032,28.566208357456784,14.101230445371916,19.099772963855788,2.3458459462204395,32.19767684829233,1.0003967808298175,36.71788987911703,16.72777414868373,,,29.52490902452315,30.85719245136854,11.79838846847188,10.94298736834394,1.000135804342918,1.0003967808298175,0.995519351140657,0.9924731551865336,BETA_ORIGINAL,-0.015,0.015,0.9971312728749815,,,
