model,beta_flex,beta_extend,E0,E2,E3
LEG_0_NOMINAL,-0.03,-0.03,32.2098871239909,1.0159773057335362,1.0015574802313525
LEG_0_NOMINAL,-0.03,-0.0275,32.20869214307491,1.0146011551181835,1.0012346380179609
LEG_0_NOMINAL,-0.03,-0.025,32.207483227682985,1.0132330897182888,1.000913220022426
LEG_0_NOMINAL,-0.03,-0.0225,32.206279368411,1.011873213547599,1.000593623114225
LEG_0_NOMINAL,-0.03,-0.02,32.205059925123145,1.010521935741288,1.000275532132126
LEG_0_NOMINAL,-0.03,-0.0175,32.20385855433492,1.0091770823832436,0.9999591359065142
LEG_0_NOMINAL,-0.03,-0.015,32.202654669160246,1.0078408966976482,0.9996445195549777
LEG_0_NOMINAL,-0.03,-0.0125,32.20145283392593,1.0065128759880575,0.9993316643844669
LEG_0_NOMINAL,-0.03,-0.01,32.20024767259064,1.005193418552114,0.9990205527460847
LEG_0_NOMINAL,-0.03,-0.0075,32.199046428713984,1.0038817726982328,0.9987111641799897
LEG_0_NOMINAL,-0.03,-0.005,32.19784468906474,1.0025786655612576,0.9984035715923301
LEG_0_NOMINAL,-0.03,-0.0025,32.196642828442634,1.0012839976118535,0.9980977617807006
LEG_0_NOMINAL,-0.03,0.0,32.195440828680475,1.0002590920928682,0.9977937499656184
LEG_0_NOMINAL,-0.03,0.0025,32.194259708721475,1.0002590920928682,0.9974943397078195
LEG_0_NOMINAL,-0.03,0.005,32.19306057261588,1.0002590920928682,0.9971940259648815
LEG_0_NOMINAL,-0.03,0.0075,32.191861139817824,1.0002590920928682,0.9968955474122771
LEG_0_NOMINAL,-0.03,0.01,32.1906616290585,1.0002704032668157,0.9965989208215363
LEG_0_NOMINAL,-0.03,0.0125,32.189464436549464,1.0003343825627784,0.9963041411243552
LEG_0_NOMINAL,-0.03,0.015,32.18826429859461,1.0003967808298175,0.996011238078031
LEG_0_NOMINAL,-0.03,0.0175,32.18706496577938,1.0004579224561794,0.9957202421889186
LEG_0_NOMINAL,-0.03,0.02,32.185873461206455,1.0005183953159156,0.9954312357153914
LEG_0_NOMINAL,-0.03,0.0225,32.18467417071635,1.0005768252197094,0.9951441798265402
LEG_0_NOMINAL,-0.03,0.025,32.183472284013504,1.0006338599693343,0.994858768812831
LEG_0_NOMINAL,-0.03,0.0275,32.18227457982359,1.0006899658437316,0.9945752563529229
LEG_0_NOMINAL,-0.03,0.03,32.18108482537364,1.0007454122563846,0.9942937692319591
LEG_0_NOMINAL,-0.0275,-0.03,32.211485658757304,1.0159773057335362,1.001746545740251
LEG_0_NOMINAL,-0.0275,-0.0275,32.21029073714592,1.0146011551181835,1.0014237035268596
LEG_0_NOMINAL,-0.0275,-0.025,32.209081881754614,1.0132330897182888,1.0011022855313247
LEG_0_NOMINAL,-0.0275,-0.0225,32.207878082236796,1.011873213547599,1.0007826886231237
LEG_0_NOMINAL,-0.0275,-0.02,32.20665869948116,1.010521935741288,1.0004645976410247
LEG_0_NOMINAL,-0.0275,-0.0175,32.20545738833254,1.0091770823832436,1.000148201415413
LEG_0_NOMINAL,-0.0275,-0.015,32.204253562926766,1.0078408966976482,0.9998335850638764
LEG_0_NOMINAL,-0.0275,-0.0125,32.20305178736402,1.0065128759880575,0.9995207298933655
LEG_0_NOMINAL,-0.0275,-0.01,32.201846685869924,1.005193418552114,0.9992096182549834
LEG_0_NOMINAL,-0.0275,-0.0075,32.200645501644395,1.0038817726982328,0.9989002296888885
LEG_0_NOMINAL,-0.0275,-0.005,32.19944382167535,1.0025786655612576,0.9985926371012288
LEG_0_NOMINAL,-0.0275,-0.0025,32.19824202074391,1.0012839976118535,0.9982868272895994
LEG_0_NOMINAL,-0.0275,0.0,32.19704008068379,1.0002393850980598,0.9979828154745172
LEG_0_NOMINAL,-0.0275,0.0025,32.19585901939409,1.0002393850980598,0.9976834052167183
LEG_0_NOMINAL,-0.0275,0.005,32.19465994285711,1.0002393850980598,0.9973830914737802
LEG_0_NOMINAL,-0.0275,0.0075,32.19346056964684,1.0002393850980598,0.9970846129211759
LEG_0_NOMINAL,-0.0275,0.01,32.192261118483614,1.0002704032668157,0.9967879863304351
LEG_0_NOMINAL,-0.0275,0.0125,32.191063985459934,1.0003343825627784,0.9964932066332539
LEG_0_NOMINAL,-0.0275,0.015,32.18986390714122,1.0003967808298175,0.9962003035869298
LEG_0_NOMINAL,-0.0275,0.0175,32.188664633926564,1.0004579224561794,0.9959093076978174
LEG_0_NOMINAL,-0.0275,0.02,32.1874731885696,1.0005183953159156,0.9956203012242901
