model,family,policy,selected_by,candidate_count,valid_count,feasible_count,selected_flex,selected_extend,share_shift,E2,E3,E3_improvement_pct,E0_improvement_pct,max_component_worsening_pct,knee_speed_ratio,knee_accel_ratio,hip_peak_ratio,knee_peak_ratio
MYOLEG_NATIVE_P0,BETA_ORIGINAL,unrestricted,E3,25,25,25,0.03,-0.03,0.0,0.998879915009168,0.9944341603350352,0.5565839664964822,0.21803023249207615,-0.11200849908320487,1.018242514845305,0.9411959292323454,0.999979324118357,0.9999997084470915
MYOLEG_NATIVE_P0,BETA_ORIGINAL,common_limits,E2,25,25,25,0.03,-0.03,0.0,0.998879915009168,0.9944341603350352,0.5565839664964822,0.21803023249207615,-0.11200849908320487,1.018242514845305,0.9411959292323454,0.999979324118357,0.9999997084470915
MYOLEG_NATIVE_P0,BETA_ORIGINAL,common_limits,E3,25,25,25,0.03,-0.03,0.0,0.998879915009168,0.9944341603350352,0.5565839664964822,0.21803023249207615,-0.11200849908320487,1.018242514845305,0.9411959292323454,0.999979324118357,0.9999997084470915
LEG_0_NOMINAL,BETA_WIDE,unrestricted,E2,289,289,289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LEG_0_NOMINAL,BETA_WIDE,unrestricted,E3,289,289,289,-0.12,0.12,0.0,1.0018539002898708,0.9780171668108556,2.19828331891444,0.4442943509831473,0.1853900289870758,1.264620434613714,1.795756998282945,1.0000972178548873,1.0003461138286633
LEG_0_NOMINAL,BETA_WIDE,common_limits,E2,289,289,289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LEG_0_NOMINAL,BETA_WIDE,common_limits,E3,289,289,289,-0.12,0.12,0.0,1.0018539002898708,0.9780171668108556,2.19828331891444,0.4442943509831473,0.1853900289870758,1.264620434613714,1.795756998282945,1.0000972178548873,1.0003461138286633
LEG_1_HEAVY_HIP_STIFF,BETA_WIDE,unrestricted,E2,289,289,289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_WIDE,unrestricted,E3,289,289,289,-0.12,0.12,0.0,1.000868792415246,0.9790644161499702,2.0935583850029804,0.06376169665386122,0.08687924152459559,1.264620434613707,1.7957569982829287,1.000000000073942,1.0002473844995956
LEG_1_HEAVY_HIP_STIFF,BETA_WIDE,common_limits,E2,289,289,289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_WIDE,common_limits,E3,289,289,289,-0.12,0.12,0.0,1.000868792415246,0.9790644161499702,2.0935583850029804,0.06376169665386122,0.08687924152459559,1.264620434613707,1.7957569982829287,1.000000000073942,1.0002473844995956
LEG_2_KNEE_DOMINANT,BETA_WIDE,unrestricted,E2,289,289,289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_WIDE,unrestricted,E3,289,289,289,-0.12,0.12,0.0,1.026725064862408,0.9898937436907858,1.0106256309214245,4.02856743528202,2.6725064862408,1.2646204346136796,1.7957569982834753,1.0000008737859876,1.0000067351977928
LEG_2_KNEE_DOMINANT,BETA_WIDE,common_limits,E2,289,289,289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_WIDE,common_limits,E3,289,289,289,-0.12,0.12,0.0,1.026725064862408,0.9898937436907858,1.0106256309214245,4.02856743528202,2.6725064862408,1.2646204346136796,1.7957569982834753,1.0000008737859876,1.0000067351977928
LEG_3_NONLINEAR_COUPLED,BETA_WIDE,unrestricted,E2,289,289,289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LEG_3_NONLINEAR_COUPLED,BETA_WIDE,unrestricted,E3,289,289,289,-0.12,0.12,0.0,1.0028974175266907,0.9811210808844276,1.887891911557238,2.614463602275736,0.28974175266907043,1.2646204346136953,1.7957569982835502,1.0000000001451177,1.0000122067986135
LEG_3_NONLINEAR_COUPLED,BETA_WIDE,common_limits,E2,289,289,289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LEG_3_NONLINEAR_COUPLED,BETA_WIDE,common_limits,E3,289,289,289,-0.12,0.12,0.0,1.0028974175266907,0.9811210808844276,1.887891911557238,2.614463602275736,0.28974175266907043,1.2646204346136953,1.7957569982835502,1.0000000001451177,1.0000122067986135
