stage,main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_ns,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,worker_pid,worker_start_time_ns,worker_alive,worker_exitcode,worker_state,heartbeat_age_ms,worker_hung,last_error_code,last_error,graceful_disconnect_confirmed
overlap,3118755014968300,,99,3118755007037300,7.931,True,IDLE,0,,False,True,9372,,True,,not_started,,False,,,
overlap,3118755055077200,40.1089,104,3118755047011600,8.0656,True,IDLE,0,,False,True,9372,,True,,not_started,,False,,,
overlap,3118755119048300,63.9711,112,3118755111142800,7.9055,True,IDLE,0,,False,True,9372,,True,,not_started,,False,,,
overlap,3118755151192400,32.1441,116,3118755143061600,8.1308,True,IDLE,0,,False,True,9372,,True,,not_started,,False,,,
overlap,3118755207077600,55.8852,123,3118755199008600,8.069,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,9.4983,False,,,
overlap,3118755287011000,79.9334,133,3118755278953500,8.0575,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,89.4317,False,,,
overlap,3118755319181300,32.1703,137,3118755311200400,7.9809,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,121.602,False,,,
overlap,3118755343114000,23.9327,140,3118755335212400,7.9016,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,145.5347,False,,,
overlap,3118755375431200,32.3172,144,3118755367333400,8.0978,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,177.8519,False,,,
overlap,3118755407496300,32.0651,148,3118755399514700,7.9816,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,209.917,False,,,
overlap,3118755447400600,39.9043,153,3118755439704400,7.6962,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,249.8213,False,,,
overlap,3118755471429200,24.0286,156,3118755463846100,7.5831,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,273.8499,False,,,
overlap,3118755503586000,32.1568,160,3118755495749200,7.8368,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,306.0067,False,,,
overlap,3118755535501500,31.9155,164,3118755527714100,7.7874,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,337.9222,False,,,
overlap,3118755575453200,39.9517,169,3118755567700200,7.753,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,377.8739,False,,,
overlap,3118755599474500,24.0213,172,3118755591783000,7.6915,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,401.8952,False,,,
overlap,3118755631486900,32.0124,176,3118755623753700,7.7332,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,433.9076,False,,,
overlap,3118755663235000,31.7481,180,3118755655449800,7.7852,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,465.6557,False,,,
overlap,3118755687300200,24.0652,183,3118755679795300,7.5049,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,489.7209,False,,,
overlap,3118755735132800,47.8326,189,3118755727400500,7.7323,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,537.5535,False,,,
overlap,3118755767169500,32.0367,193,3118755759255200,7.9143,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,569.5902,False,,,
overlap,3118755799284000,32.1145,197,3118755791389400,7.8946,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,601.7047,False,,,
overlap,3118755831199400,31.9154,201,3118755823279400,7.92,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,633.6201,False,,,
overlap,3118755855345200,24.1458,204,3118755847523100,7.8221,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,657.7659,False,,,
overlap,3118755879521100,24.1759,207,3118755871522900,7.9982,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,681.9418,False,,,
overlap,3118755903329800,23.8087,210,3118755895747200,7.5826,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,705.7505,False,,,
overlap,3118755927497700,24.1679,213,3118755919434600,8.0631,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,729.9184,False,,,
overlap,3118755959435600,31.9379,217,3118755951412000,8.0236,True,IDLE,0,,False,True,9372,3118755197576100,True,,starting,761.8563,True,,,
rt_after_forced_child_stop,3118756047476400,,228,3118756039432000,8.0444,True,IDLE,0,,False,True,9372,3118755197576100,False,-15,starting,849.8971,False,,,False
