stage,main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_ns,rt_age_ms,rt_valid,rt_stale,operation_state,rt_worker_pid,rt_worker_start_time_ns,rt_worker_alive,rt_worker_exitcode,rt_worker_state,rt_heartbeat_age_ms,rt_worker_hung,rt_last_error_code,rt_last_error,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_pid,wrench_worker_start_time_ns,wrench_worker_alive,wrench_worker_exitcode,wrench_worker_state,wrench_heartbeat_age_ms,wrench_worker_hung,last_error_code,last_error
rt_startup,3119251139503500,9.7538,0,,,False,True,,17880,3119250997530500,True,,connecting,141.3943,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251149709700,10.2062,0,,,False,True,,17880,3119250997530500,True,,connecting,151.6005,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251159654800,9.9451,0,,,False,True,,17880,3119250997530500,True,,connecting,161.5456,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251169775000,,0,,,False,True,,17880,3119250997530500,True,,connecting,171.6658,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251180619100,10.8441,0,,,False,True,,17880,3119250997530500,True,,connecting,182.5099,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251190378200,9.7591,0,,,False,True,,17880,3119250997530500,True,,connecting,192.269,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251200568800,10.1906,0,,,False,True,,17880,3119250997530500,True,,connecting,202.4596,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251210509200,9.9404,0,,,False,True,,17880,3119250997530500,True,,connecting,212.4,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251220475500,9.9663,0,,,False,True,,17880,3119250997530500,True,,connecting,222.3663,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251230471300,9.9958,0,,,False,True,,17880,3119250997530500,True,,connecting,232.3621,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251240252800,9.7815,0,,,False,True,,17880,3119250997530500,True,,connecting,242.1436,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251250412600,10.1598,0,,,False,True,,17880,3119250997530500,True,,connecting,252.3034,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251260395800,9.9832,0,,,False,True,,17880,3119250997530500,True,,connecting,262.2866,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251270535400,,0,,,False,True,,17880,3119250997530500,True,,connecting,272.4262,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251281344700,10.8093,0,,,False,True,,17880,3119250997530500,True,,connecting,283.2355,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251291149800,9.8051,0,,,False,True,,17880,3119250997530500,True,,connecting,293.0406,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251301104000,9.9542,0,,,False,True,,17880,3119250997530500,True,,connecting,302.9948,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251315718200,14.6142,0,,,False,True,,17880,3119250997530500,True,,connecting,317.609,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251342948400,27.2302,0,,,False,True,,17880,3119250997530500,True,,connecting,344.8392,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251343160900,0.2125,0,,,False,True,,17880,3119250997530500,True,,connecting,345.0517,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251363905000,20.7441,0,,,False,True,,17880,3119250997530500,True,,connecting,365.7958,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251374192400,,0,,,False,True,,17880,3119250997530500,True,,connecting,376.0832,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251384992800,10.8004,0,,,False,True,,17880,3119250997530500,True,,connecting,386.8836,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251394837700,9.8449,0,,,False,True,,17880,3119250997530500,True,,connecting,396.7285,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251404887800,10.0501,0,,,False,True,,17880,3119250997530500,True,,connecting,406.7786,False,,,0,,False,True,,,False,,not_started,,False,,
