case,sample_index,main_loop_timestamp_ns,supervisor_loop_period_ms,rt_sequence,source_or_receive_timestamp_ns,publish_timestamp_ns,supervisor_receive_timestamp_ns,observed_source_period_per_sequence_ms,observed_publish_interval_per_sequence_ms,rt_age_ms,rt_ipc_age_ms,rt_publish_to_receive_age_ms,new_snapshot_received,publish_count,publish_success_count,receive_count,overwrite_count,publish_drop_count,rt_valid,rt_stale,operation_state,rt_worker_state,rt_worker_alive,rt_worker_hung,rt_heartbeat_age_ms,rt_last_error_code,rt_last_error,wrench_sequence,wrench_last_success_ns,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_state,wrench_worker_alive,wrench_worker_hung,wrench_heartbeat_age_ms,wrench_last_error_code,wrench_last_error
rtonly,23,3129182617105700,10.1467,213,3129182609307900,3129182609326300,3129182617158400,7.9869,7.987,7.9672,7.8505,7.8321,True,213,213,25,188,0,True,False,IDLE,streaming,True,False,95.7731,,,0,,,False,True,not_tested,False,False,,,
rtonly,24,3129182627073100,9.9674,215,3129182625350600,3129182625368200,3129182627123000,8.02135,8.02095,1.882,1.7724,1.7548,True,215,215,26,189,0,True,False,IDLE,streaming,True,False,105.7306,,,0,,,False,True,not_tested,False,False,,,
rtonly,25,3129182637050400,9.9773,216,3129182633551100,3129182633566800,3129182637104000,8.2005,8.1986,3.8138,3.5529,3.5372,True,216,216,27,189,0,True,False,IDLE,streaming,True,False,11.9395,,,0,,,False,True,not_tested,False,False,,,
rtonly,26,3129182646876900,9.8265,217,3129182641296500,3129182641314400,3129182646919800,7.7454,7.7476,5.7242,5.6233,5.6054,True,217,217,28,189,0,True,False,IDLE,streaming,True,False,21.5953,,,0,,,False,True,not_tested,False,False,,,
rtonly,27,3129182656792700,9.9158,218,3129182649303700,3129182649318500,3129182656855000,8.0072,8.0041,7.6581,7.5513,7.5365,True,218,218,29,189,0,True,False,IDLE,streaming,True,False,31.5364,,,0,,,False,True,not_tested,False,False,,,
rtonly,28,3129182666952400,10.1597,220,3129182665343200,3129182665357100,3129182666997200,8.01975,8.0193,1.7479,1.654,1.6401,True,220,220,30,190,0,True,False,IDLE,streaming,True,False,41.6657,,,0,,,False,True,not_tested,False,False,,,
rtonly,29,3129182677783800,10.8314,221,3129182673294500,3129182673309000,3129182677819900,7.9513,7.9519,4.6031,4.5254,4.5109,True,221,221,31,190,0,True,False,IDLE,streaming,True,False,52.4722,,,0,,,False,True,not_tested,False,False,,,
rtonly,30,3129182686908000,9.1242,222,3129182681311600,3129182681324800,3129182686947800,8.0171,8.0158,5.7196,5.6362,5.623,True,222,222,32,190,0,True,False,IDLE,streaming,True,False,61.6058,,,0,,,False,True,not_tested,False,False,,,
rtonly,31,3129182696889500,9.9815,223,3129182689281000,3129182689295000,3129182696930100,7.9694,7.9702,7.7346,7.6491,7.6351,True,223,223,33,190,0,True,False,IDLE,streaming,True,False,71.5902,,,0,,,False,True,not_tested,False,False,,,
rtonly,32,3129182707665600,10.7761,225,3129182705308300,3129182705328900,3129182707703600,8.01365,8.01695,2.4719,2.3953,2.3747,True,225,225,34,191,0,True,False,IDLE,streaming,True,False,82.3548,,,0,,,False,True,not_tested,False,False,,,
