main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_s,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_alive,wrench_query_in_flight,wrench_in_flight_age_ms,last_wrench_error,last_wrench_error_code
3116311675688500,15.961,79,3116311.6678045,7.956699933856726,True,IDLE,12,46.7745,True,False,True,False,,,
3116311675830500,0.142,79,3116311.6678045,8.064100053161383,True,IDLE,12,46.9165,True,False,True,False,,,
3116311691855800,16.0253,81,3116311.6857618,6.167400162667036,True,IDLE,13,6.5342,True,False,True,False,,,
3116311707832900,15.9771,83,3116311.6999577,7.947599980980158,True,IDLE,13,22.5113,True,False,True,False,,,
3116311707974300,0.1414,83,3116311.6999577,8.054499980062246,True,IDLE,13,22.6527,True,False,True,False,,,
3116311732881400,24.9071,86,3116311.7238094,9.101799689233303,True,IDLE,14,0.152,True,False,True,False,,,
3116311732945500,0.0641,86,3116311.7238094,9.156099986284971,True,IDLE,14,0.2161,True,False,True,False,,,
3116311747815000,14.8695,88,3116311.7398147,8.047499693930149,True,IDLE,14,15.0856,True,False,True,False,,,
3116311763816800,16.0018,90,3116311.7557241,8.142400067299604,True,IDLE,14,31.0874,True,False,True,False,,,
3116311763913000,0.0962,90,3116311.7557241,8.214900270104408,True,IDLE,14,31.1836,True,False,True,False,,,
3116311795798000,31.885,94,3116311.7878726,7.982200011610985,True,IDLE,15,14.5329,True,False,True,False,,,
3116311795907500,0.1095,94,3116311.7878726,8.059900254011154,True,IDLE,15,14.6424,True,False,True,False,,,
3116311819694300,23.7868,97,3116311.8119727,7.891899906098843,True,IDLE,15,38.4292,True,False,True,False,,,
3116311819969800,0.2755,97,3116311.8119727,8.08289973065257,True,IDLE,15,38.7047,True,False,True,False,,,
3116311835831800,15.862,99,3116311.8278158,8.076299913227558,True,IDLE,15,54.5667,True,False,True,False,,,
3116311843816900,7.9851,100,3116311.8377446,6.132300011813641,True,IDLE,16,6.4923,True,False,True,False,,,
3116311859851800,16.0349,102,3116311.8519312,7.97870010137558,True,IDLE,16,22.5272,True,False,True,False,,,
3116311867808700,7.9569,103,3116311.8601628,7.706999778747559,True,IDLE,16,30.4841,True,False,True,False,,,
3116311875818300,8.0096,104,3116311.868142,7.735799998044968,True,IDLE,16,38.4937,True,False,True,False,,,
3116311883819500,8.0012,105,3116311.876142,7.739000022411346,True,IDLE,16,46.4949,True,False,True,False,,,
3116311899807600,15.9881,107,3116311.8919373,7.930499967187643,True,IDLE,17,14.497,True,False,True,False,,,
3116311907681700,7.8741,108,3116311.900103,7.639400195330381,True,IDLE,17,22.3711,True,False,True,False,,,
3116311915810800,8.1291,109,3116311.9080196,7.852199953049421,True,IDLE,17,30.5002,True,False,True,False,,,
