stage,main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_ns,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,worker_pid,worker_start_time_ns,worker_alive,worker_exitcode,worker_state,heartbeat_age_ms,worker_hung,last_error_code,last_error,graceful_disconnect_confirmed
overlap,3118868056202600,32.1554,234,3118868048184700,8.0179,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,910.0118,False,,,
overlap,3118868087979900,31.7773,238,3118868080467900,7.512,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,941.7891,False,,,
overlap,3118868119871200,31.8913,242,3118868111989900,7.8813,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,973.6804,False,,,
overlap,3118868136072900,16.2017,244,3118868128063200,8.0097,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,989.8821,False,,,
overlap,3118868167935500,31.8626,248,3118868159942800,7.9927,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,1021.7447,False,,,
overlap,3118868192163100,24.2276,251,3118868184158700,8.0044,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,1045.9723,False,,,
overlap,3118868223946400,31.7833,255,3118868216002700,7.9437,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,1077.7556,False,,,
overlap,3118868256208600,32.2622,259,3118868248232200,7.9764,True,IDLE,0,,False,True,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868312187100,55.9785,266,3118868304322800,7.8643,True,IDLE,2,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868359998300,47.8112,272,3118868352168100,7.8302,True,IDLE,2,36.9527,True,False,7804,3118867145639300,True,,idle,36.9387,False,,,
overlap,3118868392101200,32.1029,276,3118868384014700,8.0865,True,IDLE,3,19.8481,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868464290700,72.1895,285,3118868456220500,8.0702,True,IDLE,4,41.2053,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868488110600,23.8199,288,3118868480361400,7.7492,True,IDLE,5,15.0982,True,False,7804,3118867145639300,True,,idle,15.073,False,,,
overlap,3118868519941000,31.8304,292,3118868511955400,7.9856,True,IDLE,6,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868584033700,64.0927,300,3118868576260100,7.7736,True,IDLE,7,10.0059,True,False,7804,3118867145639300,True,,idle,9.981,False,,,
overlap,3118868616044400,32.0107,304,3118868608220000,7.8244,True,IDLE,7,42.0166,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868672182900,56.1385,311,3118868664401400,7.7815,True,IDLE,8,49.5854,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868704187600,32.0047,315,3118868696306300,7.8813,True,IDLE,8,81.5901,True,False,7804,3118867145639300,True,,idle,30.8982,False,,,
overlap,3118868736060600,31.873,319,3118868728072200,7.9884,True,IDLE,10,13.8022,True,False,7804,3118867145639300,True,,idle,13.7753,False,,,
