case_id,bo_variant,budget,posterior_recommended_trajectory_id,posterior_recommended_J_mean,posterior_recommended_std,fitted_kernel,recommendation_is_primary_physical_decision,unqueried_truth_used
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.02750,0.979266330596,2.11338424719e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.02750,0.979266330596,1.6713202288e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.02750,0.979266330596,1.61427665737e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.02500,0.979285307193,1.36207892509e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,9.78146024762e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.00500,0.963203592718,5.53302517093e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.00500,0.963203592718,1.66998462707e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.00750,0.963205603222,1.36373327175e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.00750,0.970183426499,2.11338424719e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.00750,0.970183426499,1.9026074524e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.00250,0.970184576145,2.35437094649e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
