case_id,scenario_name,mismatch_family,comparison,bo_regret,comparator_regret,adaptivity_gain,outcome
prospective_subject_002__matched_linear,matched_linear,matched_linear,BO_K3_VS_RANDOM3_MEAN,0,0.00922165856586,0.00922165856586,BO_WIN
prospective_subject_002__hip_knee_coupling_strong,hip_knee_coupling_strong,hip_knee_coupling,BO_K3_VS_MODEL_TOP1,0,0.000764264864488,0.000764264864488,BO_WIN
prospective_subject_002__hip_knee_coupling_strong,hip_knee_coupling_strong,hip_knee_coupling,BO_K3_VS_FROZEN_TOP3,0,0.000764264864488,0.000764264864488,BO_WIN
prospective_subject_002__hip_knee_coupling_strong,hip_knee_coupling_strong,hip_knee_coupling,BO_K3_VS_RANDOM3_MEAN,0,0.0120304635174,0.0120304635174,BO_WIN
prospective_subject_003__matched_linear,matched_linear,matched_linear,BO_K3_VS_MODEL_TOP1,0,0.00100381030851,0.00100381030851,BO_WIN
prospective_subject_003__matched_linear,matched_linear,matched_linear,BO_K3_VS_FROZEN_TOP3,0,0.00100381030851,0.00100381030851,BO_WIN
prospective_subject_003__matched_linear,matched_linear,matched_linear,BO_K3_VS_RANDOM3_MEAN,0,0.00973409073673,0.00973409073673,BO_WIN
prospective_subject_003__combined_strong,combined_strong,combined,BO_K3_VS_MODEL_TOP1,4.78488204629e-05,0.000137300490145,8.94516696821e-05,BO_WIN
prospective_subject_003__combined_strong,combined_strong,combined,BO_K3_VS_FROZEN_TOP3,4.78488204629e-05,0.000137300490145,8.94516696821e-05,BO_WIN
prospective_subject_003__combined_strong,combined_strong,combined,BO_K3_VS_RANDOM3_MEAN,4.78488204629e-05,0.0203053133348,0.0202574645143,BO_WIN
