label,trajectory_id,hip_amplitude_delta_deg,knee_amplitude_delta_deg,knee_phase_shift,time_scale,trajectory_sha256,parent_reference_id,parent_reference_sha256,hip_max_deviation_deg,hip_rms_deviation_deg,knee_max_deviation_deg,knee_rms_deviation_deg,pull_max_deviation_mm,pull_rms_deviation_mm,generator_version,generator_git_commit,generator_source_sha256,domain_bounds_sha256,closure_valid,rom_valid,workspace_valid,jacobian_valid,force_mapping_valid,domain_coverage,domain_coverage_valid,velocity_valid,acceleration_valid,asymmetry_valid,finite_valid,trajectory_feasible,invalid_reason,minimum_required_domain_coverage_percent,minimum_abs_jacobian_determinant,maximum_jacobian_condition,maximum_abs_dq_hip_rad_s,maximum_abs_dq_knee_rad_s,maximum_abs_ddq_hip_rad_s2,maximum_abs_ddq_knee_rad_s2,maximum_offline_baseline_force_n,velocity_gate_definition,acceleration_gate_definition,force_mapping_model
neutral,asym_h+0.000_k+0.000_p+0.00000,0.0,0.0,0.0,1.0,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0.0,0.0,0.0,0.0,0.0,0.0,continuous_asymmetric_reference_neighborhood_v1,115bb977f6b17693d8c653c9c7ab6eafb1286096,01a57d8542e310dccf064df8aa7dc319ec6f1391b3f0fc026742e543bb4690a1,2f94f63a24248fc19e7d040529c0f9cbb02090a5262915e0be2a90f00c81fc87,True,True,True,True,True,99.75062344139651,True,True,True,True,True,True,,90.0,0.039602977605291564,14.973214387514414,0.3877868276540421,0.5199234434540173,0.2464571662684541,0.3209875481061912,198.04129529022723,finite_analytic_derivative_only_no_robot_limit,finite_analytic_derivative_only_no_robot_limit,baseline_virtual_subject_software_only;limit=1000N_existing_config
hip_minus_3deg,asym_h-3.000_k+0.000_p+0.00000,-3.0,0.0,0.0,1.0,7a3f2e9b15eff5a4ec13ef5c17c41cc4bc488f1fd39d9724fa02a1dbd2bb89b8,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,3.000000000000042,1.9824774210474299,6.043053894780682e-14,1.624879073220874e-14,20.137980291377062,13.339778075288432,continuous_asymmetric_reference_neighborhood_v1,115bb977f6b17693d8c653c9c7ab6eafb1286096,01a57d8542e310dccf064df8aa7dc319ec6f1391b3f0fc026742e543bb4690a1,2f94f63a24248fc19e7d040529c0f9cbb02090a5262915e0be2a90f00c81fc87,True,True,True,True,True,99.75062344139651,True,True,True,True,True,True,,90.0,0.039602977605291544,14.973214387514407,0.3728914752271595,0.5195619390645362,0.25271600297000935,0.32739790029330834,198.04129425937273,finite_analytic_derivative_only_no_robot_limit,finite_analytic_derivative_only_no_robot_limit,baseline_virtual_subject_software_only;limit=1000N_existing_config
hip_minus_5deg,asym_h-5.000_k+0.000_p+0.00000,-5.0,0.0,0.0,1.0,71e302d8872b37fef68289857ab151f6425a0679ec2438a1f42509aaad91fe48,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,5.000000000000033,3.3041290350790495,6.043053894780682e-14,1.624879073220874e-14,33.55698370698689,22.229217819971563,continuous_asymmetric_reference_neighborhood_v1,115bb977f6b17693d8c653c9c7ab6eafb1286096,01a57d8542e310dccf064df8aa7dc319ec6f1391b3f0fc026742e543bb4690a1,2f94f63a24248fc19e7d040529c0f9cbb02090a5262915e0be2a90f00c81fc87,True,True,True,True,True,99.75062344139651,True,True,True,True,True,True,,90.0,0.03960297760529152,14.973214387514382,0.3630212388325318,0.5195619390645362,0.2503279598492816,0.32739790029330834,198.04129360176412,finite_analytic_derivative_only_no_robot_limit,finite_analytic_derivative_only_no_robot_limit,baseline_virtual_subject_software_only;limit=1000N_existing_config
knee_minus_3deg,asym_h+0.000_k-3.000_p+0.00000,0.0,-3.0,0.0,1.0,3be8928842e42242317b85e5b4aca2ed2726d862afb168136e08887414a86bef,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,5.088887490341627e-14,1.1932300521883753e-14,3.000000000000042,1.9824774210474294,15.70616898472403,10.3791803033477,continuous_asymmetric_reference_neighborhood_v1,115bb977f6b17693d8c653c9c7ab6eafb1286096,01a57d8542e310dccf064df8aa7dc319ec6f1391b3f0fc026742e543bb4690a1,2f94f63a24248fc19e7d040529c0f9cbb02090a5262915e0be2a90f00c81fc87,True,True,True,True,True,99.75062344139651,True,True,True,True,True,True,,90.0,0.039602977508174916,14.973214426192694,0.3876968298191011,0.5018621607427788,0.256298067651101,0.31844748750868723,198.0412959814848,finite_analytic_derivative_only_no_robot_limit,finite_analytic_derivative_only_no_robot_limit,baseline_virtual_subject_software_only;limit=1000N_existing_config
knee_minus_5deg,asym_h+0.000_k-5.000_p+0.00000,0.0,-5.0,0.0,1.0,e4e5cf89d20d9349e8386282b0fe47e65b900cb2857f9b13b41d7c53e1100cf2,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,5.088887490341627e-14,1.1932300521883753e-14,5.000000000000045,3.3041290350790495,26.17163241920175,17.295531325272652,continuous_asymmetric_reference_neighborhood_v1,115bb977f6b17693d8c653c9c7ab6eafb1286096,01a57d8542e310dccf064df8aa7dc319ec6f1391b3f0fc026742e543bb4690a1,2f94f63a24248fc19e7d040529c0f9cbb02090a5262915e0be2a90f00c81fc87,True,True,True,True,True,99.75062344139651,True,True,True,True,True,True,,90.0,0.03960297744343048,14.973214451978208,0.3876968298191011,0.49006230852827387,0.256298067651101,0.3124805456522732,198.0412964719506,finite_analytic_derivative_only_no_robot_limit,finite_analytic_derivative_only_no_robot_limit,baseline_virtual_subject_software_only;limit=1000N_existing_config
phase_plus_3pct,asym_h+0.000_k+0.000_p+0.03000,0.0,0.0,0.03,1.0,802093e3505a8014247f23dff40607f49ab41f4ec1405f82a3a3f5cf851ec0df,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,5.088887490341627e-14,1.1932300521883753e-14,4.919573518171404,1.477664553563695,25.7509147389641,7.735725209572166,continuous_asymmetric_reference_neighborhood_v1,115bb977f6b17693d8c653c9c7ab6eafb1286096,01a57d8542e310dccf064df8aa7dc319ec6f1391b3f0fc026742e543bb4690a1,2f94f63a24248fc19e7d040529c0f9cbb02090a5262915e0be2a90f00c81fc87,True,True,True,True,True,99.50124688279301,True,True,True,True,True,True,,90.0,0.03960297760164041,14.97321438896853,0.3876968298191011,0.5348655987440648,0.256298067651101,0.38034034302046305,198.04129591269685,finite_analytic_derivative_only_no_robot_limit,finite_analytic_derivative_only_no_robot_limit,baseline_virtual_subject_software_only;limit=1000N_existing_config
phase_minus_3pct,asym_h+0.000_k+0.000_p-0.03000,0.0,0.0,-0.03,1.0,68f113d9d9257f7223826afb33376e1b13059092f4e33c13c8061cd7e8a484c5,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,5.088887490341627e-14,1.1932300521883753e-14,4.950483273592483,1.5145003596195739,25.912607777262405,7.928561703960996,continuous_asymmetric_reference_neighborhood_v1,115bb977f6b17693d8c653c9c7ab6eafb1286096,01a57d8542e310dccf064df8aa7dc319ec6f1391b3f0fc026742e543bb4690a1,2f94f63a24248fc19e7d040529c0f9cbb02090a5262915e0be2a90f00c81fc87,True,True,True,True,True,99.75062344139651,True,True,True,True,True,True,,90.0,0.03960297760894359,14.973214386059938,0.3876968298191011,0.5294081545896543,0.256298067651101,0.2858126332344724,198.04129457886162,finite_analytic_derivative_only_no_robot_limit,finite_analytic_derivative_only_no_robot_limit,baseline_virtual_subject_software_only;limit=1000N_existing_config
