model,family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
LEG_0_NOMINAL,BETA_TIMING,0.02,RANDOM,1,0.4375812708421211,0.017607020480723174,0.8009440971156494,0.55
LEG_0_NOMINAL,BETA_TIMING,0.02,RANDOM,2,0.6073270845277445,0.015909562343866934,0.7237266555670108,1.15
LEG_0_NOMINAL,BETA_TIMING,0.02,RANDOM,3,0.6665015761319437,0.01531781742782494,0.6968081546189978,1.85
LEG_0_NOMINAL,BETA_TIMING,0.02,ADAPTIVE_GREEDY,0,0.0,0.0219828331891444,1.0,0.0
LEG_0_NOMINAL,BETA_TIMING,0.02,ADAPTIVE_GREEDY,1,2.1982833189144513,0.0,0.0,0.0
LEG_0_NOMINAL,BETA_TIMING,0.02,ADAPTIVE_GREEDY,2,2.1982833189144513,0.0,0.0,0.0
LEG_0_NOMINAL,BETA_TIMING,0.02,ADAPTIVE_GREEDY,3,2.1982833189144513,0.0,0.0,0.0
LEG_0_NOMINAL,BETA_TIMING,0.02,PURE_BO_EI,0,0.0,0.0219828331891444,1.0,0.0
LEG_0_NOMINAL,BETA_TIMING,0.02,PURE_BO_EI,1,0.0,0.0219828331891444,1.0,1.0
LEG_0_NOMINAL,BETA_TIMING,0.02,PURE_BO_EI,2,2.006126362004401,0.0019215695691003,0.0874122799625892,1.0
LEG_0_NOMINAL,BETA_TIMING,0.02,PURE_BO_EI,3,2.006126362004401,0.0019215695691003,0.0874122799625892,1.0
LEG_0_NOMINAL,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,0,0.0,0.0219828331891444,1.0,0.0
LEG_0_NOMINAL,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,1,2.1982833189144513,0.0,0.0,0.0
LEG_0_NOMINAL,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,2,2.1982833189144513,0.0,0.0,0.0
LEG_0_NOMINAL,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,3,2.1982833189144513,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,REFERENCE,0,0.0,0.0089326602186248,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,REFERENCE,1,0.0,0.0089326602186248,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,REFERENCE,2,0.0,0.0089326602186248,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,REFERENCE,3,0.0,0.0089326602186248,1.0,0.0
