model,family,tier,mean,median,std,min,max
LEG_0_NOMINAL,BETA_TIMING,0.0,0.03314397955007486,0.0,0.10905550400801277,0.0,0.4502563508698376
LEG_0_NOMINAL,BETA_TIMING,0.01,0.5282791929293468,0.24876148759483405,0.7277676645724912,0.0,2.1982833189144513
LEG_0_NOMINAL,BETA_TIMING,0.02,0.6665015761319437,0.5516772570063999,0.6683021913000063,0.0,2.1982833189144513
LEG_0_NOMINAL,KEY_POSTURE_TIMING,0.0,0.13280600410852494,0.0,0.43383326133326505,0.0,1.7759866105320987
LEG_0_NOMINAL,KEY_POSTURE_TIMING,0.01,0.79490996400989,0.6586771717879802,0.7883500435864945,0.0,2.3671498769805344
LEG_0_NOMINAL,KEY_POSTURE_TIMING,0.02,0.9242505273284085,0.8409333670736874,0.7037855447131852,0.0,2.3671498769805344
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,0.022486309098926897,0.0,0.08195570687220102,0.0,0.3601477583556667
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,0.5366237105714322,0.1067705190935797,0.736542170203914,0.0,2.0935583850029804
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,0.6746368408809006,0.4972374020257186,0.6673801764710533,0.0,2.0935583850029804
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,0.0,0.13673308439854703,0.0,0.44908097146114107,0.0,1.8503070924676956
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,0.01,0.880889113535489,0.6254657021494692,0.9433823505077841,0.0,2.7120882137965596
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,0.02,0.9900469273056667,0.8324076880412035,0.9135337003411353,0.0,2.7120882137965596
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,0.00315602267863535,0.0,0.014114162495919232,0.0,0.063120453572707
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,0.06788813438797059,0.0,0.12778808633547617,0.0,0.4061682823153001
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,0.18145808841111552,0.13039684559909553,0.2054984949964664,0.0,0.7732710910117624
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,0.0,0.0,0.0,0.0,0.0,0.0
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,0.01,0.08408644908136141,0.0,0.17750625294812503,0.0,0.582377305635462
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,0.02,0.5020013302418075,0.36899110963583553,0.5489566882121785,0.0,1.5867913131155764
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,0.0009638832281377849,0.0,0.004310616840976051,0.0,0.0192776645627557
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,0.5680365635460433,0.2932021013712649,0.6530500466281145,0.0,1.887891911557249
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.02,0.628170917770236,0.4571138679685227,0.617630863033841,0.0,1.887891911557249
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,0.0,0.0,0.0,0.0,0.0,0.0
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,0.01,0.8513469830625485,0.6172772045135111,0.9079306494832704,0.0,2.5899434999237414
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,0.02,0.9546964109086747,0.7727917402250817,0.8781888764691683,0.0,2.5899434999237414
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,0.0,0.4151263318200904,0.0,0.644267314617023,0.0,1.8148531268808776
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,0.01,0.5458604295601249,0.3536521755356292,0.5900528496430555,0.0,1.8148531268808776
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,0.02,0.5739358670331368,0.4058020766252501,0.575581417021583,0.0,1.8148531268808776
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,0.0,0.6317996568317785,0.2892793797536708,0.7468410498678298,0.0,2.1116922071837574
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,0.01,0.7504692160404058,0.6556335174895289,0.7007120364775543,0.0,2.1116922071837574
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,0.02,0.8230822356707546,0.6556335174895289,0.6363323842580949,0.0,2.1116922071837574
MYOLEG_NATIVE_P0,BETA_TIMING,0.0,1.0675019237837087,1.0518309948012339,0.8053555192659841,0.0,2.0745480003509953
MYOLEG_NATIVE_P0,BETA_TIMING,0.01,1.2771562414226845,1.4344006191861658,0.6198963408782217,0.0,2.0745480003509953
MYOLEG_NATIVE_P0,BETA_TIMING,0.02,1.2771562414226845,1.4344006191861658,0.6198963408782217,0.0,2.0745480003509953
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,0.0,0.9759310695578243,1.236310182990924,0.8669304580336185,0.0,2.090125085966743
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,0.01,1.1076844792495717,1.3879302768920243,0.808206822808506,0.0,2.090125085966743
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,0.02,1.2296942959177033,1.3879302768920243,0.6792445395196881,0.0,2.090125085966743
