model,family,tier,method,seed,trial_index,candidate_id,parameter_flex,parameter_extend,share_shift,E3,E2,peak_ratio,feasible,best_E3,best_candidate_id,next_selection
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,4,3,BETA_TIMING:292,0.12,-0.09,-0.05,1.0205679234376275,1.0522555010572325,1.0010746419187448,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,5,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:296', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,5,1,BETA_TIMING:296,0.12,-0.06,-0.05,1.0163840857083086,1.034283580604403,1.0010746419187448,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:206', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,5,2,BETA_TIMING:206,0.03,0.06,-0.1,0.9972304545875683,1.0105215007760493,1.0026773052001758,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:74', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,5,3,BETA_TIMING:74,-0.06,-0.12,0.0,1.0117184311558731,1.0696737903128073,1.0000489021925645,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,6,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:26', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,6,1,BETA_TIMING:26,-0.12,0.06,-0.1,0.9855528368353137,1.0028220035774846,1.003075495604442,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:165', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,6,2,BETA_TIMING:165,0.0,0.0,0.1,0.9978737675986834,0.9987919137653805,1.0000808630428408,True,0.9978737675986834,BETA_TIMING:165,"{'candidate_id': 'BETA_TIMING:189', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,6,3,BETA_TIMING:189,0.03,-0.06,0.0,1.0098345235867587,1.0330521002232749,1.0000325090842461,False,0.9978737675986834,BETA_TIMING:165,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,7,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:150', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,7,1,BETA_TIMING:150,0.0,-0.09,0.05,1.0109568907366595,1.0495024460672997,1.0000630335175031,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:318', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,7,2,BETA_TIMING:318,0.12,0.09,-0.1,0.9999010384651118,1.0339481666591197,1.002561145660642,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:74', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,7,3,BETA_TIMING:74,-0.06,-0.12,0.0,1.0117184311558731,1.0696737903128073,1.0000489021925645,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,8,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:213', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,8,1,BETA_TIMING:213,0.03,0.12,-0.1,0.9916163541322106,1.0105215007760493,1.0026773052001758,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:9', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,8,2,BETA_TIMING:9,-0.12,-0.06,0.0,0.9981330548047902,1.0330521002232749,1.0000972178548873,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:87', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,8,3,BETA_TIMING:87,-0.06,-0.03,0.05,0.9982167219605704,1.0144257025713042,1.0000787368081094,False,1.0,BETA_TIMING:163,
